Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
3,Associate Data Scientist,Manulife,"Banking, Finance & Insurance",Quezon City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=3440e8599cad6753,"Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations. Job Description This job description does not represent a comprehensive listing of job duties that are required of the employee performing this role. We reserve the right to change duties or assign additional duties at any time with or without notice. People Leader Role: No Key Accountabilities: Individual Accountabilities: Actively participates on cross-functional project teams developing analytics enabled solutions Owns and manages assigned tasks. Works on problems of limited scope / complexity, following standard practices and procedures Developing ability to generate relevant, actionable insights based on iterative data analysis, translate data-driven output into business language, and to make appropriate recommendations to respective business stakeholders Provides analysis on datasets of moderate complexity Communicates results of cases of limited complexity to more senior data scientists and business partners Curious and asks questions to gain knowledge. Shares information and provides rationale behind ideas Builds stable working relationships with cross-functional peers, begins to establish a broader internal network Owns their career development. Takes advantage of available resources to advance their technical and business skills. Understands how their assigned tasks fit into the broader initiative Job Requirements: Minimum Bachelor??s degree in Statistics, Math, Computer Science, Engineering; or equivalent work experience, however, an advanced degree in a quantitative discipline would be preferred. Basic Working knowledge of programming languages and concepts (e.g. SAS, SPSS, R, or Python) Familiarity with basic statistical tests, distributions, maximum likelihood estimators, statistical modelling techniques (regression, cluster / factor / principle components, decision tree, survival analysis, etc.) Basic understanding of different techniques and knowledge of machine learning algorithms. Basic knowledge of AI toolkits. Basic knowledge of data visualization tools such as Tableau, QlikView, open source data visualization libraries - ggplot and d3.js Basic knowledge of common database querying languages such as SQL. Capability of applying a systematic, structured approach to explore / navigate / mine massive amount of data, structured or un-structured, to uncover hidden patterns / insights. Some working knowledge of relational database models (e.g. data vaulting techniques, rules tables). Decision Authorities: Owns and manages assigned tasks. Works on problems of limited scope / complexity, following standard practices and procedures Provides analysis on datasets of moderate complexity  If you are ready to unleash your potential it??s time to start your career with Manulife/John Hancock. About Manulife Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, Canada, we operate as Manulife across our offices in Canada, Asia, and Europe, and primarily as John Hancock in the United States. We provide financial advice, insurance, and wealth and asset management solutions for individuals, groups and institutions. At the end of 2019, we had more than 35,000 employees, over 98,000 agents, and thousands of distribution partners, serving almost 30 million customers. As of June 30, 2020, we had $1.2 trillion (US$0.9 trillion) in assets under management and administration, and in the previous 12 months we made $30.6 billion in payments to our customers. Our principal operations are in Asia, Canada and the United States where we have served customers for more than 155 years. We trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong. Manulife is an equal opportunity employer. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention and advancement and we administer all of our practices and programs based on qualification and performance and without discrimination on any protected ground. It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will consult with applicants contacted to participate at any stage of the recruitment process who request any accommodation. Information received regarding the accommodation needs of applicants will be addressed confidentially.",Data Scientist,,,,"['SAS', 'SPSS', 'R', 'Python', 'Tableau', 'QlikView', 'ggplot', 'd3.js', 'SQL']","['statistical tests', 'distributions', 'maximum likelihood estimators', 'statistical modelling techniques', 'regression', 'principle components', 'decision tree', 'survival analysis', 'machine learning algorithms', 'AI toolkits', 'data visualization', 'relational database models', 'rules tables']",,,"['Statistics', 'Math', 'Computer Science', 'Engineering', 'quantitative']",,
23,Data Scientist,"FPG Insurance Co., Inc.","Banking, Finance & Insurance",Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=740e94fb2e94804e,"5 or more years of experience manipulating data sets and building statistical models, bachelors in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools: Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.  Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.  Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.  Experience using web services  Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.  Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.  Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.  Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.  Strong problem solving skills with an emphasis on product development.  Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.  Experience working with and creating data architectures.  Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.  Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.  Excellent written and verbal communication skills for coordinating across teams.  A drive to learn and master new technologies and techniques.",Data Scientist,,,,"['C', 'C++', 'Java', 'JavaScript', 'R', 'Python', 'SLQ', 'Google Analytics', 'Site Catalyst', 'Coremetrics', 'Adwords', 'Crimson Hexagon', 'Facebook Insights', 'Map/Reduce', 'Hadoop', 'Hive', 'Spark', 'Gurobi', 'MySQL', 'Periscope', 'Business Objects', 'D3', 'ggplot']","['manipulating data sets', 'building statistical models', 'Coding knowledge', 'data mining', 'GLM/Regression', 'Random Forest', 'Boosting', 'Trees', 'text mining', 'social network analysis', 'querying databases', 'machine learning algorithms', 'statistics', 'regression', 'simulation', 'scenario analysis', 'modeling', 'clustering', 'decision trees', 'neural networks', 'visualizing/presenting', 'data architectures', 'machine learning', 'decision tree learning', 'artificial neural networks', 'statistical tests']",['5 or more years'],['bachelors'],"['Statistics', 'Mathematics', 'Computer Science', 'quantitative field']",,
24,Risk Data Scientist,Home Credit,"Banking, Finance & Insurance",Fort Bonifacio,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=4db671f4ec4e971f,"You know you are the perfect fit if you are/have: BS/Master/PhD in Mathematics, Physics, Computer Science, Statistics, Engineering or similar numerate discipline  2-3 years of related work experience  Numerical optimization, machine learning algorithms (neural networks, gradient boosting, regression), supervised and unsupervised learning, statistical inference, predictive modeling methodology and experiment design  As part of our growth, your tasks will be: Build predictive models, deploy them to production and monitor their performance  Identify valuable data sources both from internal and external sources  Undertake preprocessing of structured and unstructured data  Analyze large amounts of information to discover trends and patterns  Combine models through ensemble modeling  Continuously challenge current models using new methods  Present information using data visualization techniques  Propose solutions and strategies to business challenges  Collaborate with team members and other teams / departments  Mentor and share knowledge to other team mates  No Walk In needed. ALL applicants will be interviewed via phone call ONLY. Please disregard text messages inviting you to our offices.",Data Scientist,,,,,"['Numerical optimization', 'machine learning algorithms', 'neural networks', 'gradient boosting', 'regression', 'supervised and unsupervised learning', 'statistical inference', 'predictive modeling methodology', 'predictive models', 'data visualization']",['2-3 years'],"['BS', 'PhD']","['Master', 'Mathematics', 'Physics', 'Computer Science', 'Statistics', 'Engineering']",,
35,Market Data Administrator,S4 Market Data,"Banking, Finance & Insurance",Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=cc95e85370eb383e,"Note ?? This is a passive job advert, here at S4 Market data we have multiple roles coming online at different times according to the requirements of our clients. With this we are looking to source passive candidates with the experience listed below who would like to be added to our database and be informed if future roles become available **PLEASE NOTE - This is NOT a technical role for a Data Analyst, Data Scientist or someone with an IT background. Candidates MUST have experience in the Market Data realm and be able to administer Market Data contracts. Please read the description before you apply** This is a remote position hiring anywhere. S4 Market Data is a market data management consultancy that helps financial services companies with vendor management and administrative services. We are based in Miami, FL and service financial institutions across the U.S Summary: We are looking for an experienced Market Data Administrator with experience in dealing with the business areas, accounting/finance, legal, and other departments our client??s organization in order to ensure the proper management and administration of financial Market Data services. This role will require administering various Market Data services across our client??s organization??s and potentially working closely with various front office business units and other Market Data Team members. Responsibilities: Handle all day-to-day market data vendor and administrative inquiries for both new or existing client(s) Market Data vendors and services. Maintain an updated and current inventory, invoicing, reporting, and contracts of all Market Data that the client(s) is subscribed to. Reconcile invoices and validate monthly allocations / expenses. Work closely with finance/accounting to review reports interpreting spend and usage trends for client(s). Maintain reports on costs and identify ways to consolidate spend. Interact with various client(s) stakeholders; technology, legal, accounting/finance, human resources, and the various front office business areas and managers. Perform business development and other duties as required by manager(s) and founder(s). Qualifications: Experience working with Market Data vendors such as Bloomberg, FactSet, Exchanges (NYSE, ICE, etc.). Intermediate Excel skills are required and knowledge of FITS, MDSL and InfoMatch inventory systems is a plus. Excellent communication and project management skills are a plus. Display a high level of time management skills in order to manage multiple and elaborate requests simultaneously. Have a high energy and be a self-starter with the ability to work independently and as part of a team. Key Competencies: Client Focus: make internal stakeholders and their needs a primary focus of actions; develop and sustain productive client and internal stakeholder relationships. Communication: clearly convey information and ideas through a variety of media to individuals or groups in a manner that engages the audience and helps them understand and retain the message. Exercising Judgment and Decision Making: use effective approaches for choosing a course of action or developing appropriate solutions; recommend or take action that is consistent with available facts, constraints and probable consequences.  . Powered by JazzHR E0gxR2TMHv",Data Scientist,,,,,"['Maintain reports', 'business development']",,,,,
69,Senior Risk Data Scientist,Home Credit,"Banking, Finance & Insurance",Fort Bonifacio,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&start=50&vjk=1ffa1f570ae686a3,"You know you are the perfect fit if you are/have: BS/Master/PhD in Mathematics, Physics, Computer Science, Statistics, Engineering or similar numerate discipline  2-3 years of related work experience  Numerical optimization, machine learning algorithms (neural networks, gradient boosting, regression), supervised and unsupervised learning, statistical inference, predictive modeling methodology and experiment design  As part of our growth, your tasks will be: Build predictive models, deploy them to production and monitor their performance  Identify valuable data sources both from internal and external sources  Undertake preprocessing of structured and unstructured data  Analyze large amounts of information to discover trends and patterns  Combine models through ensemble modeling  Continuously challenge current models using new methods  Present information using data visualization techniques  Propose solutions and strategies to business challenges  Collaborate with team members and other teams / departments  Mentor and share knowledge to other team mates  No Walk In needed. ALL applicants will be interviewed via phone call ONLY. Please disregard text messages inviting you to our offices.",Data Scientist,,,,,"['Numerical optimization', 'machine learning algorithms', 'neural networks', 'gradient boosting', 'regression', 'supervised and unsupervised learning', 'statistical inference', 'predictive modeling methodology', 'predictive models', 'data visualization']",['2-3 years'],"['BS', 'PhD']","['Master', 'Mathematics', 'Physics', 'Computer Science', 'Statistics', 'Engineering']",,
119,Junior Data Analyst - Seasonal,Institutional Shareholder Services,"Banking, Finance & Insurance",Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=29a7b13e7fb8aeab,"Responsibilities Search for, collect and verify data (of basic and intermediate levels of complexity) for companies under his/her assigned market based on current collection methodologies and acceptable sources Attend to internal/client queries and requests to ensure data captured is aligned with data methodology and policy guidelines Comply with established work process standards to ensure quality of data collected Meet pre-determined turn-around goals for work assignments Escalate data interpretation issues, as needed Perform root-cause analysis if data issues are identified Update internal documents for performance metrics monitoring Participate in working committees/ projects and/or tasks aside from his/her core responsibilities Maintain appropriate paper and electronic files as required by ISS and client file retention policies Qualifications Degree in Business, Legal Management, Finance, Economics, Accounting, Social Sciences, Communication or any equivalent/related course; Knowledge and experience in using MS Office; Excellent English communication (both oral and written) and reading comprehension skills; Strong analytical and problem solving skills, with clear attention to detail; Ability to prioritize and work under tight deadlines; Fast learner, able to master new concepts, theories, ideas and processes with ease; Willingness to work beyond traditional working hours/days as required by the business; Experience in data collection and analysis, corporate governance and business research would be an advantage. #LI-MC2 ISS is an Equal Opportunity Employer and complies with the Veteran and Disability Acts.",Data Analyst,,,,['MS Office'],"['data collection', 'analysis']",,,"['Economics', 'Accounting', 'Social Sciences']",,
127,Customer Solutions Analyst (Non voice - Midshift),Global Payments Inc.,"Banking, Finance & Insurance",Mandaluyong,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=9e4e9d486415194a,"This position is responsible for handling basic merchant account maintenance on customer records and new account set-ups by utilizing company systems, policies and procedures in all regions serviced by Global Payments. This position is also accountable for ensuring accurate responses are provided to the customer either written or verbally within established timeframes by investigating and resolving fundamental internal and external enquiries. These requests and inquiries received may come from all regions serviced by Global Payments. Duties and Responsibilities Effective and accurate basic set-up and maintenance of accounts in the required systems. Analyze and resolve merchant enquiries like simple payment enquiries for transactions that may already be available or found in the system by means of systematic gathering of relevant information and utilizing all systems. Effectively handle all straightforward customer queries assigned to you to ensure these are completed following the appropriate procedure and/or policy. Investigate, validate & resolve billing and funding requests received from Internal/external customers. Provide accurate and concise written and verbal responses in all internal and external customer communication. Complete assigned projects and tasks within provided ETA. Assist in providing support to peers and operations teams where SLA??s are failing. Escalate any urgent or non-standard requests to the Team Leader. Identify and inform management of product, process or system issues/failures making objective recommendations for process improvements. Update the appropriate systems following completion of customer queries in an accurate and timely manner. Ensure SLA??s, productivity and quality standards are achieved in line with objectives. Metrics includes but not limited to service accuracy, productivity, show rate, and quality scores. Use online systems to review and interpret merchant data and educate merchants to better understand Global Payments and payment card industry standards and procedures. Provide clerical and administrative support to the Operations Department. Perform tasks and/or projects assigned as and when necessary. Requirements Candidate must be a Bachelor's Degree graduate With at least 6 months to 1 year of experience in banking or financial account Must have the capability to work from home Must be willing to report on site either in Mandaluyong or Quezon City Amenable to work in a mid shift schedule Can start ASAP Good communication skills Job Types: Full-time, Permanent Salary: Php17,000.00 - Php18,000.00 per month Experience: financial: 1 year (Preferred) Education: Bachelor's (Required)",Data Analyst,,,,,,"['6 months', '1 year']","[""Bachelor's Degree"", ""Bachelor's (""]",,"['Php17,000.00 - Php18,000.00', 'per month']",
135,Data Quality Analyst,ING,"Banking, Finance & Insurance",Philippines,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=6715fe3e6340503b,"Within the COO Risk Finance (COORF), a Data Quality Circle has been established to ensure that ING Bank has trustable data which is fully fit for the purpose (timely, complete, accurate, adoptable, comprehensive, consistent and appropriate), facilitated by a state-of-the-art data architecture and IT infrastructure. As part of this function, Data Analyst role(s) have been established with the responsibility to collect, analyses data and issues as well as present insightful findings for non-financial risk function. As a Data Analyst you are not afraid of handling and analyzing highly complex data. You are great at converting this data into relevant dashboards, reports and insights. By presenting these findings effectively you support stakeholders in important decision-making. As you will be operating in a complex stakeholder environment it??s important you can prioritize information and insight needs. You are an energetic, motivating person who can work as part of a multidisciplinary team and who can also work independently, think and act out of the box and take accountability. And you contribute to the ING One Agile Way of Working and safeguard the Orange Code. If you are good at: Understanding banking regulations and data quality functional requirements in order to define and create data quality reports for identified critical data elements in coordination with data owners, data stewards and operational teams Analysing complex Data issues that go beyond squad and/or tribe boundaries, with a view to designing complete solutions. Collecting relevant data, analyzing and reporting. You clean up and process raw data, correlate different types of data and can recognize patterns. Interpreting data, analyse results and deliver excellently substantiated data analyses using standard techniques and tools, which lead to improved business decisions or better data quality. Supporting tribes and squads in their decision-making by describing and visualizing discovered insights and predictions and advise your business partners on data and insight analysis, commercial opportunities and market developments. If you are: A professional displaying the following behaviours and background: You have a college degree in e.g. Mathematics, Informatics, Econometrics, Computer/Data Science, Information Management or Statistics Attention to Detail: Data is precise. You make sure you are vigilant in your analysis to come to correct conclusions You are a strong communicator and can present your analyses in a clear manner Excellent English written and verbal communication skills You have knowledge of and experience in Data Analysis in the financial services industry Expert with strong analytical skills, using state-of-the-art methods and techniques Experienced in relevant tooling such as PowerBI, Tableau, R, SQL, Python If you can: Convincingly put forward your proposals and are a real team player in reaching broad agreement on the road to follow. In this way, you can contribute to delivering standardized, uniform and fully adapted solutions to complex business issues and processes. Work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyses it to find conclusions. This by e.g. data-mining activities, in-depth data analysis, validating by combining and interpreting data. If you??d like to work with: Global Stakeholders Fellow Data Quality Professionals If you want to: Work in downtown BGC, the country??s economic center Enjoy competitive compensation and allowances Be part of one of the most innovative and exciting digital bank in the world Be part of a diverse, creative, and energized team Then click here to get started",Data Analyst,,,,"['PowerBI', 'Tableau', 'R', 'SQL', 'Python']","['Data Analysis', 'data-mining', 'data analysis']",,['college degree'],"['Mathematics', 'Informatics', 'Econometrics', 'Computer/Data Science', 'Information Management', 'Statistics']",,
149,Anti-Fraud Data Analyst,Manulife,"Banking, Finance & Insurance",Quezon City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=50&vjk=e43f176889e8d6f0,"FRESH GRADUATES ARE WELCOME TO APPLY, PREFERABLY A PROGRAMMER. WILLING TO WORK AT SAN JUAN AREA. WILLING TO BE TRAINED AND INTERESTED IN E-COMMERCE END TO END PROCESS. MINIMUM REQUIREMENT: COMPREHENSIVE RESUME' NO ATTACHED RESUME' WILL NOT BE PRIORITIZED RESPONSIBILITIES: Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and ??clean? data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities Job Type: Full-time Pay: Php13,000.00 - Php20,000.00 per month Schedule: 8 hour shift Monday to Friday Overtime Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,,"['statistical techniques', 'implement databases', 'data collection systems', 'data analytics', 'maintain databases', 'data systems Identify', 'interpret trends or patterns']",,,,"['Php13,000.00 - Php20,000.00']",
152,Quality Assurance Analyst,National Debt Education Relief,"Banking, Finance & Insurance",Quezon City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=50&vjk=52d22a0fc0497beb,"What we're looking for We are looking for a dynamic and purpose-driven Data Analyst with a natural knack for detail, organization, and process improvement. Someone who loves to work with numbers, identify patterns, and pitch ideas in order to provide clear, concrete solutions that add value to the team. Responsibilities Minimal travel is required between NCR and Region IV-A to attend meetings/trainings, and to support the Project Manager/s. Manage master data, including creation, updates, and deletion Provide quality assurance of imported data Process confidential data and information according to guidelines Manage and design the reporting environment, including data sources, security, and metadata Troubleshoot the reporting database environment and reports Train new team members on new reports and dashboards Interpret data and analyze results using statistical techniques Support the data encoders in identifying and revising reporting requirements Assist whole data team with data collection and completion Provide technical expertise on data cleaning Monitor performance of sites in line with project KPIs Create weekly and monthly reports with clear visualizations to present to Project Manager/s and stakeholders Qualifications Bachelor's Degree in Computer Science or any related course At least 3 years work experience in data analytics or any related field Strong knowledge of MS Excel, SQL, statistical programming and machine learning models Ability to analyze existing tools and databases and provide software solution recommendations Ability to translate business requirements into non-technical, lay terms High-level experience in methodologies and processes for managing large data sets and relational databases Benefits Semi-flexible work arrangement (remote work coupled with field work) Health Insurance Continuing education tuition-assistance Free Meals, monthly book subscription, and more! About Us S&H is a subsidiary of Lettered L Food Services, Inc., a top food service provider with over 25 years of industry experience. It has the vision of helping time-tested canteens evolve and compete with global food service brands in operational excellence, scale, and innovation. Job Types: Contract, Permanent Pay: Php20,000.00 - Php25,000.00 per month Experience: Data Analytics: 3 years (Required) Education: Bachelor's (Required) Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,"['MS Excel', 'SQL']","['data collection', 'data analytics', 'statistical programming', 'machine learning', 'Data Analytics']",['3 years'],"[""Bachelor's Degree"", ""Bachelor's (""]",['Computer Science'],"['Php20,000.00 - Php25,000.00', 'per month']",
