Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
415,Business Intelligence Developer,PrimeAnalytiq Corp.,,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&advn=9296460920698284&vjk=2a77d6b7390f51b5,"We are HIRING Business Intelligence Developer (Work from Home) Our client is a US-based Business Intelligence company for Law Firms, seeking talented C# experts who shall work as BI Developers. These are Freelance remote positions for all skill levels suited to exceptional developers who wish to transition to a home-based opportunity. We are offering an attractive compensation package for suitable candidates. Principal BI Developer: 10+ years of experience and highly skilled ?? architect level Senior BI Developer: 6+ years Associate BI Developer: Recent graduate, or some years of experience outside of our technical stack Job Responsibilities The role encompasses a combination of development and business analyst duties, including: - Requirements gathering and documentation for development projects - Design, code, deploy and test BI product features and enhancements - Design, code, deploy and test client-specific customizations and enhancements - Report/dashboard design and development - Development of software tools for internal use - Adhere to all coding and testing processes, and suggest enhancements to our internal processes - Track down and fix bugs in our products - Troubleshoot & performance tune our products as required - Technical investigations - Support firm infrastructure (network, security, databases, azure, etc.) - Other tasks/projects assigned ?? all team members up to and including the CEO ??wear multiple hats? Required Skills - General ??Full-blast DNA?: The work experience is fast-paced and high intensity. You will be a member of a team of extremely talented and highly skilled technical employees. We all bring our ??whatever it takes attitude? to solving both technical and client issues ?? this is what we refer to as ??Full-blast DNA?. You will be empowered to showcase your technical skills and grit on a daily basis. You will be given massive responsibility and be expected to independently manage yourself. We can promise plenty of challenging work, but we can also promise a great sense of achievement, and a supportive team environment that makes it all worthwhile. Are you a hard-charger? If so, you will fit right in and you will love working here. - Bachelor's degree in Computer Science, Information Technology, or similar is strongly preferred - Good written/oral English language skills (7 out of 10). Excellent English is a big plus. - Experience with accounting/finance systems and concepts is a big plus Required Skills - Technical (1) C# (2) Angular (3) SQL Other Skills As our product line matures, we will be extending our capabilities to need the following skills: (1) Microsoft Azure and Microsoft BI tools: Power BI, tabular, machine learning, R/Python, data mining, etc. (2) Mobile applications using tools such as HTML5 and modern JavaScript frameworks. Native mobile application development is a plus. Minimum 1 Year of Experience Optional Skills: - .NET Core 3 - ASP .NET 4 - Windows Form App (.Net Framework 4.5) - Entity Framework Core - NGRX Job Type: Full-time Work Remotely: Yes",Business Intelligence,,,,"['C#', 'azure', 'Angular', 'SQL', 'Microsoft Azure', 'Microsoft BI', 'Power BI', 'R/Python', 'HTML5', 'JavaScript']","['machine learning', 'data mining']",,"[""Bachelor's degree""]","['Computer Science', 'Information Technology']",,
416,Business Intelligence Specialist,Shore Solutions,,Pasig,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=9c2de7f784a745d9,"We??re an award-winning global outsourcer providing contact center and back office services on behalf of our global clients. Come work at a place where innovation and teamwork come together to support the most exciting missions in the world! The Business Intelligence Specialist will be responsible for supporting, maintaining and enhancing our suite of SSRS reports and enhance our ability to accurately report corporate and operational metrics and KPIs. This person will be working with a team of individuals who are passionate about their work and who collaborate closely with others to develop the right business solutions. The ideal candidate will mentor other team members to improve the overall effectiveness of the team. The Business Intelligence Specialist possesses business consulting, project definition and project estimating skills. As a Business Intelligence Specialist, you will have the opportunity to grow your reporting, business analysis, data analysis, sales, marketing and finance reporting skills. You will also be offered the opportunity to contribute to strategic and tactical planning to successfully implement Business Intelligence solutions. Duties and Responsibilities: Utilize your experience with SQL to create, support and maintain SSRS reports Leverage SSIS or other ETL technologies to extract, transform and load data from other systems Perform requirements gathering and data gathering for business review. Interact with various team members to ensure reports are fulfilling user requirements, are efficiently designed and are easy to support and maintain; Mentor junior members on the team to build their expertise in the area of requirements gathering Adhere to development testing and deployment standards or help define standards if they are not already in place Perform root cause analysis as a means of addressing data issues. Escalate to others in the organization to drive change Participate in multiple projects simultaneously Define understand and recommend changes to existing reporting environment in alignment with the current business needs and direction Generate and deliver query results to internal customers on an ad-hoc basis. When possible or necessary, combine ad-hoc requests into a single project to improve effectiveness and efficiency of the BI team Create, support and maintain SSRS reports using Visual Studio; Constantly increasing knowledge of SQL, SSRS, SSIS, SSAS and other reporting tools to ensure growth when new versions are released, or new platforms are introduced Write and maintain functional and technical documents Create reports and dashboards using Report Writer (Izenda) and other reporting tools as needed Document processes and procedures that relate to the responsibilities of the position Responsible for entering time and expenses as it occurs Enter all work as activities, service tickets, or projects Maintain SQL database skills as updates are released from Microsoft Maintain report writing skills in various report building tools Join the A-Team and experience the A-Life!",Business Intelligence,,,,"['SSRS', 'SQL', 'SSIS', 'Visual Studio', 'SSAS']","['business consulting', 'project definition', 'project estimating', 'business analysis', 'data analysis', 'sales', 'marketing', 'finance reporting skills', 'ETL', 'root cause analysis', 'Create reports']",,,,,
417,Business Intelligence Analyst,"Foodpanda Philippines, Inc.",,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=ce5c64d362b93e8e,"What do you bring to the table?  Degree in Business, Economics or a quantitative field. Ideally, first hand experience in Business-/Marketing Intelligence, Controlling or other relevant fields  Open to fresh graduates, but 1-2 years of relevant experience is an advantage  Excellent at Excel and data visualisation skills as well at SQL  Knowledge of data science and statistical modeling skills is a plus  True number-cruncher and understanding of statistics and mathematics  Fundamental understanding of e-commerce/e-marketplaces  Strong time management skills and able to prioritize/balance multiple projects  Strong interpersonal skills to communicate well with people from all backgrounds  Willingness to learn about new concepts and methodologies in this constantly evolving industry  Self-motivated to be able to work with minimal supervision in pursuit of a goal  Experienced in project management",Business Intelligence,,,,"['Excel', 'SQL']","['data visualisation', 'data science', 'statistical modeling skills', 'statistics', 'mathematics']",['1-2 years'],,"['Business', 'Economics', 'quantitative field']",,
418,Business Intelligence & Controlling Specialist,Emma The Sleep Company,,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=72e6399bc70a2708,"Information on the current situation COVID-19: Your application will continue to be processed as usual by our recruiting team. All interviews take place by video call or by phone. What you'll do: Review monthly, quarterly, and annual consolidated financial statements in IFRS according to internal and external reporting requirements Provide insightful, consistent, and actionable analysis/reporting on sales and operations across the country for Management decision making Interface function between Accounting data and our e-commerce platform data Support in the preparation and development of the reporting to our investors Organization and implementation of the yearly budget planning Analyze the status and variances to Company??s Accounting and data improvement projects, develop and follow-up on countermeasures, corrective actions etc. What you'll bring to us: Completed Bachelor??s Degree in Accountancy or Financial Management With at least 3 years of experience as a Business Unit Controller or in a similar position in an international company Good knowledge of controlling tools and processes Strong knowledge of Excel, and Microsoft Dynamics 365, knowledge in SAP is a plus Ability to quickly build credibility and trust with all levels in an organization Hands-on mentality, attention to detail, strong analytical skills, problem-solving ability and pragmatism Willing to learn data processing tools, i.e. SQL or Tableau Excellent communication skills What we offer: Responsibility and decision-making authority from your first day The opportunity to work on challenging tasks that contribute to your professional growth Work independently and as part of a dedicated, international team The opportunity to help shape our company culture Make an impact initiating new ideas Work with and learn from experts in diverse fields Get to know your team members at our exciting company events  Who we are: We are Emma ?? The Sleep Company. We disrupt sleep by pushing the boundaries of what technology can do for rest. Our aim is to make a positive impact on people??s lives everywhere by enhancing their sleep. We are one of Europe??s fastest-growing tech startups with 400+ team members representing over 40 nationalities at our headquarters in Frankfurt am Main, Germany.  Our work culture is built on strong values promoting community, agility, and ownership. Growth and excellence in all areas are important to us, which is why we offer our team members opportunities to develop and advance professionally and personally.  Emma proudly celebrates diversity. We are an equal opportunity employer committed to promoting inclusion in our workplace. We consider all qualified applicants for employment without regard to race, ethnic origin, religion or belief, gender, gender identity or expression, sexual orientation, national origin, disability or age.  Sound interesting? Then apply through our candidate portal via the button provided below to become a member of our team! In order to get to know each other as soon as possible, please send us your full application (letter of motivation, desired salary, curriculum vitae, and your grades).  Your contact person is Eunice from the People & Organization team. If you have any questions regarding the application process, send us an email at dream@emma-sleep.com",Business Intelligence,,,,"['Excel', 'Microsoft Dynamics 365', 'SAP', 'SQL', 'Tableau', 'communication skills']",,"['at least', '3 years']",,"['Accountancy', 'Financial Management']",,
419,Business Intelligence,Infosys BPM Limited,,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=d8089db495fa89c5,Business Intelligence Infosys BPM Limited Manila Job ID/Reference Code PROGEN-External-103928 Work Experience 3 Years and above Job Title Business Intelligence Responsibilities Reports Automation Educational Requirements Service Line BPO Service Line Preferred Skills: Reporting->BI Generic Skills: Technology->Business Intelligence - Reporting->SAP Crystal Reports Location of posting is subject to business requirements,Business Intelligence,,,,,,['3 Years'],,,,
420,Business Intelligence & Controlling Specialist,Bettzeit GmbH,,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=a3aaf324c09ad948,"close Business Intelligence & Controlling Specialist Finance / Finance, Accounting & Controlling Information on the current situation COVID-19: Your application will continue to be processed as usual by our recruiting team. All interviews take place by video call or by phone. What you'll do: Review monthly, quarterly, and annual consolidated financial statements in IFRS according to internal and external reporting requirements Provide insightful, consistent, and actionable analysis/reporting on sales and operations across the country for Management decision making Interface function between Accounting data and our e-commerce platform data Support in the preparation and development of the reporting to our investors Organization and implementation of the yearly budget planning Analyze the status and variances to Company??s Accounting and data improvement projects, develop and follow-up on countermeasures, corrective actions etc. What you'll bring to us: Completed Bachelor??s Degree in Accountancy or Financial Management With at least 3 years of experience as a Business Unit Controller or in a similar position in an international company Good knowledge of controlling tools and processes Strong knowledge of Excel, and Microsoft Dynamics 365, knowledge in SAP is a plus Ability to quickly build credibility and trust with all levels in an organization Hands-on mentality, attention to detail, strong analytical skills, problem-solving ability and pragmatism Willing to learn data processing tools, i.e. SQL or Tableau Excellent communication skills What we offer: Responsibility and decision-making authority from your first day The opportunity to work on challenging tasks that contribute to your professional growth Work independently and as part of a dedicated, international team The opportunity to help shape our company culture Make an impact initiating new ideas Work with and learn from experts in diverse fields Get to know your team members at our exciting company events  Who we are: We are Emma ?? The Sleep Company. We disrupt sleep by pushing the boundaries of what technology can do for rest. Our aim is to make a positive impact on people??s lives everywhere by enhancing their sleep. We are one of Europe??s fastest-growing tech startups with 400+ team members representing over 40 nationalities at our headquarters in Frankfurt am Main, Germany.  Our work culture is built on strong values promoting community, agility, and ownership. Growth and excellence in all areas are important to us, which is why we offer our team members opportunities to develop and advance professionally and personally.  Emma proudly celebrates diversity. We are an equal opportunity employer committed to promoting inclusion in our workplace. We consider all qualified applicants for employment without regard to race, ethnic origin, religion or belief, gender, gender identity or expression, sexual orientation, national origin, disability or age.  Sound interesting? Then apply through our candidate portal via the button provided below to become a member of our team! In order to get to know each other as soon as possible, please send us your full application (letter of motivation, desired salary, curriculum vitae, and your grades).  Your contact person is Eunice from the People & Organization team. If you have any questions regarding the application process, send us an email at [email protected]",Business Intelligence,,,,"['Excel', 'Microsoft Dynamics 365', 'SAP', 'SQL', 'Tableau', 'communication skills']",,"['at least', '3 years']",,"['Accountancy', 'Financial Management']",,
421,Business Intelligence Specialist,411 Locals,,Work from Home,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=181f9a9eac604663,"Summary of the position: Responsibilities: 1. Report Generation - Update / distribute daily operations report - Development of reporting tools to support business requirements - Create dashboard reports using available resources - Communicate, present and analyze data to all levels of management - Identify and implement opportunities to improve existing reports 2. Develop Operational Reporting - Assist with identification and documentation of new report requirements - Development of reporting tools to support business requirements - Create dashboard reports using commercial reporting software - Communicate / present data to all levels of management - Document and maintain detailed report specifications for all assigned reports - Assist in the acquisition and loading of all data into reporting repository - Identify and develop new reporting methods and tool that will lead to improvement in key metric. - Streamline and automate processes and reports. 4. Business Trend/ Analysis - Include data analysis tools (charts, graphs, pivot tables, etc.) as appropriate to facilitate end user data analysis - Ensure that datasets are appropriate for business needs. - Evaluate performance against corporate plans - Validate that reports measure desired business metrics Hard Skills: Experience in planning, developing and maintaining reports, dashboards Bachelor's Degree Holder With Intermediate or Advanced level knowledge in excel, MS formula, charts, etc. Prepare easy to digest reports and be able to analyze the data from them A graduate with a major in math and statistics Experience with Power BI/ any other business intelligence software Soft Skills: Excellent Communication Skills, problem solving and decision-making abilities. Ability to work independently under minimal supervision Ability to utilize abstract reasoning techniques in order to build reporting logic and establish creative solutions. Minimum years of experience: 1 year experience Job Type: Full-time Work Remotely: Yes",Business Intelligence,,,,"['excel', 'MS formula', 'Power']","['- Streamline', 'automate processes', 'charts', 'pivot tables', 'business intelligence', 'Communication Skills']","['Minimum years', '1 year']","[""Bachelor's Degree""]","['math', 'statistics']",,
422,Business Development Representative,"Wing AI Technologies, Inc.",,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=3c846a906251b30a,"Wing for Business is a Software-as-a-Service artificial intelligence company that leverages cutting-edge technology and humans to create a world-class assistant for businesses. We offer a platform that allows businesses to delegate their administrative and clerical work, saving them time and money. Website: https://getwingapp.com/forbusiness/smb Overview We are currently seeking highly motivated, adaptable part-time Sales professionals to play a vital role in our Sales team. In this role, you will reach out to businesses to generate awareness of the product and schedule product demos. Be part of a rapidly scaling team with an unparalleled opportunity for growth and earn the most lucrative commission in the industry. Benefits: Commission-based pay, based on closed deals! Business Development Training! Promotion and Growth Opportunities within the company Requirements: Willingness to work in the technology industry in a sales role Strong communication and negotiation skills Identify potential clients through social media channels (LinkedIn account is a must) Ability to work remotely Qualifications: ?£ Must possess a strong level of motivation, a positive personality, and the desire to achieve professional success ?£ Business degree (optional) If you feel that you possess the qualities that we are looking for and would like to see if you are a fit for our company, we would love to get in touch! This is a profession that has the opportunity to kick start your career in the technology sector. Apply Now as we are looking to hire ASAP. I will set you up with an interview at the soonest available date. This is a great part-time opportunity for students who want to supplement their income by working from home or for full-time professionals looking for great financial returns. Training and sales material are provided. - Work on your own schedule. - Must own a computer with internet service and have access to a telephone. Part-time hours: 20-40 per week Job Types: Full-time, Part-time, Commission, Permanent Pay: From Php14,500.00 per week Experience: Sales: 1 year (Preferred) work: 1 year (Preferred) business development: 1 year (Preferred) Education: Preferred Work Remotely: Yes",Business Intelligence,,,,,,['1 year'],['Business degree'],,"['Php14,500.00 per']",
423,Business Intelligence Developer,Sophos,,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=7ac86f2a85a27124,"Sophos Overview ?? Cybersecurity Evolved Sophos evolves to meet every new challenge, protecting more than 400,000 organizations of all sizes in more than 150 countries from today??s most advanced cyberthreats. Powered by SophosLabs, our cloud-native and AI-enhanced solutions are able to adapt and evolve to secure endpoints and networks against never-before-seen cybercriminal tactics and techniques. Managed through our award-winning, cloud-based platform, Sophos Central, our best-of-breed products work together through our unique Synchronized Security system to share threat intelligence and respond to evolving threats. The Sophos suite of products secures networks and endpoints against automated and active-adversary breaches, ransomware, malware, exploits, data exfiltration, phishing, and more.  Job Purpose The Business Intelligence Developer must be incredibly curious about gathering accurate, insightful information to make clear, data-driven business decisions. This person will support the sales and sales operations teams in accessing, understanding and utilizing business intelligence. The successful candidate will have specialized knowledge in Microsoft Power BI, SQL and related Azure data services. The position will work cross-functionally with Sales, Finance and technical teams to help develop new tools, processes and reporting for all levels of sales. The position will report to Manager, Business Intelligence. Main Duties Design, implement and maintain Power BI dashboards, reports, views, dataflows, data visualizations and reports to support productivity enhancements and operational efficiency Design solutions leveraging or enhancing existing data infrastructure, taking into consideration the various technical constraints, usability, maintainability and performance Ensure proper user security/authentication & authorization across the Power BI environment Proficient in making DAX queries and advanced level calculations on the data sets Develop tabular and multidimensional models that are compatible with warehouse standards Able to integrate Power BI reports into other applications using embedded analytics like Power BI service or by API automation Should have knowledge and skills for reporting using tools such as Microsoft Power Apps, Flow, Azure and Salesforce Accounts for the accuracy of the data presented to BI users through the execution of validation processes and testing procedures Develop technical documentation and business glossary for the BI reports Monitor the Power BI system for data quality, job errors, performance issues and assist with resolution  Skills & Experience Essentials: BS / MS in Programming/Systems, Computer Science, Business Analytics, Management Information Systems or any other related field preferred 5+ years of experience in developing business analytics solutions, focusing on effective visualization of insights 5+ years in data preparation, data gateway and data warehousing projects 5+ years of SQL development experience writing queries 3+ years of experience with Power BI, data modeling, Excel and writing DAX queries Data Fluency ?? ability to leverage data to help organization better understand performance and progress to goal(s) Self-motivated, driven individual who is comfortable working in a fast-paced environment Strong team orientation and collaborative style. Flexible demeanor and an ability to get involved in the details while maintain a wider view Strong business and technical aptitude with an attitude to solve complex problems Strong organizational and follow-up skills, as well as attention to detail Excellent verbal and written communication Working Condition Team member will be required to overlap with U.S. hours. In addition, team members, from time to time, may be required to coordinate globally and, therefore, take calls and meetings during non-traditional work hours Equal Opportunities Sophos is committed to equality opportunity in all areas of its work. All qualified applicants will be treated in a fair and equal manner and in accordance with the law regardless of gender, marital status, race, religion, colour, age, disability or sexual orientation. If you choose to explore this opportunity, and subsequently share your CV or other personal details with Sophos, these details will be held by Sophos for 12 months in accordance with our Privacy Policy and used by our recruitment team to contact you regarding this or other relevant opportunities at Sophos. If you would like Sophos to delete or update your details at any time, please follow the steps set out in the Privacy Policy describing your individual rights. If you have any questions about Sophos?? data protection practices, please contact dataprotection@sophos.com.",Business Intelligence,,,,"['Microsoft Power BI', 'SQL', 'Azure', 'Power BI dashboards', 'Power BI reports', 'Power BI service', 'Microsoft Power Apps', 'Flow', 'Salesforce Accounts', 'Power BI', 'Excel', 'DAX']","['data visualizations', 'reports', 'data preparation', 'data warehousing', 'data modeling']",,"['BS', 'MS']","['Programming', 'Systems', 'Computer Science', 'Business Analytics', 'Management Information Systems']",,
424,Oracle Business Intelligence Developer,VSTECS PHILS. INC.,,Pasig,Philippines,Indeed,https://ph.indeed.com/jobs?q=business%20intelligence&limit=50&radius=100&vjk=aea599736cc75910,"Graduate of BS Computer Science, Computer Engineering, Information Systems, IT or any related.  Preferably 1-4 years experienced employee specialized in IT/Computer - Software or equivalent.  Proven experience as a BI Developer  Industry experience is preferred.  Background in data warehouse design.  Familiarity with Oracle BI.  Knowledge of SQL queries, SQL Server Reporting Services (SSRS), and SSIS.  In-depth understanding of database management systems, OLAP & ETL framework.  Analytical mind with a problem-solving aptitude.  Willing to work in M. Eusebio Ave. Pasig City",Business Intelligence,,,,"['Oracle BI', 'SQL', 'SQL Server Reporting Services', 'SSRS', 'SSIS']",['data warehouse design'],['1-4 years'],['BS'],"['Computer Science', 'Computer Engineering', 'Information Systems', 'IT']",,
