Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
100,Data Encoder,Lettered L Food Services Inc. ( for Seed & Harvest...,Consumer Retail,Cabuyao,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=ec963f39d6a083cb,"What we're looking for We are looking for a self-motivated and purpose-driven data encoder. He/she is a team player who will do the important, detail oriented job of gathering company information and putting it into a computer. A creative thinker and doer with a passion for organization, so that files are always properly labeled in folders and are easy to find. Responsibilities Minimal travel is required between NCR and Region IV-A to attend meetings/trainings, and/or to support team members. Prepare sourced data for computer entry by compiling and sorting information with document titles and labels for easy processing Maintain daily, weekly, monthly data reports and apply corrections to templates as needed, in a safe and secure database Respond to email correspondences and phone calls regarding project status Provide feedback to Project Managers and/or team members regarding common mistakes or issues in reporting Assist data analysts and project manager/s in resolving discrepancies in reports Undergo training for data entry and dashboard maintenance, in order to provide training to other team members Assist with monitoring performance of sites in line with project KPIs Assist in the creation of weekly and monthly reports with clear visualizations to present to Project Manager/s and stakeholders Perform ad-hoc duties and responsibilities as assigned Qualifications At least two years of study in Computer Science, Business Administration, or any related course. Candidates with at least one year work experience strongly preferred, but fresh graduates with previous OJT or internship experience may apply. Proficiency in MS Office especially in Excel and PowerPoint. Knowledgeable in using Data Programs. Typing speed and accuracy is 50 wpm. Benefits Semi-flexible work arrangement (remote work coupled with field work) Health Insurance Continuing education tuition-assistance Free Meals, monthly book subscription, and more! About Us S&H is a subsidiary of Lettered L Food Services, Inc., a top food service provider with over 25 years of industry experience. It has the vision of helping time-tested canteens evolve and compete with global food service brands in operational excellence, scale, and innovation. Job Types: Full-time, Contract, Permanent Pay: Php15,000.00 - Php20,000.00 per month Experience: data entry: 1 year (Preferred) Education: Bachelor's (Required) Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,"['MS Office', 'Excel', 'PowerPoint']",,"['two years', 'one year', '1 year']","[""Bachelor's (""]","['Computer Science', 'Business Administration']","['Php15,000.00 - Php20,000.00']",
105,Data Analyst,Lettered L Food Services Inc. ( for Seed&Harvest ),Consumer Retail,Cabuyao,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=7d15bb102fc2a628,"What we're looking for We are looking for a dynamic and purpose-driven Data Analyst with a natural knack for detail, organization, and process improvement. Someone who loves to work with numbers, identify patterns, and pitch ideas in order to provide clear, concrete solutions that add value to the team. Responsibilities Minimal travel is required between NCR and Region IV-A to attend meetings/trainings, and to support the Project Manager/s. Manage master data, including creation, updates, and deletion Provide quality assurance of imported data Process confidential data and information according to guidelines Manage and design the reporting environment, including data sources, security, and metadata Troubleshoot the reporting database environment and reports Train new team members on new reports and dashboards Interpret data and analyze results using statistical techniques Support the data encoders in identifying and revising reporting requirements Assist whole data team with data collection and completion Provide technical expertise on data cleaning Monitor performance of sites in line with project KPIs Create weekly and monthly reports with clear visualizations to present to Project Manager/s and stakeholders Qualifications Bachelor's Degree in Computer Science or any related course At least 3 years work experience in data analytics or any related field Strong knowledge of MS Excel, SQL, statistical programming and machine learning models Ability to analyze existing tools and databases and provide software solution recommendations Ability to translate business requirements into non-technical, lay terms High-level experience in methodologies and processes for managing large data sets and relational databases Benefits Semi-flexible work arrangement (remote work coupled with field work) Health Insurance Continuing education tuition-assistance Free Meals, monthly book subscription, and more! About Us S&H is a subsidiary of Lettered L Food Services, Inc., a top food service provider with over 25 years of industry experience. It has the vision of helping time-tested canteens evolve and compete with global food service brands in operational excellence, scale, and innovation. Job Types: Contract, Permanent Pay: Php20,000.00 - Php25,000.00 per month Experience: Data Analytics: 3 years (Required) Education: Bachelor's (Required) Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,"['MS Excel', 'SQL']","['data collection', 'data analytics', 'statistical programming', 'machine learning', 'Data Analytics']",['3 years'],"[""Bachelor's Degree"", ""Bachelor's (""]",['Computer Science'],"['Php20,000.00 - Php25,000.00', 'per month']",
133,Supply Chain Analyst,"Green Cross, Inc.",Consumer Retail,Para?¤aque,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=a7ba558b744edb8e,"JOB LEVEL: ?£ Supervisory level ?£ Without direct report JOB SUMMARY: The Supply Chain Analyst is responsible for improving the performance of the supply chain operations by working in unison with all supply chain team leads for integration of processes among internal functions and with Business Partners and for validation and implementation of new supply chain methods. DUTIES AND RESPONSIBILITIES: 1. Conducts data analysis, identifies opportunities in workflow and recommends technical solutions to improve supply chain processes and performance to increase efficiency and reduce costs. 2. Interacts with business stakeholders and subject matter experts in order to understand the current business situation and future needs and develops, plans & implements supply chain solutions, optimization projects and strategies 3. Coordinates and works with other supply chain leads to implement changes and new systems. 4. Ensures operational procedures and practices are well defined, documented and consistently applied within the department & by the service providers. 5. Generates timely report and presentation which are considered relevant in analyzing Green Cross, Inc.??s (GCI??s) supply chain operations performance as a whole. 6. Keeps oneself ahead of developments & trends in supply chain operations & benchmarks with industry and works with internal departments and service providers to implement improvement in the operations. 7. Monitors & tracks the effectiveness of the departments & the service providers against of Key Performance Indicators (KPIs), driving through change, as needed, to deliver continual service improvements 8. Performs other functions which may be assigned by the immediate superior from time to time. Education : BS Industrial Engineering or BS Accountancy graduate Experience : At least 5 years work experience in supply chain operations (such as material procurement, production planning, inventory control, and distribution) gained in a FMCG manufacturing company. Expected Start Date: 16/11/2020 Job Types: Full-time, Permanent Salary: Php40,000.00 - Php43,000.00 per month Experience: Supply Chain: 5 years (Preferred) Work Remotely: No",Data Analyst,,,,,['Supply Chain:'],"['At least', '5 years']",['BS'],"['Industrial Engineering', 'BS Accountancy']","['Php40,000.00 - Php43,000.00']",
144,Data Analyst,"BEVI Beauty Elements Ventures, Inc.",Consumer Retail,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=50&vjk=446a80359668069c,"WHO WE ARE  We are Power Factors, developer of the world??s leading cloud platform for renewable energy companies. Our SaaS platform, Drive, is used to manage over 25 Gigawatts of renewable energy across the planet (enough to power approximately 1.5 million homes). We??re tackling one of the world??s most important challenges in making renewable energy the world??s leading source of power by driving down the cost to operate wind and solar power plants. Our company is going through accelerated growth fueled by the unprecedented transition to clean, renewable energy.  The Drive platform continues to extend throughout the renewable energy market. Our platform collects millions of IoT and other data points, cleanses the data, detects occurring issues, identifies leading indicators to predict future issues, and adds a full advanced analytic capability on top of this rich, high-value dataset. In addition to issue detection and analytics, Drive adds the toolsets needs to take analytic insights to action such as case management and work order management.  To our customers, we deliver excellent customer service and a high-value system of engagement that provides the results they are looking for: lower operations costs and higher output from their renewable energy power plants. We are an agile development company, big enough to make an impact, but small enough to move quickly to execute in a growing industry and take advantage of rapidly evolving technology. To our employees, we provide a culture that values respect, teamwork, transparency, and achievement.  THE ROLE  Power Factors is seeking a qualified candidate to join our Company in the role of Data Analyst, Customer Success. In this role, you will be responsible for the design, development, and implementation of tools that aims at automating tasks and optimize processes and increase efficiency. More precisely, you will write scripts and develop helper applications to automate repetitive tasks. You will work on identifying new process improvement opportunities, tracking the most important metrics to diagnose problems, develop and tool filter and categorize issues and prioritize cases . Ultimately, you will ensure the workflows, reports, and tools implemented are constantly improving the level of service of the Customer Success Department.  In this role, you will report to the Helpdesk Manager based in Carmona Cavite, Philippines. Although this position is based out of our office located in Silang Cavite, you will be allowed to work remotely from home in the Philippines during the application of our COVID19 confinement period that is currently in force.  IMPORTANT NOTE: Power Factors is applying COVID-19 preventive measures to safeguard the health and safety of our employees, customers, business partners, and communities where we have offices. Please note that the selected candidate will be working from home for the duration of said applicable measures.  RESPONSIBILITIES  Design, develop, and implement tools and applications for the Customer Success Helpdesk team to automate repetitive tasks; Independently take a project from idea to functional application; Work in partnership with Helpdesk teams to gather, process, and interpret Case information and workflows to formulate Business Impact Analysis; Support with broader ticket analysis. report writing and presenting findings and propose workflow solutions; Translate business requirements into well-designed solution tools that best leverage our platform; Interpreting data, analyzing results using statistical techniques; Work with management to prioritize business and information needs. Identify, propose, and actively participate in process improvement and other projects as required. REQUIREMENTS  Bachelor??s in software engineering or college technical degree in a related field; Minimum of 5 years of significant experience working as a Data Analyst / Data scientist / Business Data Analyst in a software company: Strong knowledge of analytics tools and processes; Strong understanding of reporting packages/spreadsheet tools (Microsoft Power BI), databases (querying and scripting in SQL. etc), programming (Python, PowerShell, JavaScript or related languages); Good working knowledge with OSISoft??s PI system, SQL, Salesforce, and Microsoft Power BI is beneficial; Familiar with cloud-based technologies Azure, AWS, & Rackspace; ITIL / Lean-Six Sigma certification is considered an asset.  KEY COMPETENCIES  Accountability Agility Effective Communication Critical Thinking Problem Analysis Process Development Project Management Decision Making/ Judgement  EQUAL OPPORTUNITY EMPLOYER  Power Factors is an Equal Opportunity Employer committed to engaging a diverse workforce and sustaining an inclusive culture. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.  IND123",Data Analyst,,,,"['Microsoft Power BI', 'SQL', 'Python', 'PowerShell', 'JavaScript', 'OSISoft PI', 'Salesforce', 'Azure', 'AWS', 'Rackspace']","['report writing', 'propose workflow', 'statistical techniques', 'software engineering', 'querying', 'scripting', 'programming', 'ITIL', 'Lean-Six Sigma certification']",['5 years'],['college technical degree'],,,
176,Audit Analyst,Nestle,Consumer Retail,Meycauayan,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=50&vjk=ab7cf45565f3fc41,"JOB LEVEL: ?£ Supervisory level ?£ Without direct report JOB SUMMARY: The Supply Chain Analyst is responsible for improving the performance of the supply chain operations by working in unison with all supply chain team leads for integration of processes among internal functions and with Business Partners and for validation and implementation of new supply chain methods. DUTIES AND RESPONSIBILITIES: 1. Conducts data analysis, identifies opportunities in workflow and recommends technical solutions to improve supply chain processes and performance to increase efficiency and reduce costs. 2. Interacts with business stakeholders and subject matter experts in order to understand the current business situation and future needs and develops, plans & implements supply chain solutions, optimization projects and strategies 3. Coordinates and works with other supply chain leads to implement changes and new systems. 4. Ensures operational procedures and practices are well defined, documented and consistently applied within the department & by the service providers. 5. Generates timely report and presentation which are considered relevant in analyzing Green Cross, Inc.??s (GCI??s) supply chain operations performance as a whole. 6. Keeps oneself ahead of developments & trends in supply chain operations & benchmarks with industry and works with internal departments and service providers to implement improvement in the operations. 7. Monitors & tracks the effectiveness of the departments & the service providers against of Key Performance Indicators (KPIs), driving through change, as needed, to deliver continual service improvements 8. Performs other functions which may be assigned by the immediate superior from time to time. Education : BS Industrial Engineering or BS Accountancy graduate Experience : At least 5 years work experience in supply chain operations (such as material procurement, production planning, inventory control, and distribution) gained in a FMCG manufacturing company. Expected Start Date: 16/11/2020 Job Types: Full-time, Permanent Salary: Php40,000.00 - Php43,000.00 per month Experience: Supply Chain: 5 years (Preferred) Work Remotely: No",Data Analyst,,,,,['Supply Chain:'],"['At least', '5 years']",['BS'],"['Industrial Engineering', 'BS Accountancy']","['Php40,000.00 - Php43,000.00']",
206,"Operations Analyst. (Remote, Full-time, $700/Month - $4/hr,...",Dalstrong,Consumer Retail,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=100&vjk=a1712bd947a8330f,"Company Description About Dalstrong Inc:  We are a large international kitchen knife and cookware e-commerce company based in Canada but with a team that is distributed around the world. We sell through many channels including amazon, Shopify & Walmart. You can find out more about the company here https://dalstrong.com/  Job Description The role:  You will help fill the gaps assisting with various tasks throughout the organization. Some aspects of the job will leverage your creative and technical talents by streamlining our processes through technology and/or enhancing our work products visual appeal and consistency with the overall company brand. Other aspects of the role will include data entry tasks such as, processing bills, recording inventory movements, etc. You should be comfortable handling mundane work as well as ad-hoc creative or technical projects. You will be reporting to the accounting manager on the finance team so experience in accounting is a plus but can be easily learned on the job. No work experience required but testing will be provided to measure aptitude.  About the Finance Team:  You will get the opportunity to work directly with the Accounting manager, who is a Canadian CPA. The entire team is overseen by the CFO who is a 15 years experienced CMA. This will be an incredible career development and learning opportunity with endless opportunity for growth and advancement if you are up to the challenge as the company is projected to grow 30% year over year. Build expertise in an ever growing in demand industry while being coached by highly trained individuals.  Qualifications Work/life balance:  Enjoy being a truly valued member of a high-performing team. We target for our Philippines team members to work 40 hours per week. There will be occasional spikes in work where more work required but we strive to make those as rare as possible.  Helpful Skills:  NetSuite (This is a major plus if you have it) Amazon Accounting Shopify Accounting Paypal Accounting Excel VBA Programming or other programming skills. A solid home office set up (If you have dual monitors this is a major plus) Cost accounting experience  Must haves: Graphic Design (Beautiful financial reports & working papers encourage confidence in the underlying data) Willingness to work for a single employer exclusively Capacity to work additional hours if needed Exceptional attention to detail  You must be inventive and proactive in designing and developing new ways of working to continually streamline the department improving upon the processes and suggesting new ideas on a regular basis.  How to apply  Copy paste general applications will be ignored. I need you to go through all of the ""must haves"" and ""helpful skills"" and highlight to me exactly why you are the absolute best fit for these requirements and send a video pitch explaining why you are the perfect fit for the job with a quick tour of your home office. A copy of your resume and an example of some of your work if available would also be helpful  Additional Information What??s Included? Full-time USD compensation Flexible work-life-balance and a fun remote culture with a booming eCom team!",Data Analyst,,,,"['Amazon Accounting', 'Excel']","['programming skills', 'Beautiful financial reports']",,,,,
215,Financial Analyst,"Comworks, Inc",Consumer Retail,Quezon City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=100&vjk=9e9b752f19ceeae9,"Job Summary Analyze financial status by collecting, monitoring and studying data. Duties and Responsibilities Does balance sheet accounts analysis. Prepares intra company reconciliations. Prepares Bank reconciliations & coordinates with other accounting assistants on related tasks/reports needed to reconcile bank accounts. Coordinates with accounting assistants on various balance sheet related tasks & reports. Coordinates with Accounting Supervisors in the preparation and release of Monthly Balance sheets. Assists the Finance/Accounting Manager on the preparation of financial statements Assists the Finance/Accounting Manager on year end audit account schedules & analysis Other matters as required by the Accounting Manager or Finance Director. Skills and Qualifications Graduate of Bachelor??s Degree in Accountancy Background and knowledge in SAP Strong analytical skills Detail-oriented Excellent communication skills Job Types: Full-time, Permanent Experience: General Accounting : 1 year (Preferred) Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,['SAP'],['General Accounting'],['1 year'],['Bachelor Degree'],['Accountancy'],,
223,Data Analyst/Engineer,Nixplay,Consumer Retail,Pasig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=150&vjk=efdb1ade3928b542,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal??s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.  Job Description Summary: The APAC Long-term Forecasting Analyst will report to the Planning Leader for EMEA & APAC. The individual will be responsible for creating long-term forecasts that derive from the understood business drivers to determine required headcount based on projecting volumes, duration, and required staffing levels using current trends and historical data for multiple contact types as well as initiative roadmaps. Close collaboration with other function within WFM/WFP team to support the execution of plans.  Job Description: Defining long term projections across multiple Global markets, segments and functions under-scored by robust baseline data, in addition to factoring in new and upcoming initiatives and intelligence that will impact HC requirements Help ensure responsibility for high quality baseline demand forecasts that are developed and maintained for Operations, leveraging statistical analysis and expertise with the best available cross-functional inputs and applying sound judgment based on knowledge of the business Developing and analysing data with the objective of making recommendations for adjusting staffing levels to meeting departmental productivity and SL objectives, with an ability to reconcile information from diverse sources into a single unified statement of demand Navigating data and other various obstacles to deliver required forecasts and insights Owing the forecasting process, assuring proper delivery, consistency, and accuracy of forecast deliverables and outputs, gathering information from multiple sources as well as having a strong business acumen Working with key stakeholders to ensure forecast accuracy is met and deadlines are achieved, particularly in relation to the monthly Headcount Planning process Building credibility, establishing rapport, and maintaining communication with stakeholders at multiple levels within a matrix based organization. Working and partnering with other members of the WFM teams in forecasting and scheduling as well as WFP in delivery an end to end approach to HC planning and management. Continuously seeking opportunities to streamline and enhance current processes Attending APAC weekly site meetings and other WFM scheduled meetings, providing contribution and input Participating in other duties as assigned  We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.  PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.",Data Analyst,,,,,,,,,,
233,"Sales Insights Analyst Taguig City, Philippines Commercial",Philip Morris International,Consumer Retail,Taguig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&start=150&vjk=1d93114bd503a51b,"Position Snapshot Location: Meycauayan, Bulacan, PH Company: Nestl?? Business Services AOA, Inc. Full-time Bachelor??s Degree 2+ year of experience Position Summary Joining Nestl?? means you are joining the largest food and beverage company in the world. At our very core, we are a human environment ?? passionate people driven by the purpose of enhancing the quality of life and contributing to a healthier future. Our Team in Nestl?? Business Services is in charge of delivering world class business support to our colleagues and clients in Nestl?? globally. We are committed to deliver with passion, reliability, innovation, discipline and excellence. Are you ready to join us? A day in the life of... Perform internal quality audit in accordance to SLA requirements and standard audit procedures Provide feedback to Operations on quality of service as supported by service level performance reports on defined SLA to ensure compliance to Standard Routines Manage and prepare periodic SLA reports for Operations to identify quality issues Manage feedback monitoring process and follow-ups on any specific action plans identified to address gaps on operational processes Collaborate with Operations on establishing effective process controls to manage the risks involved on various operational processes and issues Initiate and facilitate periodic SLA reviews with Operations to calibrate on the overall operational performance and program/process changes promoting continuous improvements on service delivery processes Manage standard audit and SLA database and assist in the preparation of performance reports Lead and/or support process and service level improvement initiatives through data analysis and identification of relevant measures for Operations Ensure update on Standard Routines for SLA data management and reporting Support the Performance Pulse solution in terms of data management, user acceptance testing and other activities as required What will make you successful Bachelor??s degree in Accountancy; preferably CPA Experience in process improvement methodologies preferred Knowledge in SAP Familiarity and understanding of ES systems and procedures an advantage Must have a thorough understanding of the Service Level Agreements Analytical and keen on details Able to properly organize multiple data and documents With above average written & verbal communication skills in English With good interpersonal skills Assertive and with sense of responsibility and maturity Must be proactive and results-focused Able to work effectively and efficiently with minimal supervision Able to work on computer applications such as MS Word, Excel and Powerpoint",Data Analyst,,,,"['SAP', 'MS Word', 'Excel', 'Powerpoint']",,,['Bachelor Degree'],['Accountancy'],,
258,Industrial Engineer,"Columbia International Food Products, Inc.",Consumer Retail,Navotas,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=4b0ba18d46862ac9,"Industrial Engineer Job Qualification At least College Degree in Manufacturing or Industrial Engineering course or equivalent. Fresh Graduates are welcome to apply At least 1 year working experience in related field, preferably in Manufacturing/Production industry with food processing & food packing exposure as advantage Additional Skill: AUTOCAD Knowledgeable in: GMP, 5S & HACCP Willing to work on shift duty (day shift/night shift) Willing to work or relocate in Navotas, CAMANAVA area Job Type / Category Sweet Candies Manufacturing Required Education, Skills, and Qualifications Job Description Will oversee production prompt schedule and monitor efficiency Will calculate and measure inputs and outputs of production Will supervise production staff to be orderly, clean and in task. Will maintain overall orderliness and cleanliness of assigned area/s Prepares reports and collects data for senior supervisors Preventive of any production obstacles by close coordination with other personnel such as maintenance engineers, quality control, and senior supervisors Other duties may be assigned from time to time Job Types: Full-time, Permanent Salary: Php15,000.00 - Php18,000.00 per month Experience: Industrial Engineer: 3 years (Preferred) Education: Bachelor's (Preferred) Location: Navotas (Preferred) Work Remotely: No",Data Engineer,,,,,,"['1 year', '3 years']","['College Degree', ""Bachelor's (""]",,"['Php15,000.00 - Php18,000.00']",
