Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
93,Secretary / Data Analyst (Stay In),"Arenade Solutions, Inc.",,Caloocan,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&advn=1973465212270380&vjk=a9e7e227294f98f2,"POSITIONS AVAILABLE: 1. DATA ANALYST -To analyze products and upload them to the company backend software -Ensure listings are accurate, complete, and attractive -Use of excel to manage data and prepare reports 2. INVENTORY ASSOCIATE -Count inventory, barcode, and prepare for fulfillment -Handle delivery in and delivery out -Use of excel to manage data and prepare reports NOTE: During the pandemic, employee will live in the company compound free of rent with free food. However, we will only allow going home during the holiday season, for safety purposes. Initial screening will be done through call. We will also provide rapid tests upon hiring. After the pandemic, employees will be stay-out, unless offered a stay-in position. Job Types: Full-time, Permanent Education: Bachelor's (Required) Work Remotely: No",Data Analyst,,,,['excel'],,,"[""Bachelor's (""]",,,
94,Data Analyst,Clark Outsourcing,,Clark Freeport Zone,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&advn=2677045006857344&vjk=004d7e47e9b17374,"Our benefits include: Work directly with an international client Performance evaluation at 6-months 13th month pay HMO (Maxicare) 5 Service Incentive Leaves upon reaching 1-year of service/employment Maternity Leave, Paternity Leave, SOLO Parent Leave, Magna Carta Leave, etc. Education Benefit Retirement Benefit Shuttle Service CO League (Swimming, jiu-jitsu, yoga, billiards, table tennis, prizes, events, training, outreach, etc.) 24-Hour Management & Tech Support Great hands-on support team and fun working environment Client benefits include: Work from home until the pandemic is over Internet allowance (installation and monthly fees) Macbook Air 15 additional service incentive leaves convertible to cash What you can expect: Tech start-up (pioneering team) Grave yard position Background: We help people help people. That??s why we??re building an app that reunites lost dogs and their families. We??ve already saved over 5,000 lost dogs, but we intend to save many more. That??s where you come in. We??re looking for a Data Operations Analyst to help us reunite dogs and their families faster and at scale. This position will be work from home initially and we plan to move to an office on Clark when the pandemic is over. Top candidates will complete remote paid training, then will perform a paid two-week trial engagement to determine if the position is the correct fit. Schedule: Must feel comfortable working U.S. business hours Flexibility to work weekends and major US holidays Responsibilities: Researching and updating our systems with mission critical, timely data Maintaining 100% accurate records Analyzing data to ensure accuracy and completeness Ad hoc organizational, research, and data tasks Requirements: Extremely caring and empathetic Fast learner of new technology and applications English language fluency with an American accent Excellent organizational skills and attention to detail Comfort with technology, including G Suite & social media Proficiency in SQL and Excel is a plus Self-starter with ability to keep on task to meet deadlines You must provide your own internet connection and late model smart phone Fast Internet (15 Mbps/download and 3 Mbps/upload high-speed internet minimum) You will be asked to create a 5-10 minute video recording introducing yourself - our team will talk to you about this when you are contacted Job Types: Full-time, Permanent Salary: Php20,000.00 per month Schedule: 8 hour shift Flexible shift Holidays Night shift Weekends Education: Bachelor's (Required) Language: English (Required) Work Remotely: No",Data Analyst,,,,"['G Suite', 'SQL', 'Excel']",,,"[""Bachelor's (""]",,"['Php20,000.00 per']",
95,Data Analyst,"Goel Services, Inc.",,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&advn=4400604439023351&vjk=51fc76499d97a09e,"Role: The work consists of using two products 1. Ecologic Smart 12 2. Online Scheduling Software Wheniwork.com We have about 500 workers that are either active on site or are inactive. On all of our workers (active or potential) teach employee has construction specific training. The training has certifications and renewal dates. The majority of our workforce is Spanish Speaking. The role is to ensure the database program which you would access thru the internet thru Amazon Web Services is up to date for all workers. Then within the scheduling program to do the same and ensure all training credentials are logged into what they are current on. Training schedules will come in from our training providers and you will corrdinate with our schedulers and support staff to ensure that the staff is booked into the classes. When they complete a training, you will ensure that you get the certificates and get them logged in. When a project manager needs data for the the personnel that are assigned to the jobs; you will ensure that their job records are up to date. As people add new credentials or as people expire you will change in the scheduling program if they do not have the proper credentials. Requirements: Must have reliable internet with not less than 20 mbs in speed. Must have computer with monitor or laptop with additional monitor. Must have printer ** Must speak Spanish and English Ability to make free calls in the US (we can provide Vonage Device or similar) **All printing costs would be reimbursed Salary: USD $3.00 per hr - 40 hrs per week guaranteed. Job Type: Full-time Salary: $20,000PH /year",Data Analyst,,,,['Amazon Web Services'],,,,,"['Salary:', 'USD $3.00 per', 'hrs per week', '$20,000PH /year']",
96,Workforce Senior Analyst,ClearSource BPO Inc.,,Pasig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&advn=5587323480573927&vjk=a656aac22dd9b0e9,"Urgent hiring. ClearSource is a customer service outsourcer headquartered in Salt Lake City, UT. We are growing a lot our Call Center operations in the Philippines and are currently seeking motivated, and top performers people to join our team. We are a company that really cares about its employees and we are looking for people that will help us grow. You will be part of the WFM team which is composed by 6 team members. Workforce Management Senior Analyst Duties and Responsibilities: Responsible for ensuring multiple Customer Service sites meet service levels by future and real-time staffing planning. This includes work mix blending and call queue adjustments, and overall management of workflow across the Customer Service network. Supporting and enhancing the performance of the site with respect to optimal staffing of Customer Advocates. Creating and maintaining schedules for Customer Service Associates (CSA) to enable the achievement of service level and productivity goals for the site. Responsible for providing and completing regular scheduling responsibilities and provide schedule analysis and staff recommendations to meet service center goals. This position requires detailed, accurate, and timely completion of scheduling reports. Help drive critical business decisions by analyzing metrics and designing reports and communicate these results to managers and provide suggestions based on findings. Collaborate with key business partners and stakeholders to identify opportunities for improvement of workforce utilization and service levels. React to changes in daily/weekly/monthly call volumes and handling times by determining the required staffing level changes to ensure delivery of service levels. Primary Job Functions should include: Support the delivery of service levels, and productivity targets for the site and marketplaces he/she is supporting. Responsible for the assignment of tasks to the operations by optimizing the usage of workforce. Manage the development of global standards (AHT, ASA, Shrinkage, Schedule Adherence, Attrition) Monitors queue real-time. Quick analysis monitors and balances real-time staffing levels vis-?-vis call volumes, busy lines and production issues. Work with operational and support teams to effectively plan short term non-productive time. Work closely with data, associates and team managers to proactively identify issues and take appropriate actions to minimize the impact. Assist the development of Workforce Management and Scheduling systems by partnering with in-house technology teams. Manage and drive change through effective use of clearly defined delivery plan, ensuring stakeholders receive regular updates. Lead and participate in global projects and initiatives. own providing optimal solutions for upcoming initiatives. Create forecast at intra-day, daily, weekly, monthly levels Create schedules for locations in the PH and abroad Proactively identify service improvement opportunities and ensure continuous improvement with Capacity Planning across strategic and tactical forecasting, scheduling, metric reporting and real-time delivery. Required Qualifications & Experience: 1-3 years of Workforce Management experience using different WFM software (database system) 1-3 years of Excel experience with Intermediate knowledge of formula definitions 1-3 years of Data Analysis experience capturing, storing, and reporting historical statistics (call volumes, AHT, service level, forecast accuracy, etc) 1-3 years working in a Call Center environment Job Types: Full-time, Permanent Pay: Php30,000.00 - Php40,000.00 per month Schedule: 8 hour shift Experience: Call Center: 3 years (Required) Senior WFM Analyst: 2 years (Required) Language: English (Required) Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,['Excel'],['Data Analysis'],"['1-3 years', '3 years', '2 years']",,,"['Php30,000.00 - Php40,000.00']",
97,Data Analyst - MID SHIFT SCHEDULE - WFH,Medkismet Inc.,,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=84c555890ec2f14f,"Job Highlights * Outstanding Career Development Opportunities * Competitive Salary Package * Excellent Benefits (Night Differential, VL/SL credits etc.) Qualifications and Skills Candidates Must possess a Bachelor's/College Degree in any field Should have at least 1-3 years working experience in handling reports or in the related field for this position Must have strong Microsoft Word and Excel Skills Must have the ability to gather and organize large quantities of data and provide accurate analysis Experienced in Google Suite is a plus Experienced in Amazon CRM and Supply Chains will be a huge advantage, but is not a requirement Excellent communication Skills in both written and verbal English Ensure active and appropriate engagement on the continuous improvement opportunities Maintain up to date knowledge and assimilates quickly to new promotional offers and programs Requirements At least 1-2 years of customer service experience via email Effective reading and writing English communication skills Excellent communication, analytical, listening and organizational skills Excellent customer service skills and great enthusiasm for helping customers Must be able to prioritize and complete all duty requirements Must be energetic self-starter with ability to work independently Excellent time management skills, Attention to detail and ability to multitask Detailed oriented and customer focused Internet savvy and knowledgeable of MS office applications Previous customer service experience is a plus Willing to work on mid shift schedule Applicant must be willing to work in MAKATI once the health crisis is over Benefits 25,000 - 30,000 Salary 15% Night Differential 3,000 Monthly Perfect Attendance Incentives HMO from day 1 of employment Paid Sick Leaves Paid Vacation Days Healthy and Encouraging work environment Career growth driven environment Accessible location 3-4 Fun Company Outings a Year Non-stress working environment Competitive salary package NOTE: PLEASE ATTACHED YOUR UPDATED RESUME Job Types: Full-time, Permanent Salary: Php25,000.00 - Php30,000.00 per month Experience: Analyst: 1 year (Preferred) Education: Bachelor's (Preferred) Location: Makati (Preferred)",Data Analyst,,,,"['Microsoft Word', 'Excel', 'Google Suite', 'Amazon CRM', 'MS office']",,"['1-3 years', 'At least', '1-2 years', '1 year']","[""Bachelor's/College Degree"", ""Bachelor's (""]",,"['25,000 - 30,000', 'Salary', 'Php25,000.00 - Php30,000.00', 'per month']",
98,Inventory Analyst/Data Encoder (1 Personnel),Metro Combined Logistics Solutions,,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=813211cfcc5a5be3,"Responsibilities: Ensures fast and accurate encoding of transactions Conducts daily cycle counts and reconcile count results Monitors correct inventory level of raw materials and finished goods Prepares daily, weekly , monthly report required Requirements: Candidate must be a graduate of any 4 year course Computer literate, preferably with experience in SAP or WMS are definite advantage At Least College Level or a Bachelor Degree Graduate Candidate must be a team player and must have basic understanding of warehousing processes Systematic and organized At least 1 year experience Please submit resume at Metro Combined Logistics Solutions Inc. Head Office, 20th Floor, Unit 2002 Antel Corporate Center , 121 Valero St., Salcedo Village , Makati City or email resume to recruitment@metrocombined.com",Data Analyst,,,,"['SAP', 'WMS']",,['1 year experience'],"['College Level', 'Bachelor Degree']",,,
99,Data Analyst Intern (Remote),Dynamic Technology Lab Pte Ltd,,Work from Home,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=ae8ded3e3f370ebb,"Data Analysts maintain our data inventories, collect and clean the data we have gathered from various sources to make sure of the integrity, completeness and usefulness of our data. Meanwhile, data analysts extract some values from the data following seniors?? guidance. Qualification: Bachelors/masters who major in Computer Science, Business Analytics, Finance, Engineering, Science. Familiar with python, and data processing libraries like Pandas/Numpy. Basic knowledge in Finance. The following will be a plus: Advanced programming skills in Python. Familiar with database language. Strong interests in finance. Comfortable with Linux. Job Types: Full-time, Part-time, Internship Pay: Php14,500.00 per month Education: Bachelor's (Required) Work Remotely: Yes",Data Analyst,,,,"['python', 'Pandas', 'Numpy', 'Python', 'Linux']","['Finance', 'database language']",,"['Bachelors/masters', ""Bachelor's (""]","['Computer Science', 'Business Analytics', 'Finance', 'Engineering', 'Science']","['Php14,500.00 per']",
100,Data Encoder,Lettered L Food Services Inc. ( for Seed & Harvest...,,Cabuyao,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=ec963f39d6a083cb,"What we're looking for We are looking for a self-motivated and purpose-driven data encoder. He/she is a team player who will do the important, detail oriented job of gathering company information and putting it into a computer. A creative thinker and doer with a passion for organization, so that files are always properly labeled in folders and are easy to find. Responsibilities Minimal travel is required between NCR and Region IV-A to attend meetings/trainings, and/or to support team members. Prepare sourced data for computer entry by compiling and sorting information with document titles and labels for easy processing Maintain daily, weekly, monthly data reports and apply corrections to templates as needed, in a safe and secure database Respond to email correspondences and phone calls regarding project status Provide feedback to Project Managers and/or team members regarding common mistakes or issues in reporting Assist data analysts and project manager/s in resolving discrepancies in reports Undergo training for data entry and dashboard maintenance, in order to provide training to other team members Assist with monitoring performance of sites in line with project KPIs Assist in the creation of weekly and monthly reports with clear visualizations to present to Project Manager/s and stakeholders Perform ad-hoc duties and responsibilities as assigned Qualifications At least two years of study in Computer Science, Business Administration, or any related course. Candidates with at least one year work experience strongly preferred, but fresh graduates with previous OJT or internship experience may apply. Proficiency in MS Office especially in Excel and PowerPoint. Knowledgeable in using Data Programs. Typing speed and accuracy is 50 wpm. Benefits Semi-flexible work arrangement (remote work coupled with field work) Health Insurance Continuing education tuition-assistance Free Meals, monthly book subscription, and more! About Us S&H is a subsidiary of Lettered L Food Services, Inc., a top food service provider with over 25 years of industry experience. It has the vision of helping time-tested canteens evolve and compete with global food service brands in operational excellence, scale, and innovation. Job Types: Full-time, Contract, Permanent Pay: Php15,000.00 - Php20,000.00 per month Experience: data entry: 1 year (Preferred) Education: Bachelor's (Required) Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,"['MS Office', 'Excel', 'PowerPoint']",,"['two years', 'one year', '1 year']","[""Bachelor's (""]","['Computer Science', 'Business Administration']","['Php15,000.00 - Php20,000.00']",
101,Data Analyst,Nanoninth Inc,,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=6e51d031e161190f,"Hello Philippines! Nanoninth Inc. is currently seeking an experienced and enthusiastic Data Analyst to join the team of our USbased client! The DA is the focal person in analyzing trends in the marketplace and modeling statistics. They gain a clear understanding of what does and doesn't work in the market. Data Analyst Candidate Preferences: Bachelor??s degree from an accredited university or college in computer science, statistics, or other technical fields. Need strong mathematical and analytical problem-solving skills to make sense of market numbers. Work experience as a data analyst in market research or in related field. Ability to work with stakeholders to assess potential risks. Ability to analyze existing tools and databases and provide software solution recommendations. Ability to translate business requirements into non-technical, lay terms. High-level experience in methodologies and processes for managing large scale databases. Demonstrated experience in handling large data sets and relational databases. Understanding of addressing and metadata standards. High-level written and verbal communication skills. *We will prioritize your application if you send it to jobs at ontel.co with a short description of yourself and any work samples available!* Job Types: Full-time, Permanent Salary: Up to Php40,000.00 per month Experience: working: 2 years (Preferred) Work Remotely: Yes",Data Analyst,,,,['per'],['relational databases'],['2 years'],['Bachelor degree'],"['computer science', 'statistics']","['Php40,000.00']",
102,Data Analyst,"STEAMLOGIC, INC.",,San Juan,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20analyst&limit=50&radius=100&vjk=04fbfcb5f315e942,"FRESH GRADUATES ARE WELCOME TO APPLY, PREFERABLY A PROGRAMMER. WILLING TO WORK AT SAN JUAN AREA. WILLING TO BE TRAINED AND INTERESTED IN E-COMMERCE END TO END PROCESS. MINIMUM REQUIREMENT: COMPREHENSIVE RESUME' NO ATTACHED RESUME' WILL NOT BE PRIORITIZED RESPONSIBILITIES: Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and ??clean? data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities Job Type: Full-time Pay: Php13,000.00 - Php20,000.00 per month Schedule: 8 hour shift Monday to Friday Overtime Work Remotely: Temporarily due to COVID-19",Data Analyst,,,,,"['statistical techniques', 'implement databases', 'data collection systems', 'data analytics', 'maintain databases', 'data systems Identify', 'interpret trends or patterns']",,,,"['Php13,000.00 - Php20,000.00']",
