Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
254,Microsoft Engineer,24x7 Direct,,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&advn=5323949955129477&vjk=a197d94d8ae4a379,"Our client is a leading technology firm based in Melbourne, Australia. You will be working from home supporting their customers. Our ideal candidate should have the below knowledge. Identity and Access Management - (Azure Active Directory, MFA) Threat Protection - (Advanced Threat Analytics, Office 365 Threat Protection and Threat Intelligence) Information Protection - (Azure Information Protection, Office 365 Data Loss Prevention, Microsoft Cloud App Security, Office 365 Advanced Security Management) Security Management - (Azure Security Centre, Office 365 Security and Compliance Centre, Windows Defender Advanced Security Centre) Azure Sentinel, Azure Information Protection / RMS, Azure Identity Management Conduct security audits/reviews Give recommendations to make environments more secure Email endpoint security solutions, email security gateways, web proxy Windows Defender ATP, Microsoft Intune, Azure AD Premium Benefits A monthly salary of PHP25,000 After 6-month probation 10 days annual leave 5 days sick leave 13th-month pay Work from home Job Types: Full-time, Permanent Salary: Php70,000.00 - Php100,000.00 per month Schedule: 8 hour shift Work Remotely: Yes",Data Engineer,,,,"['Azure Active Directory', 'Office 365', 'Azure Information Protection', 'Office 365 Data Loss Prevention', 'Microsoft Cloud', 'Office 365 Advanced Security Management', 'Azure Security Centre', 'Office 365 Security', 'Windows Defender Advanced Security Centre', 'Azure Sentinel', 'Azure Identity Management']",,,,,"['Php70,000.00 - Php100,000.00', 'per']",
255,STAFF ENGINEER,International Elevator & Equipment,,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=ba979c1faf86ff5b,"STAFF ENGINEER E/E Engineering Department Responsibilities: He will prepare details of input data sheet and specification memo sheet assigned to him for the proposed and contracted projects, and to make revisions if required. He will prepare drawings for special type of elevator as requested by the Sales department, which requires consultation with the principal. He will attend to coordination meetings with the architect or project engineer to discuss with them in detail the solution to whatever problem that may arise. He will assist other departments in all the technical details whenever it is necessary, such as but not limited to assisting the Sales personnel. He will perform other related tasks that may be assigned by the superior from time to time.    Requirements: ?? Graduate of any Engineering course, preferably BS Mechanical, Electrical, Electronics, or Civil Engineering courses ?? Must be computer literate and familiar with various PC based softwares ?? Knowledgeable in AUTOCAD ?? With good communication skills ?? Fresh graduates are welcome to apply.",Data Engineer,,,,,,,,['Engineering'],,
256,Data Analytics Engineer,DXC,,Taguig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=4455a17b6a6af0ac,"Job Description: Provide expertise for IT infrastructure (e.g. servers, network), application infrastructure (e.g. SAP), and related services (e.g. Business Continuity) throughout the lifecycle of a deal in accordance with contractually established terms and conditions and established technical standards. Provides technical input, solutions, and recommendations to deal pursuit. Engaged in and provides support for transition/transformation efforts. Monitors service delivery compliance to budget, quality standards, and customers and/or internal businesses/end user requirements. Provides IT infrastructure and/or application infrastructure lifecycle technical support, including planning, project management, installation, on-going management/monitoring/troubleshooting, and de-installation, following operational policies and processes that are compliant with industry standards (e.g. Information Technology Infrastructure Library (ITIL)). Manages the technical/service relationship between the company and the customer, and between the company and subcontractors/vendors. Works with the key customers and/or internal businesses/end user representatives (Infrastructure Support Managers, Client Manager and the Account Delivery Manager) to retain customers and build the business. ITO Service Delivery work is generally performed remotely from the company facility, but may be performed at the customer??s location when required/justified. Responsibilities: Apply technical knowledge to operate a technology area (e.g. server administration, technical security management, performance management) or customer group with moderate risk/complexity. Integrates technical knowledge and business understanding to create superior solutions for the company and for customers.  Incident Management: Resolve most technical incidents independently within your technical area. Work with team members to resolve more complex or cross-technology incidents.  Escalation Management: identify potential escalations and alert management proactively.  Problem Management: Begin to proactively and reactively provide solutions to prevent problems from occurring in area of responsibility.  Change Management/Implementation: Independently reviews, implements, and verifies changes/solutions of moderate complexity and risk to meet customer and/or trade/IT infrastructure needs within area(s) of technical responsibility.  Patch and Security Management: Apply patch and security changes per policy. Proactively monitor the environment for patch compliance.  Configuration Management: Ensure Configuration Management Database (CMDB) entries are complete and accurate. Solution Design: Applies the company solutions to meet moderately complex customer and/or trade/IT infrastructure needs within area(s) of technical responsibility.  Quality: Provide continual improvement recommendations/direction- setting advice within work team.  Project Management: Participate in customer and internal projects, including transformation. Lead projects from own responsibility area.  Customer Relationship Management: Balance internal needs with customers and/or internal businesses/end user's needs within defined parameters.  Teamwork: Work as part of a team, which may be virtual, global, and/or multi-functional. Seen as a resource to the team within area of technical responsibility. Education and Experience Required: Bachelor's degree in Computer Science, Engineering, Business, or related field or equivalent work experience. May hold entry-level or intermediate-level certification(s) in work field. Typically 2-5 years of relevant experience. Knowledge and Skills: Typical skills include: Understanding of technology in direct responsibility (developing). General understanding of related technologies. Customer Service General Project Management (developing). Customer/Vendor Management (developing). Business Analysis (developing). General Financial Management .",Data Engineer,,,,['SAP'],"['IT infrastructure', 'application infrastructure', 'project management', 'Information Technology Infrastructure Library', 'ITIL', 'server administration', 'technical security management', 'Incident Management', 'Escalation Management', 'Problem Management', 'Change Management', 'Patch and Security Management', 'Configuration Management', 'Project Management', 'Business Analysis', 'General Financial Management']",['2-5 years'],"[""Bachelor's degree""]","['Computer Science', 'Engineering', 'Business']",,
257,Cadet Engineer,Fastech,,Laguna,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=66fd477e7bc65d42,"Graduate of BS Chemical Engineering, BS Electronics Engineering or Electrical Engineering With or without experience Fresh graduates are welcome to apply Analytical and mental capabilities in dealing with figures and data Leadership capabilities Strong interpersonal skills and ability to communicate well with people Willing for shifting schedule and render overtime",Data Engineer,,,,,,,['BS'],"['Chemical Engineering', 'BS Electronics Engineering', 'Engineering']",,
258,Industrial Engineer,"Columbia International Food Products, Inc.",,Navotas,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=4b0ba18d46862ac9,"Industrial Engineer Job Qualification At least College Degree in Manufacturing or Industrial Engineering course or equivalent. Fresh Graduates are welcome to apply At least 1 year working experience in related field, preferably in Manufacturing/Production industry with food processing & food packing exposure as advantage Additional Skill: AUTOCAD Knowledgeable in: GMP, 5S & HACCP Willing to work on shift duty (day shift/night shift) Willing to work or relocate in Navotas, CAMANAVA area Job Type / Category Sweet Candies Manufacturing Required Education, Skills, and Qualifications Job Description Will oversee production prompt schedule and monitor efficiency Will calculate and measure inputs and outputs of production Will supervise production staff to be orderly, clean and in task. Will maintain overall orderliness and cleanliness of assigned area/s Prepares reports and collects data for senior supervisors Preventive of any production obstacles by close coordination with other personnel such as maintenance engineers, quality control, and senior supervisors Other duties may be assigned from time to time Job Types: Full-time, Permanent Salary: Php15,000.00 - Php18,000.00 per month Experience: Industrial Engineer: 3 years (Preferred) Education: Bachelor's (Preferred) Location: Navotas (Preferred) Work Remotely: No",Data Engineer,,,,,,"['1 year', '3 years']","['College Degree', ""Bachelor's (""]",,"['Php15,000.00 - Php18,000.00']",
259,AutoCAD Operator,Ageo System Solution Corporation,,Pasig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=26decc7cc759692b,"JOB DESCRIPTION: 1. Understands the equations, calculations and written instructions from designers and engineers before beginning a CAD drawing 2. Uses special notations and symbols to give instructions on drawings and blueprints. 3. Draw plans for structural foundations and other construction projects 4. Uses manual drawing skills for plans that cannot be computer generated 5. Determine impact of site requirements and building codes before doing drawings or blueprints. 6. Reviews engineering data to ensure compliance with the original design plans. 7. Modifies existing drawings 8. Draw illustrations of mechanical systems for manual JOB REQUIREMENTS: 1. Bachelor's degree in Computer Technology, Architecture or any Engineering courses 2. With at least two (2) years related working experience 3. Knowledgeable of drafting software for creating 2D and 3D computer drawings 4. Ability to work in a fast paced environment and can work with minimal supervision. Job Type: Full-time Salary: Php15,000.00 - Php17,000.00 per month Schedule: 8 hour shift",Data Engineer,,,,,,,"[""Bachelor's degree""]","['Computer Technology', 'Engineering']","['Php15,000.00 - Php17,000.00']",
260,Field Service Engineer,Atlas Copco (Philippines) Inc.,,Philippines,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=e7bd4488f98bb366,"The Role In this mission, you are the face to our customers. You will help to manage our growth in field service business by delivering excellent work, strong customer commitment and engagement. You ensure that the customer's expectations are met every tiem. You consult the customers and provide timely service support for technical problems, monitoring, testing and demonstrations. This is a positive effect in minimizing downtime, reducing costs, or promoting our product capabilities in the case of a test or demo.  Job Description Being responsible for troubleshooting, repairing, and installing parts and equipment at customer site. To do excellent commissioning jobs at customers sites. Run and manage regular check-ins or health-checks on pumps. Conduct regular maintenance works on pumps at site. In case needed, support in warranty claims and manage customer complaints. Ensure an excellent internal communication and network to share lessons learned with other field service colleagues. Providing technical support in the form of troubleshooting either by phone or on site. Provide training for distributors and customers on all relevant features and benefits of using our products and consumables. Actively communicate service and other relevant activities to Customer and VTS Operations Manager. Spot and hunt for Service and Equipment sales opportunities and generate leads for the Sales teams.  What we expect of you? We know that passionate people provide the best service, hence attitude is the key criteria for us. You describe yourself as a proactive, engaged, driven person, eager to be the face to the customer and represent Vacuum Technique Service. You are willing to constantly learn and develop yourself and also expose yourself to train others, internally and externally.  You are interested in the mechanical as well as the electrical parts of a pump and ideally have a mechatronics or similar background. You are technical savvy as to understand latest technology development in the area of remote connectivity, data analytics or augmented reality for service purpose. You have profound IT skills on MS office and other systems.  You are self-organized and able to work autonomously, whilst keeping a strong network and relationship to the organization. You embrace change, make things happen and create innovative ways to enhance business success.  What you can expect from us? At Vacuum Technique Service, we believe in challenging the status quo, always looking for ways to improve things. Our cutting-edge technology and great ideas allow us to innovate for the future and service is one of the strategic growth pillars for the Group. We offer a wide range of career opportunities within the Atlas Copco Group, out of which 5 are from specific service divisions. We believe it is passionate people who make things happen. As a service technician you are seen as a brand ambassador and our face to our customers. We invest in your development and give you many training and learning opportunities. With us, you lead your own career path and you are empowered to act. We give highest flexibility when it comes to working conditions. We give you freedom with accountability and a variety of tasks you are independently working on. We ensure that you feel part of a team and provide good network opportunities. By travelling around you will see new places and meet a lot of new people. We trust in fair and attractive compensation package and benefits package. Start a journey of endless opportunities At Atlas Copco we believe in challenging the status quo, always looking for a better way. Our leading-edge technology and great ideas enable us to innovate for the future. We believe that passionate people make it happen. You are a brand ambassador and our face towards our customers. With us you drive your own professional journey and you are empowered to act. We offer a wide range of interesting job roles and many opportunities to grow. This is where it begins ?? Join us at the Home of Industrial Ideas.",Data Engineer,,,,['MS office'],,,,,,
261,Mud Logger / Data Engineer,OILSERVE PHILIPPINES CORPORATION,,Muntinlupa,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=2f4af22548a98010,"Please download, fill up resume & send to louie@oilserve.co louie@oilservephilippine.com  Job Description: A Mud Logger/Data Engineer collects and monitors all information from (geological samples and data from sensors) in ??real-time?? from computer based data acquisition system during operations at an onshore or offshore Oil, Gas & Geothermal rig. Mud Loggers work from a mobile laboratory placed on the onshore or offshore rig site and are in charge of collect; process and analyze the samples. The mobile laboratory is filled with the latest equipment, including binocular microscopes, ultraviolet fluorescence and thin section analysis equipment to ensure the best working conditions to execute the job according to the client??s needs and demands. The Mud Logger interprets the information with regards to pit levels, rate of penetration, the rotation speed, the mud fluid flow rate, cutting and pump rate. Inside the unit you will work alongside the Data Engineer. Duties & Responsibilities: Real time monitoring of drilling activity onsite Contributing to maintain a safe working environment on the rig by interpreting the data at hand and giving feedback to the Data Engineer; drilling team and company man Lending onsite technical support in case of equipment failure Having a pro-active attitude towards the health and safety aspect of the job Assisting the Well-Site geologist during ??coring operations?? Creating special logs and written reports for Well-Site Geologist and company man Education/Requirements B.S. Geology degree Fluent in English Available and motivated to travel Excellent interpersonal and communication skills Strong team player At least 2 years Experience as Mud Logger",Data Engineer,,,,,['Real time monitoring'],['At least 2 years'],['B.S.'],['Geology'],,
262,Junior System Engineer (Data Center Operations),ACTIONLAB IT SERVICES PHIL. CORP.,,Quezon City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=cbfded7b947e6455,"Degree holder in Information Technology or any related studies. Must have at-least 1-3 year solid experience in same or related field. Average or excellent communication skills. Act as Hands and Eyes support to clients. Assist with system administration activities. Perform site audits. Expected to take the initiative on issues to proactively prevent recurrence. Advises on best practices to ensure that customer's backup solutions are able to work in a reliable, efficient and supportable way. Communicate in a clear and concise manner both in written form of emails, ticket comments, and verbally; as well as internally and on the phone with customers. Consistent regular interaction with both internal and external customers as well as account managers and management. Understand the configuration of Commvault* backup applications on client servers. Job Types: Full-time, New-Grad, Permanent Salary: From Php25,000.00 per month Schedule: Day shift Holidays Monday to Friday Overtime Weekends Experience: System Engineer: 1 year (Preferred)",Data Engineer,,,,,,"['1-3 year', '1 year']",['Degree holder'],['Information Technology'],"['Php25,000.00 per']",
263,NOC Engineer,White & Case,,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20engineer&limit=50&radius=100&vjk=892dbc5db9c1ec47,"NOC Engineer Firm Summary White & Case is an elite global law firm serving leading companies, financial institutions and governments worldwide. Our long history as an international firm means we are perfectly placed to help our clients resolve their most complex legal challenges wherever they may be.  With lawyers operating from more than 40 locations, working in virtually every country of the world, we have invested heavily in building a high-quality full-service practice competing at the top of the market. We are distinguished by our on-the-ground presence in the world??s key financial markets and our strengths in handling complex cross-border work.  It??s not just about our global network of offices; it??s the global interconnectedness of the Firm that our people, and our clients, value most. We work well together across geographic and practice boundaries. It??s one of the reasons we attract and retain cross-border work. And why we attract a diverse group of people.  Our lawyers are globally minded, enterprising, collaborative and committed to excellence. Diversity is a core value of our Firm and it has been recognized with numerous awards and top rankings around the world. Our people represent 90 nationalities and speak 80 languages. Position Summary Provides Tier 1 technical support to internal customers via the Network Operations Center (NOC) Support Systems.  Our Functional Area Technology at White & Case plays a key role in enabling our lawyers is practicing law around the world. Our team comprises of three functions: Business Services ?? who maintain, develop and support our enterprise systems, Operations ?? who design, build and support our communications and data centre operations, and Support Services ?? who provide desktop, meeting and training support in the Firm??s offices. Together we support our lawyers with leading edge technology and systems to deliver elite legal and best-in-class client service. Globally-minded and diverse, our team covers a range of technical disciplines and business skill sets. This encompasses from business analysts, data architects, application developers and engineering staff covering range of technologies that include virtualisation, cloud, networking, storage, collaboration services and security. We deploy the latest technology and hardware within our state of the art offices. Our technical support staff support and train our people on the latest hardware and operating systems, remote working capability and mobile devices. Our Shared Services centres provide Service Desk and Operation Centres that providing support and monitoring of Firm systems 24 x 7. Working closely with our business services colleagues in support of the Firm??s Finance, HR, Marketing and KM Information Technology systems Drawing, Global Technology Services is at the heart of the Firm??s global operations.  Duties and Accountabilities1 Duties and Accountabilities1 Monitor system and network health; perform troubleshooting; escalate incidents and requests to the next level of support for resolution. Perform regular checks to ensure that NOC tasks are fulfilled correctly and in a timely manner. Generate periodic reports on systems and network performance; Establish, maintain and improve technical documentations together with other IT teams. Adhere to escalation procedures, task procedures, and troubleshooting processes. Support new and existing technologies as identified by supervisor and management. Provide local support function to selected offices globally.  Qualifications Min 2 year experience in relevant field, it would be an added advantage from a Systems Admin background specifically on Windows NT server and succeeding versions of the Windows Server product family; Must possess basic LAN/WAN technologies like VPN, MPLS, VOIP, IPSec, BGP, GRE, EIGRP, OSPF SSH/Telnet & Terminal Server Remote Access covering areas such as firewalls, domain name services, and server infrastructure; Have at least 1 year experience using HP Open View, Solarwinds, SCOM or similar monitoring tools; Solarwinds Certification is an advantage CCNA Certification is an advantage ITIL Certification is an advantage Experience in SQL is an advantage. Experience in PowerShell and scripting is an advantage. Experience Microsoft SCCM is an advantage. Minimum of 1 year experience with troubleshooting Windows 7, Office 2010. Must have at least 1 year experience in handling ticketing tools e.g. ServiceNow. Must have at least 1 year experience in MS-Exchange Admin Must have at least 1 year experience in Active Directory Admin. Must have at least 1 year experience in VMware Technologies Must have at least 1 year experience in NetApp or any equivalent Enterprise back-up software Detail oriented with the ability to multi-task to resolve customer issues Good Communication & Customer Relationship skills; Able to work in shifts (24 x 7) Location and Reporting This is a role based in Manila 1The above is only a general description of the essential duties associated with this position and does not represent an exhaustive or comprehensive list of all duties. Primary Location: Philippines-Manila Job: Technology Job Posting: Nov 4, 2020, 1:04:18 AM",Data Engineer,,,,"['VPN', 'MPLS', 'VOIP', 'IPSec', 'BGP', 'GRE', 'EIGRP', 'OSPF SSH', 'HP Open View', 'Solarwinds', 'SCOM', 'SQL', 'PowerShell', 'Microsoft SCCM', 'MS-Exchange Admin Must have at least', 'VMware Technologies Must have', 'NetApp']","['ITIL', 'scripting']","['1 year experience', 'Minimum of 1 year']",,,,
