Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
3512,Data Scientist,QuantumBlack,Business Services,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1126274&s=149&guid=00000175a732fc4d8f211fa9b1db89a9&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_de9b011a&cb=1604827938146&jobListingId=3678982617,"Analytics Data Scientist - QuantumBlack  Jakarta  Apply Now  Qualifications  Bachelor or Masters or PhD level in the field of computer science, machine learning, applied statistics, mathematics Experience in predictive analytics, AI, machine learning, visual analytics, neural networks, deep learning Programming experience; Python & SQL preferred Experience in applying data science methods to business problems Good presentation and communication skills, with the ability to explain complex analytical concepts to people from other fields  Who You'll Work With   You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.  Who you are  You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly.  What You'll Do  As a Data Scientist at QuantumBlack in Jakarta...  You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally.  You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.  Role responsibilities Work on complex and extremely varied data sets from some of the world??s largest organisations to solve real world problems Develop data science products and solutions for clients as well as for our data science team Write highly optimized code to advance our internal Data Science Toolbox Work in a multi-disciplinary environment with specialists in machine learning, engineering and design Add real-world impact to your academic expertise, as you are encouraged to write ??black?? papers and present at meetings and conferences should you wish Attend conferences such as NIPS and ICML as one global team as well as Data Science retrospectives where you will have the opportunity to share and learn from your co-workers. Work within one of the largest and most advanced data science teams in London, support the lead data scientists to develop data science products What you??ll learn How successful projections on real world problems across a variety of industries are completed through referencing past deliveries of end to end machine learning pipelines Build products alongside the core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations Be able to focus on modelling by working alongside the Data Engineering team which focuses on the wrangling, clean-up and transformation of data. Best practices in software development and productionise machine learning by working with our Machine Learning Engineering teams which optimise code for model development and scale it Work with our UX and Visual Design teams to interpret your complex models into stunning and user-focused visualisations Using new technologies and problem-solving skills in a multicultural and creative environment You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport. Real-World Impact ?? No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally. Fusing Tech & Leadership ?? We work with the latest technologies and methodologies and offer first class learning programmes at all levels. Multidisciplinary Teamwork - Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance. Innovative Work Culture ?? Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions. Striving for Diversity ?? With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life. Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car??s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture: Healthcare Efficiency ?? We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches. Environmental Impact ?? We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution. Product Development ?? We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures. Please submit your CV in English  Visit our Careers site to watch our video and read about our interview processes and benefits  As an equal opportunity employer, QuantumBlack encourages applications from all backgrounds regardless of gender, race, disability, pregnancy, marital status, age, sexual orientation, gender reassignment, religion or belief. We maintain a sense of community rooted in respect and consideration for all employees where any evaluation is based simply upon individual work and team performance.  Industries High Tech  Functions Technology  Apply Now FOR U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by applicable law.  FOR NON-U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity employer. For additional details regarding our global EEO policy and diversity initiatives, please visit our McKinsey Careers and Diversity & Inclusion sites.",Data Scientist,1d,501 to 1000 Employees,Full-time,"['Python', 'SQL']","['predictive analytics', 'AI', 'machine learning', 'visual analytics', 'neural networks', 'deep learning', 'Programming', 'machine learning pipelines', 'modelling', 'wrangling', 'clean-up', 'transformation of data', 'software development', 'model development', 'visualisations']",,"['Bachelor', 'Masters', 'PhD']","['computer science', 'machine learning', 'applied statistics', 'mathematics']",,
3513,Big Data & Analytics Consultant,Amazon,Information Technology,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=883172&s=149&guid=00000175a732fc4d8f211fa9b1db89a9&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_ad0cfdff&cb=1604827938147&jobListingId=3621188669,"Are you passionate about analytics? Would you like to help customers become more data driven to achieve their business goals? Do you want to learn the very latest in cloud web services technologies and apply them to some of the most interesting analytics workloads in the world? Are you skilled at helping customers and partners to address their Big Data and Analytics projects using cloud computing architectures? At Amazon Web Services (AWS), were hiring technical Big Data and Analytics consultants to help our customers & partners develop technical expertise and capacity, and to work with our partners on key customer engagements.  Within the diverse Professional Services team, this role specializes in a variety of Big Data and Analytics aspects using cloud web services in large scale computing environments. Our Big Data and Analytics consultants deliver architecture guidance, lead projects, conduct customer workshops and implement complex data analytics workloads with our customers and partners. Responsibilities include: ?£ Expertise - Collaborate with AWS field sales, pre-sales, training and support teams to help customers and partners learn and use AWS services such as Amazon Elastic Compute Cloud (EC2), Amazon Simple Storage Service (S3), Amazon Elastic Map Reduce (EMR), Amazon SageMaker (development of advanced analytics and Machine Learning pipelines), AWS Glue (serverless Apache Spark workloads), AWS Lambda (serverless computing), etc.  ?£ Solutions - Define and deliver on-site technical engagements with partners and customers. This includes participating in pre-sales meetings & visits, understanding customer Big Data and Analytics requirements, and proposing and delivering packaged offerings, as well as delivering custom solution engagements.  ?£ Delivery - Engagements include short on-site projects proving the use of AWS services to support new distributed computing solutions that often span private cloud and public cloud services. Engagements will include migration of existing applications and development of new applications using AWS cloud services.  ?£ Insights - Work with AWS engineering, support and business teams to convey partner and customer feedback as input to AWS technology roadmaps.  Basic Qualifications  ?£ 1+ years of experience in cloud ?£ 10+ years of experience with direct customer interaction ?£ 5+ years of experience with any of the following technologies: Databases (SQL/NoSQL, MongoDB, Cassandra, MariaDB, PostgreSQL), Big Data open source tools (Hadoop, Spark), Big Data proprietary tools (Hortonworks, Cloudera) programing experience (Java, Python, R, Julia, SQL) BI tools (Tableau, Power BI, Spotfire, Microstrategy, Cognos, etc). ?£ Business level command of English language, reading, writing and speaking. ?£ BS level degree required or equivalent ?£ Travel to customer locations may be required to support pre-sales and delivery of professional services, as needed.    Preferred Qualifications  ?£ Current, large scale project implementation experience required. ?£ Strong verbal and written communications skills and ability to lead effectively across organizations. ?£ Project experience with key vertical markets such as Financial Sector, Telecom, and Utilities. ?£ Ability to think strategically about business, product, and technical challenges. ?£ Technical and analytical skills, possessing 7+ years of IT implementation/consulting experience. ?£ Implementation of AWS services in a distributed environments with large data pipelines using technologies such as Microsoft, IBM, Oracle, HP, SAP etc. ?£ BS level degree in computer science, business or math background preferred. ?£ Ability to understand and educate customers on cloud computing technologies and workload transition challenges. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",Data Scientist,9d,10000+ Employees,Full-time,"['Amazon Web Services', 'AWS', 'Amazon Elastic Compute Cloud (EC2)', 'Amazon Simple Storage Service (S3)', 'Amazon Elastic Map Reduce (EMR)', 'Amazon SageMaker', 'AWS Glue', 'Apache Spark', 'AWS Lambda', 'AWS cloud services', 'AWS engineering', 'SQL', 'NoSQL', 'MongoDB', 'Cassandra', 'MariaDB', 'PostgreSQL', 'Hadoop', 'Spark', 'Hortonworks', 'Cloudera', 'Java', 'Python', 'R', 'Julia', 'Tableau', 'Power BI', 'Spotfire', 'Microstrategy', 'Cognos', 'IBM', 'Oracle', 'HP', 'SAP']","['Big Data', 'architecture guidance', 'Machine Learning pipelines', 'BI tools']",['7+ years'],['BS'],"['computer science', 'business', 'math']",,
3514,Data Scientist,Tiket.com (PT. Global Tiket Network),Travel & Tourism,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1091461&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_87f16d5a&cb=1604827938147&jobListingId=3657318909,"Define problems and hypotheses, develop recommendations, and analyze large amounts of data to discover insights for solving the problems, leading to better business performance. Design, plan, develop, and deploy machine learning models and advanced analytics solutions to solve a wide array of business problems. Collaborate with Business Intelligence and Data Engineer teams to find the external and internal sources of new data and to improve existing data sources in order to continually improve data quality. Continuously improve the performance of our models, monitor model performance in production systems closely. Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation, and model implementation Coach and help junior data scientists to grow their capabilities.  Min 3 year experiences doing AI / Machine Learning Projects Experience in doing statistical analysis, developing machine learning models into production Familiar with Python to develop a statistical data model Familiar with database query Possess great design and problem-solving skills, have a passion for quality and engineering excellence at scale. Ability to work independently in a fast-paced, iterative development environment. Exemplary communication skills, ability to work with large cross-functional teams of technical and non-technical members. Have a deep knowledge about statistic model Have a good collaboration skill Have a good communication skill Have a strong critical thinking",Data Scientist,17d,51 to 200 Employees,Full-time,['Python'],"['develop recommendations', 'deploy machine learning models', 'advanced analytics', 'model development', 'model validation', 'model implementation', 'AI', 'Machine Learning', 'statistical analysis', 'developing machine learning models']",['Min 3 year'],,,,
3515,Data Scientist (Indonesian Speaking),Upwork,Business Services,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1091461&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4378ba0d&cb=1604827938148&jobListingId=3711768815,"Upwork has partnered with a large Enterprise client who makes sustainable living commonplace. The client is one of the world??s leading consumer goods companies, making and selling around 400 brands in more than 190 countries. In order to further their vision, they need an experienced Data Scientist who is fluent in Indonesian language. As a Data Scientist you will: ?? Be in charge of the delivery of end to end projects which sees the discovery of insights via the statistical analysis of multiple data sources and advanced analytics, including media insights & commissioned research. ?? Build models using a variety of data sources. ?? Utilize machine learning and statistical methods to improve business. ?? Design rich data visualizations to communicate ideas with the relevant stakeholders. ?? Build queries and conduct analysis (sentiment, influencers) to fulfill advanced requests. ?? Provide support, advice and assistance to teams creating advanced analytics services and techniques that are accessible to those of non-statistical backgrounds. ?? Configuration of advanced tools, such as NLP, visualization etc, where some domain knowledge is required and/or programming skills are necessary. ?? Collaboration with data analyst peers on model development. ?? Work with other PDC delivery roles to ensure that all outputs are created to a high standard & consistency.  Requirements:  About you:  ?? Possess strong data modeling/machine learning/deep learning experience for clustering. ?? Have extensive experience working with APIs (knowledge of building APIs preferred). ?? Possess knowledge of building data pipelines, ideally in Spark. ?? Fluent in Bahasa Indonesia. ?? Have a Strong background working with the following: Python, Spark, PySpark and Hive.  Benefits:  ?? Collaborate with an industry leader in consumer goods to further the company mission. ?? Flexible schedule. ?? Project-based role. ?? Work from home. ?? Terrific pay!",Data Scientist,22d,201 to 500 Employees,Full-time,"['Spark', 'Python', 'PySpark', 'Hive']","['statistical analysis', 'machine learning', 'data visualizations', 'queries', 'conduct analysis', 'NLP', 'visualization', 'programming skills', 'model development', 'deep learning', 'clustering', 'data pipelines']",,,,,
3516,Data Scientist,The Bonza,Travel & Tourism,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1091457&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&cs=1_aa84e4d7&cb=1604827938150&jobListingId=3731732288,"What we are looking for:  Quantitative background (Science, Technology, Engineering, and Mathematics background preferred)  Good communication and presentation skills (Data storytelling)  At least 3 years of work experience as a data scientist  Track record of deploying and evaluating machine learning and statistical models to production  Experience in SQL and other language for manipulating large data sets  In depth expertise in machine learning model and statistical analysis  Proficient in at least one programming language (preferably Python)  Familiar with distributed framework to process big data and train large models, e.g. Dask, pyspark  Passion for learning new things  Plus points for you if you have knowledge in workflow orchestration tools such as airflow, prefect, azkaban  What??s on offer:  To be part of Indonesia??s fastest growing data analytics company  A great work culture, with coaching, massive ownership and growth opportunities  Data driven, quick iterations, and deployment - fail-fast attitude  Attractive remuneration package, with employee stock ownership and insurance coverage",Data Scientist,4d,1 to 50 Employees,Full-time,"['SQL', 'Python', 'Dask', 'pyspark', 'airflow', 'prefect', 'azkaban']","['Data storytelling', 'evaluating machine learning', 'statistical models', 'manipulating large data sets', 'machine learning model', 'statistical analysis', 'programming language', 'big data', 'train large models']",['3 years'],,"['Quantitative background', 'Science', 'Technology', 'Engineering', 'Mathematics']",,
3517,Data Scientist,FinAccel,,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1091457&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&cs=1_77cb3f8b&cb=1604827938151&jobListingId=3732813568,"We are excited to welcome dynamic robust Data Scientist who have :  Minimum 2 years of relevant work experience.  Masters, PhD or equivalent experience in a quantitative field (i.e). Computer Science, Mathematics, Statistics, Econometrics, Engineering, Artificial Intelligence).  Capable to build robust end-to-end predictive models using the latest Machine Learning techniques and methodologies.  Proficiency in Python or R.  Exposure to RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3).  Excellent English communication skills.  Bonus points (optional) for:  Experience with alternate data to evaluate credit risk.  Experience in building end-to-end Deep Learning and/or NLP models.",Data Scientist,3d,51 to 200 Employees,Full-time,"['Python', 'RDBMS', 'MySQL', 'PostgreSQL', 'No-SQL', 'S3']","['Machine Learning', 'NLP models']",,"['Masters', 'PhD']","['Computer Science', 'Mathematics', 'Statistics', 'Econometrics', 'Engineering', 'Artificial Intelligence']",,
3518,Data Scientist,PT Indmira,,Yogyakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1091461&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&cs=1_6b1dc798&cb=1604827938152&jobListingId=3693253504,"PT INDMIRA mencari Data Scientist untuk Indmira Group, yaitu PT Atnic Ekotekno Wicaksana dengan persyaratan sebagai berikut :  Menggunakan analisis kuantitatif dan data presentasi untuk melihat lebih dari data dan angka serta memahami apa yang terjadi dengan produk dan bisnis JALA Memberikan insight untuk membantu tim produk dan tim bisnis memahami apa yang terjadi dengan pengguna JALA dan trend jangka panjang yang akan terjadi Membantu tim produk untuk memberikan rekomendasi mengenai fitur apa yang tepat untuk dikembangkan Mengembangkan end-to-end model deep learning dan fine-tune pada data kualitas air dan budidaya udang Berperan dalam pengembangan workflow dan machine learning process JALA Mendesain dan mengimplementasi data pipelines, proses ETL dan analytics tools Mendesain algoritma AI/machine learning yang dapat memodelkan, meprediksi, atau mengidentifikasi berbagai jenis data dan informasi dalam budidaya tambak udang Mengembangkan dan mencari metode penyimpanan dan visualisasi data yang efisien  Kebutuhan : 1 orang  Kualifikasi :  Usia 18-30 tahun D3/S1 Teknologi Informasi, Ilmu Komputer, Statistik/Matematika Terapan Familiar dengan data mining dan data modeling Mampu mengumpulkan, memproses data dari berbagai sumber menggunakan SQL, R, Python atau tools scripting dan statistik lainnya Memiliki pengalaman di data analytics Memiliki pemahaman dalam analisis statistik (seperti: uji hipotesis, eksperimentasi, regresi) dan familiar dengan tools statisitik (Matlab,R, SAS atau Python) Memiliki pengalaman menggunakan framework untuk Machine Learning Paham mengenai data fundamentals: SQL, manipulasi data menggunakan procedural languange, statistik, eksperimentasi, dan modeling Memiliki pengalaman dengan teknologi data AWS adalah nilai lebih  Lamaran diterima paling lambat tanggal 28 Februari 2019.  HUMAN CAPITAL & SYSTEM MANAGEMENT PT.INDMIRA JL. Kaliurang km 16,3 Yogyakarta 55582 Telp. 0274.898269 hc@indmira.com  Lowongan ini tidak aktif.",Data Scientist,12d,,Full-time,"['SQL', 'R', 'Python', 'Matlab', 'SAS']","['ETL', 'data mining', 'data modeling', 'Machine Learning']",,,,,
3519,Data Analyst,Tokopedia,Information Technology,Indonesia,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1091461&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&cs=1_7f600446&cb=1604827938154&jobListingId=3677821168,"General Job Description:  Become SME (Subject Matter Expert) in terms of Data & Analytics within Business Unit/Cluster  Understand and Analyze Transactional (Order Related), Behavioral (Event Tracking, Client Activity) ,and Demographic data  Explore Various Datasets to Generate Insights, Conclusions and Recommendations  Produce Rich, Insightful, Meaningful and Beautiful Dashboards for Monitoring, Reporting that Automates Insight Generation  Collaborate and synergize across with other data functions such as Data Engineering, Business Intelligent, Data Tracker , and Data Scientist teams  Strategic Partner for Product (Feature, Functionality), Business (Campaign, Initiatives) and also Technology (Implementation)  Specific Technical Requirments  Produce data visualization and story tell the data with required tools.  Perform work with solid Excel proficiency & SQL knowledge.  Develop understanding of data wrangling & data manipulation (R/Python)  Basic statistics modelling utilization  Provide data insights on demand and proactively in order to assist operations  General Requirments:  Bachelor's Degree  1+ years of Data analytics experience is a plus",Data Scientist,1d,1001 to 5000 Employees,Full-time,"['Meaningful', 'Beautiful Dashboards', 'Excel', 'SQL', 'R/Python']","['Business Unit', 'Data Engineering', 'Business Intelligent', 'data visualization', 'data wrangling', 'data manipulation', 'data insights']",['1+ years'],"[""Bachelor's Degree""]",,,
3520,Data Scientist - GoMerchant,GO-JEK,Transportation & Logistics,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1091461&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&cs=1_5167a2c3&cb=1604827938155&jobListingId=3714542834,"About the Role The role requires you to utilize various quantitative techniques (e.g. machine learning, optimization) to drive the asymmetric values for our business at Gojek. As a data scientist, you will work closely with the product managers, engineers, and business users to deliver scalable data science solutions - increasing the overall growth and efficiency of our Merchants-Food-Payment business.  What Will You Do  Design and develop various machine learning solutions to improve merchants/users experience, to enhance the efficiency of business processes, and to boost the overall Gojek merchants?? growth Take ownership of the end-to-end data science solutions - from framing the business problem as data science problem to building and deploying the models into production Along with product managers and business users, own the business outcomes or metrics that the data science solution drives Become the thought partner for product team to add new features or operations flows that can boost the data science model performance in general (e.g. design the feedback-loop or human-in-the-loop process to continuously improve the model performance over time)  What You Will Need  At least 3 years of experience as a Data Scientist and have at least a Bachelor's degree in a quantitative field (i.e. Mathematics, Statistics, Computer Science, Machine learning etc) Hands-on knowledge in common data science stacks (Python+DS libraries, SQL, H2O, etc.) Experience working in cloud-based solutions like GCP, AWS, etc. Demonstrable experience with TensorFlow outside of an academic setting, or other machine learning libraries such as Scikit-Learn, XGBoost etc. Proven experience to formulate data science solutions to business problems Proven ability to communicate with business and know business needs Have a good knowledge of good software design fundamentals and TDD (test-driven development) Will be better to have experience in building end-to-end data science solutions for dynamic pricing to optimize revenue generation, recommendation engine About the Team Gojek-Merchants data science team works on a broad range of data science problems (i.e. from cost saving to revenue generation problems). We utilize machine learning and other quantitative techniques to solve some of the most interesting and meaningful problems in the region at scale. as part of this team, you will get the chance to boost the growth of business/merchants with any size (either the small-medium businesses or huge enterprises in the region) through the delivery of data science solutions.",Data Scientist,19d,1001 to 5000 Employees,Full-time,"['Python+DS libraries', 'SQL', 'H2O', 'GCP', 'AWS', 'TensorFlow', 'Scikit-Learn', 'XGBoost']",['machine learning'],"['At least', '3 years']","[""Bachelor's degree""]","['Mathematics', 'Statistics', 'Computer Science', 'Machine learning']",,
3521,Data Scientist,Spinwell Global Risk & Securities Ltd,,Jakarta,Indonesia,Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1091462&s=58&guid=00000175a732fc4d9d8329a4afc12f42&src=GD_JOB_AD&t=SR&vt=w&cs=1_c617aeaf&cb=1604827938155&jobListingId=3693133146,"Description  At least 5 years validated proven track in similar working experience Solid Understanding of SQL, PL/SQL, SQL Server, SPSS, SPAS Good command of programming language and software environment for statistical analysis, graphics representation and reporting i.e. R, Python; Knowledge of Business Objects, Tableau, Cognos Distributed computing paradigms such as different distributions of Hadoop, Spark. Excellent documentation skills. You should have experience in managing Multiple Test Demo??s and presenting to customers. You should have Telco Solution Architecture experience Preferably an Indonesian Citizen due to visa restrictions",Data Scientist,12d,,Full-time,"['SQL', 'PL/SQL', 'SQL Server', 'SPSS', 'SPAS', 'R', 'Python', 'Business Objects', 'Tableau', 'Cognos', 'Hadoop', 'Spark']","['statistical analysis', 'graphics representation']",['5 years'],,,,
