Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
1,Data Analyst/ Scientist,"Open iT, Inc.",Information Technology & Services,Lucena,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&advn=7109059346454600&vjk=e70a0d0217ec1dbd,"The Data Analyst/Scientist is intricately involved in running analysis in a methodical manner, and regularly evaluates alternate models to provide accurate feedback to the Product Development Team, as well as external customers. Required Qualifications: Ability to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills Knowledge in programming languages, such as Java and Python Willing to work night shift Preferred Qualifications: Strong background in Engineering, operational research, and data analysis Knowledge in software license agreements Excellent oral and written English communication skills Two years of practical experience in programming, data analysis, ETL, data mining, databases, and statistical analysis If this opportunity is a potentially good match for you, then we look forward to reviewing your application. Copy this URL: https://openit.com/job/data-analyst-scientist-2/ and we hope to meet you soon! Job Type: Full-time Work Remotely: Temporarily due to COVID-19",Data Scientist,,,,"['Java', 'Python']","['data transformation', 'pattern recognition', 'predictive modeling', 'operational research', 'data analysis', 'programming', 'ETL', 'data mining', 'databases', 'statistical analysis']",['Two years'],,['Engineering'],,
5,Data Scientist (Bootcamp),Novare,Information Technology & Services,Taguig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=ae928472048bc83c,"Job Description  A Data Scientist(CL1) should help Data Management and Systems Operations (DSO) department by enabling the business to discover relevant insights from vast amounts of information and augmenting advanced analytics to our end to end solutions, driving real business impact. Its main focus shall involve, but is not limited to data wrangling, machine learning, and the application of appropriate advanced analytics for the business??s key initiatives.  Duties and Responsibilities  Develop machine learning models (data models) to solve domain specific problems Unearth and discover trends, patterns and principal components from given datasets Support the creation of advanced visualizations by collaborating with data analysts Support end to end data lake solutions by incorporating prescriptive and predictive analytics and other things that will lead to attaining full automation and state-of-the-art artificial intelligence Develop proof of concepts on latest trends and technologies which are leaning towards analytics and advanced business solutions  Qualifications  Requires a Bachelor??s Degree in Statistics, Mathematics, Engineering, Computer Science or other related field focused on quantitative disciplines (Fresh graduates are welcome to apply) Knowledge in Python, R, or at least one of these preferred Knowledge in Big Data, Hadoop, Spark or at least one of these preferred but not required Knowledge in Machine Learning preferred but not required Familiarity with common data science and analytics tools and libraries such as jupyter notebook, sci-kit learn, pandas, numpy, scipy or at least one of these preferred but not required Familiarity with Amazon Web Services is a big plus Familiarity with linux environment is a big plus Natural problem solver and critical thinker Good communication skills Fast learner",Data Scientist,,,,"['Python', 'R', 'Hadoop', 'Spark', 'jupyter notebook', 'sci-kit learn', 'pandas', 'numpy', 'scipy', 'Amazon Web Services', 'linux']","['data wrangling', 'machine learning', 'advanced analytics', 'Develop machine learning models', 'data models', 'principal components', 'prescriptive and predictive analytics', 'artificial intelligence', 'Big Data', 'Machine Learning']",,['Bachelor Degree'],"['Statistics', 'Mathematics', 'Engineering', 'Computer Science', 'quantitative']",,
6,Data Scientist,Sprout Solutions PH,Information Technology & Services,Philippines,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=1072d46096d772a9,"The primary responsibility of a Data Scientist is to evaluate and improve Sprout??s products and growth strategies. The data scientist develops, prepares, and manages predictive models through completion; and synthesizes and leverages our database to provide timely and integrated views of our customer??s usage, support, relationship and subscription data. Responsibilities Develop predictive models utilizing a variety of statistical, machine learning, pattern recognition, and artificial intelligence algorithms Organizes raw data in spreadsheets Analyzes data and deciphering key takeaways Creates charts and graphs to display results Designs experiments to answer targeted questions Communicate complex analyses in a clear and actionable manner Actively contribute to strengthening the organization by referring candidates for recruitment Requirements Bachelor??s Degree in Computer Science or Statistics and/or equivalent experience Working knowledge of machine learning algorithms and techniques Experience in software development Strong problem solving and analytical skills Strong team player with good communication and presentation skills Has a track record of being a high achiever",Data Scientist,,,,,"['predictive models', 'statistical', 'machine learning', 'pattern recognition', 'artificial intelligence', 'machine learning algorithms', 'software development', 'problem solving']",,['Bachelor Degree'],"['Computer Science', 'Statistics']",,
7,Data Scientist,GDS Global Services Philippines Inc.,Information Technology & Services,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=64130d9dec587919,"Key Skill Requirements  Candidate must possess at least Bachelor's/College Degree in Computer Science/Information Technology, Mathematics, Physics, Economics or equivalent.  At least 1 Year(s) of working experience in the related field is required for this position.  Preferably 1-4 Yrs Experienced Employee specialized in Actuarial Science/Statistics or equivalent.  Credit Risk Analytics: At least one year of work experience in statistical modelling/data analysis with a background in the financial industry is preferred. Must have a strong knowledge of machine learning techniques  Programming and Database skills: High degree of computer literacy and previous programming experience on R/Python/SAS required. Experience building, using and maintaining SQL databases.  Visualization skills: At least one year experience on dashboard tools like Tableau, R Shiny, or Python Dash  Fluent in English. Excellent oral and written communication  Natural team player who can work well either independently or in a team  Strong analytical and problem-solving skills with high attention to detail and accuracy",Data Scientist,,,,"['R', 'Python', 'SAS', 'SQL', 'Tableau', 'R Shiny', 'Python Dash']","['statistical modelling', 'data analysis', 'machine learning', 'Programming', 'Database', 'Visualization']","['1 Year(s)', '1-4', 'one year', 'one year experience']","[""Bachelor's/College Degree""]","['Computer Science', 'Information Technology', 'Mathematics', 'Physics', 'Economics']",,
8,Data Scientist,Lynx Analytics,Information Technology & Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=a2e97da8cb8f0be3,"Founded in 2010, Lynx Analytics is a predictive analytics company, with a team of world-class quantitative marketing scientists and industry-experienced data scientists. We openly welcome ideas and innovation, and believe in succeeding as a team ?? whilst having a great time doing it! By joining us, you'll work with a collaborative group of diverse and talented individuals. We are looking for Data Scientists to work on and lead complex data analysis projects using standard modelling and data transformation approaches as well as Lynx's proprietary graph analysis system. You should be comfortable working with very large data sets residing in different data stores in disparate formats and be strong with hands-on implementation, as well as have the potential to move fast onto a high growth career trajectory. Leadership experience and charisma is a huge advantage. Key responsibilities will include: Designing and Delivering Solutions for a defined Data Science Related Problem at the client's location Present the results / Prepare Presentations for the Project Stakeholders (collaborating with the lead data scientist) Create reusable documentations, presentations and code libraries during the projects Mentoring Junior Data Scientists and Interns Leading smaller data science tasks with the help of internal leadership and PMO Participating in internal education and research tasks To succeed in this role, you should fulfill the following requirements: 2+ years of experience of any of the following fields: finance, telecommunication, retail, public, healthcare. 3+ years overall experience in data mining and/or data science field. Mathematics, Statistics, Economics, Computer Science, Engineering or related degree (MSc or PhD is preferred) Understanding complex Data Science Solutions Solid knowledge of probability theory, statistics, data science algorithms and their application in Customer Retention, Campaign Management etc. areas Good Communication (both verbal and written) and Data Visualization Skills Coding abilities at least one of the following languages: Python (preferred), R, SAS, C, JAVA (or similar) Solid knowledge of DWH querying languages Fluency in English (additional Mandarin or German knowledge is an advance) Willingness to travel - Up to 50% travel across the region will be required",Data Scientist,,,,"['Python', 'R', 'SAS', 'C', 'JAVA']","['standard modelling', 'data transformation', 'graph analysis', 'data mining', 'data science', 'probability theory', 'statistics', 'data science algorithms', 'Data Visualization', 'Coding']","['2+ years', '3+ years']","['MSc', 'PhD']","['Mathematics', 'Statistics', 'Economics', 'Computer Science', 'Engineering']",,
10,Data Scientist,LeapFroggr Inc.,Information Technology & Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=7d9417352167d944,"Strong problem solving skills with an emphasis on product development;  Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets;  Experience working with and creating data architectures;  Good communication and presentation skills;  Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks;  Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications;  A drive to learn and master new technologies and techniques",Data Scientist,,,,"['R', 'Python', 'SLQ']","['data architectures', 'machine learning', 'clustering', 'decision tree learning', 'artificial neural networks', 'regression', 'statistical tests']",,,,,
13,Data Scientist,Seven Seven Global Services Inc,Information Technology & Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=e0caa6356e04591f,"Develop advanced analytics/AI/machine learning models from business requirements gathering, data preparation, model development to deployment. Must have a deep understanding and relevant experience in scripting or programming; familiarity in programming languages with relational databases (e.g. Spark, Python, Java, Ruby, Clojure, Matlab, Pig, SQL)  Develop advanced analytics/AI/machine learning models",Data Scientist,,,,"['Spark', 'Python', 'Java', 'Ruby', 'Clojure', 'Matlab', 'Pig', 'SQL']","['advanced analytics', 'AI', 'machine learning models', 'data preparation', 'model development', 'scripting', 'programming', 'relational databases']",,,,,
18,Data Scientist (Bootcamp),Novare Technologies Inc,Information Technology & Services,Philippines,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=f6db917d51508ff8,"Job Description A Data Scientist(CL1) should help Data Management and Systems Operations (DSO) department by enabling the business to discover relevant insights from vast amounts of information and augmenting advanced analytics to our end to end solutions, driving real business impact. Its main focus shall involve, but is not limited to data wrangling, machine learning, and the application of appropriate advanced analytics for the business???¦??s key initiatives. Duties and Responsibilities Develop machine learning models (data models) to solve domain specific problems Unearth and discover trends, patterns and principal components from given datasets Support the creation of advanced visualizations by collaborating with data analysts Support end to end data lake solutions by incorporating prescriptive and predictive analytics and other things that will lead to attaining full automation and state-of-the-art artificial intelligence Developproof of concepts on latest trends and technologies which are leaning towards analytics and advanced business solutions Qualifications Requires a Bachelor???¦??s Degree in Statistics, Mathematics, Engineering, Computer Science or other related field focused on quantitative disciplines (Fresh graduates are welcome to apply) Knowledge in Python, R, or at least one of these preferred Knowledge in Big Data, Hadoop, Spark or at least one of these preferred but not required Knowledge in Machine Learning preferred but not required Familiarity with common data science and analytics tools and libraries such as jupyter notebook, sci-kit learn, pandas, numpy, scipy or at least one of these preferred but not required Familiarity with Amazon Web Services is a big plus Familiarity with linux environment is a big plus Natural problem solver and critical thinker Good communication skills Fast learner  Job DescriptionA Data Scientist(CL1) should help Data Management and Systems Operations (DSO) department by enabling the business to discover relevant insights from vast amounts of information and augmenting advanced analytics to our end to end solu",Data Scientist,,,,"['Python', 'R', 'Hadoop', 'Spark', 'jupyter notebook', 'sci-kit learn', 'pandas', 'numpy', 'scipy', 'Amazon Web Services', 'linux']","['data wrangling', 'machine learning', 'advanced analytics', 'machine learning models', 'data models', 'principal components', 'prescriptive and predictive analytics', 'artificial intelligence', 'Big Data', 'Machine Learning']",,,"['Statistics', 'Mathematics', 'Engineering', 'Computer Science', 'quantitative']",,
26,Data Scientist,Shadow,Information Technology & Services,Clark Freeport Zone,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=1aa9ada9b265d4ce,"Shadow's purpose is to help people help people, and we're doing that by building an app that reunites lost dogs and their families. Are you a dog person? Or maybe a cat person who's been dog curious all your life? Then join us! We're looking for a Data Scientist who will help build machine learning models to better understand our data, and apply statistical analysis to make better product decisions. This position will have the option to work from home or at our office near Angeles City when the pandemic is over. Role Description Work comfortably with large datasets in order to extract insights and build predictive models to improve the end-user experience Apply machine learning techniques to gain an understanding of user generated texts and images Design the system and process that we will use to train, test, evaluate and iterate on various hypotheses Engage in problem-solving sessions to brainstorm solutions to complex problems Analyze data to help make data-driven decisions to improve our product Requirements Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement Familiarity with data processing tools such as Spark, R, Python, Scala, etc. Experience with cloud platforms (i.e. Google Cloud Platform) and BigQuery is a plus 3+ years of professional experience in the position Master's degree in a relevant quantitative field, or a bachelor's degree with a significant amount of relevant work experience Self-starter with a track record of bringing projects to completion Excellent communication skills You must provide your own internet connection and late model smart phone Fast Internet (15 Mbps/download and 3 Mbps/upload high-speed internet minimum)",Data Scientist,,,,"['Spark', 'R', 'Python', 'Scala', 'Google Cloud Platform', 'BigQuery']","['machine learning models', 'statistical theory', 'data science', 'machine learning algorithms']",,"[""Master's degree"", ""bachelor's degree""]",['quantitative field'],,
27,Data Scientist,StackTrek Inc.,Information Technology & Services,Batangas City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=5ded81d88b5bda52,"Requirements: Bachelor??s Degree in Computer Science, Engineering, IT, or any relevant field With at least 2 years of Python development experience Knowledge in Cloud Environment (Preferred in Microsoft Azure), data management, BI Analytics, and R&D Understanding in data cleansing with SQL/Python, data processing ETL, and BI reports visual Ability to integrate multiple data sources and SQL databases into one system Understand the Basics of front-end technologies, such as JavaScript, HTML5, and CSS3 Proficient understanding of code versioning tools Team player Amenable to work in Iloilo City/Batangas City Job Types: Full-time, Permanent Work Remotely: Temporarily due to COVID-19",Data Scientist,,,,"['Python', 'Microsoft Azure', 'SQL', 'SQL databases', 'JavaScript', 'HTML5', 'CSS3']","['data management', 'BI Analytics', 'data cleansing', 'data processing', 'ETL']",['2 years'],['Bachelor Degree'],"['Computer Science', 'Engineering', 'IT']",,
