Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
0,Data Scientist,Clark Outsourcing,,Clark Freeport Zone,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&advn=2677045006857344&vjk=385cd416db747d81,"Our benefits include: Work directly with an international client Performance evaluation at 6-months 13th month pay HMO (Maxicare) 5 Service Incentive Leaves upon reaching 1-year of service/employment Maternity Leave, Paternity Leave, SOLO Parent Leave, Magna Carta Leave, etc. Education Benefit Retirement Benefit Shuttle Service CO League (Swimming, jiu-jitsu, yoga, billiards, table tennis, prizes, events, training, outreach, etc.) 24-Hour Management & Tech Support Great hands-on support team and fun working environment Client provided benefits include: Internet allowance New Macbook to work on 15 additional service incentive leaves that are convertible to cash. Work from home during the pandemic. Position Description: Position Title: Data Scientist Classification: Associate Salary Grade: 60000 - 70000 Peso / month Reports To: Account Manager, Client Primary Relationships: Client Team Date(s): October - November 2020 Background: As a Data Scientist, you will help build machine learning models to better understand data, and apply statistical analysis to make better production decisions. This position will have the option to work from home at our office on Clark until the pandemic is over. Main Roles: Work comfortably with large datasets in order to extract insights and build predictive models to improve the end-user experience Apply machine learning techniques to gain an understanding of user generated texts and images Design the system and process that we will use to train, test, evaluate and iterate on various hypotheses Engage in problem-solving sessions to brainstorm solutions to complex problems Analyze data to help make data-driven decisions to improve our product Schedule: Must feel comfortable work US hours (graveyard shift) This is a WFH position; however, you should live within 1 hour drive from Clark Freeport Zone for occasional onsite team meetings. Requirements: Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement Familiarity with data processing tools such as Spark, R, Python, Scala, etc. Experience with cloud platforms (i.e. Google Cloud Platform) and BigQuery is a plus 3+ years of professional experience in the position Master's degree in a relevant quantitative field, or a bachelor??s degree with a significant amount of relevant work experience Self-starter with a track record of bringing projects to completion Excellent communication skills You must provide your own internet connection and late model smart phone Fast Internet (15 Mbps/download and 3 Mbps/upload high-speed internet minimum) Attention to detail Job Types: Full-time, Permanent Salary: Php60,000.00 - Php70,000.00 per month Schedule: 8 hour shift Night shift Experience: Data Analysis: 3 years (Required) Education: Bachelor's (Required) Language: English (Required) Work Remotely: Temporarily due to COVID-19",Data Scientist,,,,"['Spark', 'R', 'Python', 'Scala', 'Google Cloud Platform', 'BigQuery']","['machine learning models', 'statistical theory', 'data science', 'machine learning algorithms', 'Data Analysis']",['3 years'],"[""Master's degree"", ""Bachelor's (""]",['quantitative field'],"['60000 - 70000', 'Peso', 'Php60,000.00 - Php70,000.00']",
1,Data Analyst/ Scientist,"Open iT, Inc.",,Lucena,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&advn=7109059346454600&vjk=e70a0d0217ec1dbd,"The Data Analyst/Scientist is intricately involved in running analysis in a methodical manner, and regularly evaluates alternate models to provide accurate feedback to the Product Development Team, as well as external customers. Required Qualifications: Ability to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills Knowledge in programming languages, such as Java and Python Willing to work night shift Preferred Qualifications: Strong background in Engineering, operational research, and data analysis Knowledge in software license agreements Excellent oral and written English communication skills Two years of practical experience in programming, data analysis, ETL, data mining, databases, and statistical analysis If this opportunity is a potentially good match for you, then we look forward to reviewing your application. Copy this URL: https://openit.com/job/data-analyst-scientist-2/ and we hope to meet you soon! Job Type: Full-time Work Remotely: Temporarily due to COVID-19",Data Scientist,,,,"['Java', 'Python']","['data transformation', 'pattern recognition', 'predictive modeling', 'operational research', 'data analysis', 'programming', 'ETL', 'data mining', 'databases', 'statistical analysis']",['Two years'],,['Engineering'],,
2,"Data Analyst, Customer Success",Power Factors,,Santa Rosa City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&advn=4405179930986949&vjk=0a5520f572f05a50,"WHO WE ARE  We are Power Factors, developer of the world??s leading cloud platform for renewable energy companies. Our SaaS platform, Drive, is used to manage over 25 Gigawatts of renewable energy across the planet (enough to power approximately 1.5 million homes). We??re tackling one of the world??s most important challenges in making renewable energy the world??s leading source of power by driving down the cost to operate wind and solar power plants. Our company is going through accelerated growth fueled by the unprecedented transition to clean, renewable energy.  The Drive platform continues to extend throughout the renewable energy market. Our platform collects millions of IoT and other data points, cleanses the data, detects occurring issues, identifies leading indicators to predict future issues, and adds a full advanced analytic capability on top of this rich, high-value dataset. In addition to issue detection and analytics, Drive adds the toolsets needs to take analytic insights to action such as case management and work order management.  To our customers, we deliver excellent customer service and a high-value system of engagement that provides the results they are looking for: lower operations costs and higher output from their renewable energy power plants. We are an agile development company, big enough to make an impact, but small enough to move quickly to execute in a growing industry and take advantage of rapidly evolving technology. To our employees, we provide a culture that values respect, teamwork, transparency, and achievement.  THE ROLE  Power Factors is seeking a qualified candidate to join our Company in the role of Data Analyst, Customer Success. In this role, you will be responsible for the design, development, and implementation of tools that aims at automating tasks and optimize processes and increase efficiency. More precisely, you will write scripts and develop helper applications to automate repetitive tasks. You will work on identifying new process improvement opportunities, tracking the most important metrics to diagnose problems, develop and tool filter and categorize issues and prioritize cases . Ultimately, you will ensure the workflows, reports, and tools implemented are constantly improving the level of service of the Customer Success Department.  In this role, you will report to the Helpdesk Manager based in Carmona Cavite, Philippines. Although this position is based out of our office located in Silang Cavite, you will be allowed to work remotely from home in the Philippines during the application of our COVID19 confinement period that is currently in force.  IMPORTANT NOTE: Power Factors is applying COVID-19 preventive measures to safeguard the health and safety of our employees, customers, business partners, and communities where we have offices. Please note that the selected candidate will be working from home for the duration of said applicable measures.  RESPONSIBILITIES  Design, develop, and implement tools and applications for the Customer Success Helpdesk team to automate repetitive tasks; Independently take a project from idea to functional application; Work in partnership with Helpdesk teams to gather, process, and interpret Case information and workflows to formulate Business Impact Analysis; Support with broader ticket analysis. report writing and presenting findings and propose workflow solutions; Translate business requirements into well-designed solution tools that best leverage our platform; Interpreting data, analyzing results using statistical techniques; Work with management to prioritize business and information needs. Identify, propose, and actively participate in process improvement and other projects as required. REQUIREMENTS  Bachelor??s in software engineering or college technical degree in a related field; Minimum of 5 years of significant experience working as a Data Analyst / Data scientist / Business Data Analyst in a software company: Strong knowledge of analytics tools and processes; Strong understanding of reporting packages/spreadsheet tools (Microsoft Power BI), databases (querying and scripting in SQL. etc), programming (Python, PowerShell, JavaScript or related languages); Good working knowledge with OSISoft??s PI system, SQL, Salesforce, and Microsoft Power BI is beneficial; Familiar with cloud-based technologies Azure, AWS, & Rackspace; ITIL / Lean-Six Sigma certification is considered an asset.  KEY COMPETENCIES  Accountability Agility Effective Communication Critical Thinking Problem Analysis Process Development Project Management Decision Making/ Judgement  EQUAL OPPORTUNITY EMPLOYER  Power Factors is an Equal Opportunity Employer committed to engaging a diverse workforce and sustaining an inclusive culture. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.  IND123",Data Scientist,,,,"['Microsoft Power BI', 'SQL', 'Python', 'PowerShell', 'JavaScript', 'OSISoft PI', 'Salesforce', 'Azure', 'AWS', 'Rackspace']","['report writing', 'propose workflow', 'statistical techniques', 'software engineering', 'querying', 'scripting', 'programming', 'ITIL', 'Lean-Six Sigma certification']",['5 years'],['college technical degree'],,,
3,Associate Data Scientist,Manulife,,Quezon City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=3440e8599cad6753,"Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations. Job Description This job description does not represent a comprehensive listing of job duties that are required of the employee performing this role. We reserve the right to change duties or assign additional duties at any time with or without notice. People Leader Role: No Key Accountabilities: Individual Accountabilities: Actively participates on cross-functional project teams developing analytics enabled solutions Owns and manages assigned tasks. Works on problems of limited scope / complexity, following standard practices and procedures Developing ability to generate relevant, actionable insights based on iterative data analysis, translate data-driven output into business language, and to make appropriate recommendations to respective business stakeholders Provides analysis on datasets of moderate complexity Communicates results of cases of limited complexity to more senior data scientists and business partners Curious and asks questions to gain knowledge. Shares information and provides rationale behind ideas Builds stable working relationships with cross-functional peers, begins to establish a broader internal network Owns their career development. Takes advantage of available resources to advance their technical and business skills. Understands how their assigned tasks fit into the broader initiative Job Requirements: Minimum Bachelor??s degree in Statistics, Math, Computer Science, Engineering; or equivalent work experience, however, an advanced degree in a quantitative discipline would be preferred. Basic Working knowledge of programming languages and concepts (e.g. SAS, SPSS, R, or Python) Familiarity with basic statistical tests, distributions, maximum likelihood estimators, statistical modelling techniques (regression, cluster / factor / principle components, decision tree, survival analysis, etc.) Basic understanding of different techniques and knowledge of machine learning algorithms. Basic knowledge of AI toolkits. Basic knowledge of data visualization tools such as Tableau, QlikView, open source data visualization libraries - ggplot and d3.js Basic knowledge of common database querying languages such as SQL. Capability of applying a systematic, structured approach to explore / navigate / mine massive amount of data, structured or un-structured, to uncover hidden patterns / insights. Some working knowledge of relational database models (e.g. data vaulting techniques, rules tables). Decision Authorities: Owns and manages assigned tasks. Works on problems of limited scope / complexity, following standard practices and procedures Provides analysis on datasets of moderate complexity  If you are ready to unleash your potential it??s time to start your career with Manulife/John Hancock. About Manulife Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, Canada, we operate as Manulife across our offices in Canada, Asia, and Europe, and primarily as John Hancock in the United States. We provide financial advice, insurance, and wealth and asset management solutions for individuals, groups and institutions. At the end of 2019, we had more than 35,000 employees, over 98,000 agents, and thousands of distribution partners, serving almost 30 million customers. As of June 30, 2020, we had $1.2 trillion (US$0.9 trillion) in assets under management and administration, and in the previous 12 months we made $30.6 billion in payments to our customers. Our principal operations are in Asia, Canada and the United States where we have served customers for more than 155 years. We trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong. Manulife is an equal opportunity employer. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention and advancement and we administer all of our practices and programs based on qualification and performance and without discrimination on any protected ground. It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will consult with applicants contacted to participate at any stage of the recruitment process who request any accommodation. Information received regarding the accommodation needs of applicants will be addressed confidentially.",Data Scientist,,,,"['SAS', 'SPSS', 'R', 'Python', 'Tableau', 'QlikView', 'ggplot', 'd3.js', 'SQL']","['statistical tests', 'distributions', 'maximum likelihood estimators', 'statistical modelling techniques', 'regression', 'principle components', 'decision tree', 'survival analysis', 'machine learning algorithms', 'AI toolkits', 'data visualization', 'relational database models', 'rules tables']",,,"['Statistics', 'Math', 'Computer Science', 'Engineering', 'quantitative']",,
4,Data Scientist,Oak Drive Ventures Inc.,,Taguig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=76425a811af6ba51,"JOB SUMMARY The Data Scientist is directly reporting to the Chief Operating Officer. He/ She works closely with the Executive office and understand goals and determine how data can be used to achieve goals DUTIES AND RESPONSIBILITIES / KEY RESULT AREAS: 1. Design data modelling process, create algorithms and predictive models to extract data the businesses need 2. Analyze data and create reports 3. Identify trends using data gathered to direct strategic business decisions 4. Prepare manual and conduct user training of the platform 5. Create new, experimental frameworks to collect data 6. Build tools to automate data collection 7. Search through large data sets for usable information 8. Create reports and presentations to be used by the business units HIRING REQUIREMENTS 1. Exceptional technical writing skills 2. Ability to communicate complex data in a simple, actionable way 3. Ability to visualize data in the most effective way possible for a given project 4. Experience with AI 5. Familiar with data management tools 6. Computer/ Data Science / Statistics graduate, IT or math related course 7. Must have programming skills Job Types: Full-time, Permanent Salary: From Php80,000.00 per month",Data Scientist,,,,,"['data modelling', 'create algorithms', 'predictive models', 'automate data collection', 'Create reports', 'AI', 'data management']",,,"['Data Science', 'Statistics', 'IT', 'math']","['Php80,000.00 per month']",
5,Data Scientist (Bootcamp),Novare,,Taguig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=ae928472048bc83c,"Job Description  A Data Scientist(CL1) should help Data Management and Systems Operations (DSO) department by enabling the business to discover relevant insights from vast amounts of information and augmenting advanced analytics to our end to end solutions, driving real business impact. Its main focus shall involve, but is not limited to data wrangling, machine learning, and the application of appropriate advanced analytics for the business??s key initiatives.  Duties and Responsibilities  Develop machine learning models (data models) to solve domain specific problems Unearth and discover trends, patterns and principal components from given datasets Support the creation of advanced visualizations by collaborating with data analysts Support end to end data lake solutions by incorporating prescriptive and predictive analytics and other things that will lead to attaining full automation and state-of-the-art artificial intelligence Develop proof of concepts on latest trends and technologies which are leaning towards analytics and advanced business solutions  Qualifications  Requires a Bachelor??s Degree in Statistics, Mathematics, Engineering, Computer Science or other related field focused on quantitative disciplines (Fresh graduates are welcome to apply) Knowledge in Python, R, or at least one of these preferred Knowledge in Big Data, Hadoop, Spark or at least one of these preferred but not required Knowledge in Machine Learning preferred but not required Familiarity with common data science and analytics tools and libraries such as jupyter notebook, sci-kit learn, pandas, numpy, scipy or at least one of these preferred but not required Familiarity with Amazon Web Services is a big plus Familiarity with linux environment is a big plus Natural problem solver and critical thinker Good communication skills Fast learner",Data Scientist,,,,"['Python', 'R', 'Hadoop', 'Spark', 'jupyter notebook', 'sci-kit learn', 'pandas', 'numpy', 'scipy', 'Amazon Web Services', 'linux']","['data wrangling', 'machine learning', 'advanced analytics', 'Develop machine learning models', 'data models', 'principal components', 'prescriptive and predictive analytics', 'artificial intelligence', 'Big Data', 'Machine Learning']",,['Bachelor Degree'],"['Statistics', 'Mathematics', 'Engineering', 'Computer Science', 'quantitative']",,
6,Data Scientist,Sprout Solutions PH,,Philippines,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=1072d46096d772a9,"The primary responsibility of a Data Scientist is to evaluate and improve Sprout??s products and growth strategies. The data scientist develops, prepares, and manages predictive models through completion; and synthesizes and leverages our database to provide timely and integrated views of our customer??s usage, support, relationship and subscription data. Responsibilities Develop predictive models utilizing a variety of statistical, machine learning, pattern recognition, and artificial intelligence algorithms Organizes raw data in spreadsheets Analyzes data and deciphering key takeaways Creates charts and graphs to display results Designs experiments to answer targeted questions Communicate complex analyses in a clear and actionable manner Actively contribute to strengthening the organization by referring candidates for recruitment Requirements Bachelor??s Degree in Computer Science or Statistics and/or equivalent experience Working knowledge of machine learning algorithms and techniques Experience in software development Strong problem solving and analytical skills Strong team player with good communication and presentation skills Has a track record of being a high achiever",Data Scientist,,,,,"['predictive models', 'statistical', 'machine learning', 'pattern recognition', 'artificial intelligence', 'machine learning algorithms', 'software development', 'problem solving']",,['Bachelor Degree'],"['Computer Science', 'Statistics']",,
7,Data Scientist,GDS Global Services Philippines Inc.,,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=64130d9dec587919,"Key Skill Requirements  Candidate must possess at least Bachelor's/College Degree in Computer Science/Information Technology, Mathematics, Physics, Economics or equivalent.  At least 1 Year(s) of working experience in the related field is required for this position.  Preferably 1-4 Yrs Experienced Employee specialized in Actuarial Science/Statistics or equivalent.  Credit Risk Analytics: At least one year of work experience in statistical modelling/data analysis with a background in the financial industry is preferred. Must have a strong knowledge of machine learning techniques  Programming and Database skills: High degree of computer literacy and previous programming experience on R/Python/SAS required. Experience building, using and maintaining SQL databases.  Visualization skills: At least one year experience on dashboard tools like Tableau, R Shiny, or Python Dash  Fluent in English. Excellent oral and written communication  Natural team player who can work well either independently or in a team  Strong analytical and problem-solving skills with high attention to detail and accuracy",Data Scientist,,,,"['R', 'Python', 'SAS', 'SQL', 'Tableau', 'R Shiny', 'Python Dash']","['statistical modelling', 'data analysis', 'machine learning', 'Programming', 'Database', 'Visualization']","['1 Year(s)', '1-4', 'one year', 'one year experience']","[""Bachelor's/College Degree""]","['Computer Science', 'Information Technology', 'Mathematics', 'Physics', 'Economics']",,
8,Data Scientist,Lynx Analytics,,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=a2e97da8cb8f0be3,"Founded in 2010, Lynx Analytics is a predictive analytics company, with a team of world-class quantitative marketing scientists and industry-experienced data scientists. We openly welcome ideas and innovation, and believe in succeeding as a team ?? whilst having a great time doing it! By joining us, you'll work with a collaborative group of diverse and talented individuals. We are looking for Data Scientists to work on and lead complex data analysis projects using standard modelling and data transformation approaches as well as Lynx's proprietary graph analysis system. You should be comfortable working with very large data sets residing in different data stores in disparate formats and be strong with hands-on implementation, as well as have the potential to move fast onto a high growth career trajectory. Leadership experience and charisma is a huge advantage. Key responsibilities will include: Designing and Delivering Solutions for a defined Data Science Related Problem at the client's location Present the results / Prepare Presentations for the Project Stakeholders (collaborating with the lead data scientist) Create reusable documentations, presentations and code libraries during the projects Mentoring Junior Data Scientists and Interns Leading smaller data science tasks with the help of internal leadership and PMO Participating in internal education and research tasks To succeed in this role, you should fulfill the following requirements: 2+ years of experience of any of the following fields: finance, telecommunication, retail, public, healthcare. 3+ years overall experience in data mining and/or data science field. Mathematics, Statistics, Economics, Computer Science, Engineering or related degree (MSc or PhD is preferred) Understanding complex Data Science Solutions Solid knowledge of probability theory, statistics, data science algorithms and their application in Customer Retention, Campaign Management etc. areas Good Communication (both verbal and written) and Data Visualization Skills Coding abilities at least one of the following languages: Python (preferred), R, SAS, C, JAVA (or similar) Solid knowledge of DWH querying languages Fluency in English (additional Mandarin or German knowledge is an advance) Willingness to travel - Up to 50% travel across the region will be required",Data Scientist,,,,"['Python', 'R', 'SAS', 'C', 'JAVA']","['standard modelling', 'data transformation', 'graph analysis', 'data mining', 'data science', 'probability theory', 'statistics', 'data science algorithms', 'Data Visualization', 'Coding']","['2+ years', '3+ years']","['MSc', 'PhD']","['Mathematics', 'Statistics', 'Economics', 'Computer Science', 'Engineering']",,
9,Data Scientist,goFLUENT Philippines Inc.,,Quezon City,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=2ecadb27717456fa,"Proven working experience as a data analyst or business data analyst  Knowledge of statistics, advanced experience using Excel and basic SQL queries.  Knowledge and experience in R/SAS/Python  Knowledge in Tableau or any BI Visualization tool is a plus  Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy  Adept at data models, queries, report writing and presenting findings  BS in Mathematics, Economics, Computer Science, Information Management or Statistics  Candidates must be willing to work in Eastwood City, Quezon City",Data Scientist,,,,"['Excel', 'SQL', 'R', 'SAS', 'Python', 'Tableau']","['statistics', 'data models', 'queries', 'report writing']",,['BS'],"['Mathematics', 'Economics', 'Computer Science', 'Information Management', 'Statistics']",,
