Index,Job Title,Company,Industry,Location,Country,Website,URL to Job,Job Description,Search Term Used,Age,Size,EmploymentType,Data Skills - Specific,Data Skills - General,Experience (years),Education Level,Degree,Salary,Salary(Provided)
0,Data Scientist,Clark Outsourcing,Professional Services,Clark Freeport Zone,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&advn=2677045006857344&vjk=385cd416db747d81,"Our benefits include: Work directly with an international client Performance evaluation at 6-months 13th month pay HMO (Maxicare) 5 Service Incentive Leaves upon reaching 1-year of service/employment Maternity Leave, Paternity Leave, SOLO Parent Leave, Magna Carta Leave, etc. Education Benefit Retirement Benefit Shuttle Service CO League (Swimming, jiu-jitsu, yoga, billiards, table tennis, prizes, events, training, outreach, etc.) 24-Hour Management & Tech Support Great hands-on support team and fun working environment Client provided benefits include: Internet allowance New Macbook to work on 15 additional service incentive leaves that are convertible to cash. Work from home during the pandemic. Position Description: Position Title: Data Scientist Classification: Associate Salary Grade: 60000 - 70000 Peso / month Reports To: Account Manager, Client Primary Relationships: Client Team Date(s): October - November 2020 Background: As a Data Scientist, you will help build machine learning models to better understand data, and apply statistical analysis to make better production decisions. This position will have the option to work from home at our office on Clark until the pandemic is over. Main Roles: Work comfortably with large datasets in order to extract insights and build predictive models to improve the end-user experience Apply machine learning techniques to gain an understanding of user generated texts and images Design the system and process that we will use to train, test, evaluate and iterate on various hypotheses Engage in problem-solving sessions to brainstorm solutions to complex problems Analyze data to help make data-driven decisions to improve our product Schedule: Must feel comfortable work US hours (graveyard shift) This is a WFH position; however, you should live within 1 hour drive from Clark Freeport Zone for occasional onsite team meetings. Requirements: Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement Familiarity with data processing tools such as Spark, R, Python, Scala, etc. Experience with cloud platforms (i.e. Google Cloud Platform) and BigQuery is a plus 3+ years of professional experience in the position Master's degree in a relevant quantitative field, or a bachelor??s degree with a significant amount of relevant work experience Self-starter with a track record of bringing projects to completion Excellent communication skills You must provide your own internet connection and late model smart phone Fast Internet (15 Mbps/download and 3 Mbps/upload high-speed internet minimum) Attention to detail Job Types: Full-time, Permanent Salary: Php60,000.00 - Php70,000.00 per month Schedule: 8 hour shift Night shift Experience: Data Analysis: 3 years (Required) Education: Bachelor's (Required) Language: English (Required) Work Remotely: Temporarily due to COVID-19",Data Scientist,,,,"['Spark', 'R', 'Python', 'Scala', 'Google Cloud Platform', 'BigQuery']","['machine learning models', 'statistical theory', 'data science', 'machine learning algorithms', 'Data Analysis']",['3 years'],"[""Master's degree"", ""Bachelor's (""]",['quantitative field'],"['60000 - 70000', 'Peso', 'Php60,000.00 - Php70,000.00']",
11,Data Scientist Specialist,Accenture,Professional Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=3a86b5a5ed3f197b,"Mandatory Technology Capabilities:  Experience with a BI/Visual Analytics Tool (Tableau,etc)  Experience with a SQL/database toolset (SQL Server, MySQL)  Experience with a data science toolkit (Python, R, etc.)    Knowledge, Skills, Abilities:  Capable of managing and prioritizing a variety of unexpected tasks while continuing to successfully conduct day-to-day operations without interruption  Display strong initiative and self-motivation  Excellent communication, customer service, interpersonal and problem solving skills.  Possess strong technical, analytical, critical thinking and problem solving skills  Comfortable working in a fast-paced, urgent project environment  Self-starter, able to simultaneously manage multiple projects, effectively prioritize workload, and own deliverables from start to finish.  Ability to articulate complex business findings into easy to understand concepts  Strong quantitative, business, financial, and modeling skills  Have a full grasp of understanding of regression, modeling and forecasting  ?? Lead a reporting/analytics team of 5 to 10 FTEs ?? Drive multiple visualization & analytics projects ?? Prepare analytical and trend reports, create graphics, and provide stakeholder ready material ?? Analyze ticketing data to provide actionable insights ?? Visualize digital analytics to show valuable data driven insights using BI tools ?? Participate in operational projects and assist in timely execution of project goals and deadlines ?? Design dashboards and other reporting tools used by internal stakeholders ?? Identify business challenges with stakeholders and help provide analytics using statistical methods ?? Familiarity of relevant key performance indicators ?? Perform range of ad-hoc analyses and financial modeling in support of key business initiatives ?? Perform advanced modeling on medium to large data sets in support of business operations",Data Scientist,,,,"['Tableau', 'SQL', 'SQL Server', 'MySQL', 'Python', 'R']","['database toolset', 'problem solving skills', 'regression', 'modeling', 'forecasting', 'trend reports', 'BI tools', 'advanced modeling']",,,,,
12,Data Scientist (Makati City),Lennor Metier Consulting Philippines,Professional Services,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=b4c7bef7155858bb,"An exciting Data Scientist (Junior to Senior) role has become available at one of the trusted information technology companies. Location: Makati City, Philippines. What to expect from the role: Analyze business problems, develop solutions to these problems and manage analytics projects through its full cycle Build predictive models and machine-learning algorithms Analyze large amounts of information to discover trends and insights Communicate complex analysis and insights (oral and written) Manage the delivery, quality, and integrity of analytics services/projects in line with agreed roadmap of planned and ad hoc briefs Work independently with minimal support and supervision Supervise all analytics development phases, including testing, documentation, and on-going tracking Participate in regular project updates Work simultaneously on a number of different projects of varying complexity and length Production of complex ad hoc analysis where required Proactive & reactive problem evaluation of opportunities to improve the current process/outcomes Supervising junior analytical staff Extract, transform, and load (ETL) data from multiple internal and external resources Handling of datasets (cleansing, processing) in different forms and sizes Solve problems related to unexpected or inconsistent data outputs Ensure the integrity and safety of internal and external data Perform predictive modeling and other machine-learning functions Work simultaneously on a number of different projects of varying complexity and length Production of complex ad hoc analysis where required Proactive & reactive problem evaluation of opportunities to improve the current process/outcomes Performs other functions related, analogous, and pertinent to the preceding enumeration as may be assigned by superiors from time to time Requirements: Bachelor??s degree graduate 1 to 3 years of working experience in business analytics is required for this position; Preferably experienced in statistical modeling & risk analytics Proficient in open-source tools such as R, Python, RapidMiner, Knime, SQL, Statistics, etc. Familiarity with leading business and credit risk management is a plus At least 3 years of experience in developing and designing analytical solutions Prior experience in deploying machine learning solutions A background in credit risk analytics is preferred Good communication skills (oral and written) and proficiency in creating presentations Comfortable in working with different stakeholders and functional teams Think you are an ideal candidate? Apply now! Lennor Metier is a leading executive search and recruitment/headhunting agency in Asia, with substantial experience in hiring top-caliber professionals for companies in the Consumer Goods, Healthcare, Technology, Finance, manufacturing, and engineering industries. Job Type: Full-time Schedule: 8 hour shift",Data Scientist,,,,"['R', 'Python', 'RapidMiner', 'Knime', 'SQL', 'Statistics']","['predictive models', 'machine-learning algorithms', 'Extract, transform', 'ETL', 'Handling of datasets', 'cleansing', 'predictive modeling', 'machine-learning', 'statistical modeling', 'risk analytics', 'deploying machine learning']","['1 to 3 years', 'At least', '3 years']",['Bachelor degree'],,,
14,Data Scientist in BGC,SH HR (BJ),Professional Services,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=19729043e75e243c,"We are looking for a Data Science.  Your main responsibilities:  Extraction y selection of different features, building and optimizing classifiers using machine learning  Enhancing data pipelines  Processing, cleansing and verifying data integrity used for the analysis processes  Creating automated ml-systems and constant performance tracking  You will bring:  University degree in Mathematics, Computer science, Physics or similar  Strong experience in machine learning (SVM, KNN, Naive Bayes, Random Forests...)  Experience with frameworks like MatplotLib, Scikit, Pandas, TensorFlow, Keras (Python Stack)  Proficiency in using query languages such as SQL  Knowledge of Natural Language Processing  Good applied statistics skills, such as distributions, statistical testing...  Proficiency in Python  3 years of experience  Fluent level of English language and Native speaker of Tagalog",Data Scientist,,,,"['MatplotLib', 'Scikit', 'Pandas', 'TensorFlow', 'Keras', 'SQL', 'Python']","['Processing', 'cleansing', 'SVM', 'KNN', 'Naive Bayes', 'Random Forests', 'Natural Language Processing', 'distributions', 'statistical testing']",,['University degree'],"['Mathematics', 'Computer science', 'Physics']",,
15,Data Scientist,CIBI INFORMATION INC,Professional Services,Makati,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=95a02d4d38cce10a,"Duties and Responsibilities Analyze business problems, develop solutions to these problems and manage analytics projects through its full cycle Build predictive models and machine-learning algorithms in credit risk analysis Analyze large amounts of information to discover trends and insights Communicate complex analysis and insights (oral and written) Manage the delivery, quality and integrity of analytics services/projects in line with agreed roadmap of planned and ad hoc briefs Work independently with minimal support and supervision Supervise all analytics development phases, including testing, documentation and on-going tracking Participate in regular project updates Work simultaneously on a number of different projects of varying complexity and length Production of complex ad hoc analysis where required Proactive & reactive problem evaluation of opportunities to improve current process / outcomes Knowledge, Abilities, and Competencies At least 3 years of experience in developing and designing analytical solutions Prior experience in deploying machine learning solutions Knowledge in Python, R, SQL, Statistics A background in credit risk analytics is preferred Good communication skills (oral and written) and proficiency in creating presentations Comfortable in working with different stakeholders and functional teams Expected Start Date: 16/11/2020 Job Types: Full-time, Permanent",Data Scientist,,,,"['Python', 'R', 'SQL', 'Statistics']","['predictive models', 'machine-learning algorithms', 'credit risk analysis', 'deploying machine learning']",['At least 3 years'],,,,
16,Data Scientist,John Clements,Professional Services,Taguig,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=8f61db75dae38462,"Client Industry: BANKING Job Description and Qualification: he Data Science Manager is a champion for analytics in the Retail Business Line. You will ensure that business value is realised by managing for successful delivery of Retail data products, using Machine Learning and Advanced Analytics tools and techniques,including the adoption by end-users.  Key Responsibilities  Mastery of Customer Journey experience and have profound knowledge in at least one field of expertise for which you are regarded as go-to person within the tribe, such as Lending,Transaction Services, or Savings Proactively advises projects and other business stakeholders on the opportunities of Data Science. Recommends and implements tools/products to enable data science capabilities in the organization Takes the lead in the implementation of models, methods and standards in complex projects and environments Advises on the requirement data, information, systems and models within and beyond the CI tribe, while keeping aligned with the strategic priorities of the bank Develops, monitors, maintains and continuously improves methods, systems, models, prototypes, dashboards, and standards to conduct (performance) research, decision making, (scenario) analyses, validations (valuations), or marketing campaigns within the boundaries defined by internal and external regulatory standards and compliance. Initiates proposals for experiments, research & projects and schedules activities in consultation with stakeholders, taking into account the needs of the organisation, data privacy legislations and ethical boundaries. Professional knowledge University degree ?? preferably in Mathematics, Statistics, Computer/IT or the like Minimum 7 years of professional experience in a similar domain (Customer Intelligence, Data Science, CRM); Previous proven experience with advance analytics tools preferably open source; Experience with data science in the financial services industry is preferred but not required Strong statistical analysis capabilities who has experience in state-of-the-art methods and techniques for data analytics and science. Significant professional experience in managing Advanced Analytics projects Experience in applying machine learning and developing different statistical models in multiple fields in a complex corporate environment Currently work from home set-up Salary: 0.00",Data Scientist,,,,,"['Machine Learning', 'Advanced Analytics', 'Customer Intelligence', 'Data Science', 'CRM', 'statistical analysis', 'data analytics', 'machine learning']",['7 years'],['University degree'],"['Mathematics', 'Statistics', 'Computer/IT']",,
19,Data Scientist,Prime Manpower Resources Development Inc,Professional Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=0522f47d66dcd905,"RESPONSIBILITIES: ???¦??Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. ???¦??Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. ???¦??Assess the effectiveness and accuracy of new data sources and data gathering techniques. ???¦??Develop custom data models and algorithms to apply to data sets. ???¦??Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. ???¦??Develop company A/B testing framework and test model quality. ???¦??Coordinate with different functional teams to implement models and monitor outcomes. ???¦??Develop processes and tools to monitor and analyze model performance and data accuracy.  QUALIFICATIONS: ???¦??Strong problem- solving skills with an emphasis on product development. ???¦??Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. ???¦??Experience working with and creating data architectures. ???¦??Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. ???¦??Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. ???¦??Excellent written and verbal communication skills for coordinating across teams. ???¦??A drive to learn and master new technologies and techniques.  REQUIREMENTS: ???¦??Bachelors in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools: o Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc. ???¦??5 or more years of experience manipulating data sets and building statistical models ???¦??Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. ???¦??Experience querying databases and using statistical computer languages: R, Python, SLQ, etc. ???¦??Experience using web services ???¦??Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. ???¦??Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc. ???¦??Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc. ???¦??Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc  Support product, sales, leadership and marketing teams with insights gained from analyzing company data",Data Scientist,,,,"['R', 'Python', 'SLQ', 'C', 'C++', 'Java', 'JavaScript', 'Google Analytics', 'Site Catalyst', 'Coremetrics', 'Adwords', 'Crimson Hexagon', 'Facebook Insights', 'Map/Reduce', 'Hadoop', 'Hive', 'Spark', 'Gurobi', 'MySQL', 'Periscope', 'Business Objects', 'D3', 'ggplot']","['predictive modelling', 'machine learning', 'clustering', 'decision tree learning', 'artificial neural networks', 'regression', 'statistical tests', 'Coding knowledge', 'manipulating data sets', 'data mining', 'GLM/Regression', 'Random Forest', 'Boosting', 'Trees', 'text mining', 'social network analysis', 'querying databases', 'machine learning algorithms', 'statistics', 'simulation', 'scenario analysis', 'modeling', 'decision trees', 'neural networks']",,,"['Statistics', 'Mathematics', 'Computer Science', 'quantitative field']",,
21,Data Scientist,Sysgen RPO Inc,Professional Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=ad9e63708aac9877,"Urgent hiring for Data Scientist! Direct hire with client Permanent post/ full - time Work schedule: Weekdays: 8AM - 5PM or 9AM - 6PM Skeletal work set up: combined office work and work at home  Job Duties and Requirements: ???¦?? Work with different stakeholders within the organization to identify opportunities for leveraging company data to drive business solutions ???¦?? Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. ???¦?? Assess the effectiveness and accuracy of new data sources and data gathering techniques. ???¦?? Develop custom data models and algorithms to apply to data sets. ???¦?? Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. ???¦?? Develop company A/B testing framework and test model quality. ???¦?? Coordinate with different functional teams to implement models and monitor outcomes. ???¦?? Develop processes and tools to monitor and analyze model performance and data accuracy.  Job Qualifications: At least a year of relevant experience in data science/ data mining, forecasting and automation Can interpret data from third source party Work experience with Python/ R/ SQL Minimum Requirement: At least a year of relevant experience in data mining/data science, forecasting and automation Skeletal work set up, work schedule: weekdays, morning shift Permanent/ Full - time, direct hire with client",Data Scientist,,,,"['Python/', 'SQL']","['predictive modeling', 'data mining', 'forecasting', 'automation', 'data science']",['At least'],,,,
22,Data Scientist (Machine Learning),Accenture,Professional Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=9a9e831ade6bbab0,"Analyzes raw information through statistical analysis to discover trends or patterns that can be used for building data products to extract valuable business insights. Synthesizes data and methodologies into actionable business strategies. Enhances data collection procedures for building analytical systems. Uses predictive modeling to increase and optimize customer experiences, revenue generation and other business outcomes. Utilizes machine learning algorithms and models and presents them using data visualization techniques. Has strong familiarity with statistical software packages such as R, Python, SAS and Scala as well as different end-to-end data science and advanced analytics tools such as Microsoft Azure Machine Learning. Has an exceptional understanding of the different software utilities for data and computation such as Hadoop, Apache Spark and Impala. Collaborates with the company??s business clients to identify gaps and structure problems as well as to propose solutions and strategies to business challenges. Develops processes and tools to monitor and analyze model performance and data accuracy. Leads trainings and informational sessions on statistics.  At least 2 years work experience on big data and building statistical models Candidate must possess at least a Bachelors degree in Math, Statistics, Computer Science, Engineering and other related fields Coding knowledge and experience with several languages Java JavaScript etc Experience in using statistical computing languages R, Python, etc. to manipulate data and draw insights from those data sets. Experience in working and creating Data Architecture. Knowledge in different machine learning techniques and their real-world values and drawbacks. Knowledge of advanced statistical and data mining techniques Experience with database interrogation and analysis tools Hadoop, Spark, Hive, SQL, SAS. Experience in visualizing and presenting data using ggplot, Business Objects, etc. Excellent written and verbal communication skills. Has the drive and resilience to try new ideas and technologies",Data Scientist,,,,"['R', 'Python', 'SAS', 'Scala', 'Microsoft Azure', 'Hadoop', 'Apache Spark', 'Impala', 'Java', 'JavaScript', 'Spark', 'Hive', 'SQL', 'ggplot', 'Business Objects']","['statistical analysis', 'data collection', 'predictive modeling', 'machine learning algorithms', 'data visualization', 'big data', 'statistical models', 'data mining']",['2 years'],['Bachelors degree'],"['Math', 'Statistics', 'Computer Science', 'Engineering']",,
25,Data Scientist (Machine Learning),Accenture,Professional Services,Manila,Philippines,Indeed,https://ph.indeed.com/jobs?q=data%20scientist&limit=50&filter=0&radius=100&vjk=dd81d45fad0ff0d8,"Responsible for designing, building, and implementing AI projects such as virtual agents, text analytics, advanced analytics, mixed reality / augmented reality, image analysis and video analysis. Work with an existing team of AI developers Involved in problem solving, design thinking and learning new technologies  a. Degree in Information Technology, Engineering, Statistics or other relevant fields b. Minimum of 5 years IT related experience c. Extensive background in Artificial Intelligence technologies d. Experience in Python, R, Machine Learning, Statistics, Azure Machine Learning or TensorFlow",Data Scientist,,,,"['Python', 'R', 'Azure Machine Learning', 'TensorFlow']","['text analytics', 'advanced analytics', 'image analysis', 'Machine Learning']",,,"['Information Technology', 'Engineering', 'Statistics']",,
