,Company,Industry,Classified Industry,Country
0,??????????,,Unknown,Singapore
1,100x Group,Stock Exchanges,"Banking, Finance & Insurance",Singapore
2,10th Magnitude,Information Technology,Information Technology & Services,Indonesia
3,1rstWAP,,Telecommunications & Media,Indonesia
4,24x7 Direct,,Professional Services,Philippines
5,28Grup,Nickel Mining,Materials,Indonesia
6,30k.com,,Professional Services,Philippines
7,3E Accounting,Accounting & Legal,Professional Services,Singapore
8,3M,,Industrials & Capital Goods,Philippines
9,411 Locals,,Professional Services,Philippines
10,4ISLES SERVICES PTE LTD,,Professional Services,Indonesia
11,8I Holdings,,"Banking, Finance & Insurance",Singapore
12,90 Seconds,Compute Hardware and Software,Information Technology & Services,Singapore
13,99.co,Information Technology,Information Technology & Services,Indonesia
14,A*STAR RESEARCH ENTITIES,Public,Government,Singapore
15,AADVANTAGE CONSULTING GROUP PTE. LTD.,Business Consultancy,Professional Services,Singapore
16,AAQUA PTE. LTD.,International Shipping,"Transportation, Logistics & Automotive",Singapore
17,"Aarki, Inc.",Marketing / Advertising / Sales,Professional Services,Philippines
18,Abbott Laboratories,,Health Care,Philippines
19,AbbVie Operations Singapore Pte Ltd,Pharmaceutical,Health Care,Singapore
20,ABeam Consulting Indonesia,,Professional Services,Indonesia
21,"Aboitiz Equity Ventures, Inc.",Finance,Conglomerates,Philippines
22,AC P. COMPUTER TRAINING & CONSULTANCY PTE LTD,Education,Education,Singapore
23,ACCELLION PTE LTD,Compute Hardware and Software,Information Technology & Services,Singapore
24,"Accent Micro Technologies, Inc.",Information Technology / IT,Information Technology & Services,Philippines
25,Accenture,,Professional Services,Philippines
26,AccionLabs,Information Technology,Information Technology & Services,Singapore
27,ACCOUNTANT-GENERAL'S DEPARTMENT,Government,Government,Singapore
28,Aces Call Center Jobs Inc.,Call Center / BPO,Professional Services,Philippines
29,ACEXCELLENT CONSULTING PTE. LTD.,HR consultancy,Professional Services,Singapore
30,ACKERMAN GLOBAL SEARCH PTE. LTD.,,Professional Services,Singapore
31,ACP Computer Training School Pte. Ltd.,,Information Technology & Services,Philippines
32,"Acquire Asia Pacific Philippines, Inc",Business Process Outsourcing,Professional Services,Philippines
33,ACTIONLAB IT SERVICES PHIL. CORP.,,Information Technology & Services,Philippines
34,ADA,,Professional Services,Philippines
35,Adecco Personnel Pte Ltd.,Employment Agency,Professional Services,Singapore
36,"Adi Resourcing Co., Ltd (Thailand)",,"Banking, Finance & Insurance",Indonesia
37,Adsia Logistics Inc,,"Transportation, Logistics & Automotive",Philippines
38,ADVANCE INTELLIGENCE PTE. LTD.,Enterprise Sotware and Network Solutions,Information Technology & Services,Singapore
39,ADVANCED MICRO FOUNDRY PTE. LTD.,Semiconductor,Information Technology & Services,Singapore
40,Advanced Remanufacturing and Technology Centre (A*STAR),,Professional Services,Singapore
41,Advanced Sterilization Products,Medical Devices,Health Care,Singapore
42,AEM SINGAPORE PTE. LTD.,Manufacturer,Materials,Singapore
43,Aeon Credit Service Systems (Philippines) Inc.,,"Banking, Finance & Insurance",Philippines
44,"Aero 360 Solutions, Inc.",,Professional Services,Philippines
45,AETOS Holdings Pte Ltd,Security Services,Professional Services,Singapore
46,Agape Hatchery,,Health Care,Indonesia
47,Agensi Pekerjaan Ellwood Consulting Sdn Bhd,Staffing and Recruitment,Professional Services,Singapore
48,Agensi Pekerjaan Futurestep Worldwide (M) Sdn Bhd,,Professional Services,Indonesia
49,Ageo System Solution Corporation,,Professional Services,Philippines
50,Agilent Technologies Singapore (International) Pte Ltd,Science & Technology,Professional Services,Singapore
