bigrams,count
"('computer', 'science')",1500
"('information', 'technology')",491
"('science', 'information')",393
"('engineering', 'computer')",346
"('science', 'computer')",340
"('science', 'engineering')",216
"('mathematics', 'statistics')",207
"('computer', 'engineering')",161
"('mathematics', 'computer')",153
"('technology', 'computer')",149
"('statistics', 'mathematics')",144
"('science', 'mathematics')",137
"('science', 'statistics')",136
"('data', 'science')",123
"('statistics', 'computer')",118
"('information', 'systems')",112
"('engineering', 'information')",107
"('technology', 'engineering')",94
"('applied', 'mathematics')",79
"('business', 'administration')",73
"('engineering', 'statistics')",69
"('engineering', 'mathematics')",69
"('electrical', 'engineering')",69
"('economics', 'computer')",59
"('industrial', 'engineering')",59
"('quantitative', 'field')",57
"('information', 'system')",57
"('it', 'computer')",53
"('statistics', 'engineering')",52
"('engineering', 'engineering')",51
"('math', 'statistics')",49
"('statistics', 'economics')",49
"('science', 'business')",49
"('business', 'analytics')",49
"('science', 'data')",49
"('technology', 'mathematics')",47
"('systems', 'computer')",45
"('software', 'engineering')",44
"('information', 'management')",43
"('mathematics', 'physics')",42
"('statistics', 'applied')",42
"('mathematics', 'economics')",40
"('business', 'studies')",40
"('operations', 'research')",40
"('machine', 'learning')",38
"('engineering', 'it')",37
"('business', 'management')",37
"('technology', 'information')",36
"('engineering', 'business')",36
"('computer', 'computer')",36
"('system', 'computer')",34
"('mathematics', 'engineering')",33
"('science', 'quantitative')",33
"('management', 'computer')",32
"('finance', 'computer')",32
"('physics', 'computer')",31
"('engineering', 'electrical')",29
"('economics', 'mathematics')",28
"('management', 'statistics')",28
"('statistics', 'business')",28
"('science', 'it')",28
"('mechanical', 'engineering')",28
"('analytics', 'computer')",28
"('science', 'software')",27
"('mathematics', 'business')",26
"('management', 'marketing')",26
"('engineering', 'data')",26
"('engineering', 'science')",25
"('technology', 'business')",25
"('administration', 'management')",25
"('mathematics', 'information')",24
"('statistics', 'finance')",24
"('engineering', 'economics')",23
"('finance', 'accounting')",22
"('finance', 'accountancy')",22
"('science', 'economics')",22
"('accounting', 'finance')",22
"('artificial', 'intelligence')",21
"('field', 'computer')",21
"('technology', 'it')",21
"('finance', 'economics')",21
"('management', 'information')",21
"('studies', 'administration')",21
"('statistics', 'data')",21
"('statistics', 'information')",20
"('management', 'engineering')",20
"('science', 'math')",20
"('marketing', 'business')",20
"('business', 'computer')",19
"('data', 'analytics')",19
"('electronics', 'engineering')",19
"('engineering', 'mechanical')",19
"('science', 'electrical')",19
"('finance', 'statistics')",19
"('economics', 'statistics')",19
"('technology', 'statistics')",18
"('business', 'economics')",17
"('economics', 'finance')",17
"('science', 'finance')",17
"('research', 'computer')",17
