bigrams,count
"('computer', 'science')",342
"('information', 'technology')",181
"('science', 'information')",131
"('engineering', 'computer')",89
"('science', 'engineering')",52
"('mathematics', 'statistics')",50
"('technology', 'computer')",50
"('science', 'computer')",47
"('information', 'system')",43
"('engineering', 'information')",29
"('mathematics', 'computer')",27
"('science', 'mathematics')",27
"('statistics', 'computer')",27
"('technology', 'engineering')",25
"('system', 'computer')",24
"('technology', 'information')",23
"('statistics', 'mathematics')",20
"('electrical', 'engineering')",19
"('information', 'systems')",17
"('industrial', 'engineering')",16
"('computer', 'computer')",16
"('statistics', 'engineering')",15
"('informatics', 'engineering')",15
"('engineering', 'mathematics')",14
"('science', 'statistics')",14
"('technology', 'mathematics')",14
"('data', 'science')",13
"('business', 'studies')",13
"('business', 'administration')",13
"('science', 'informatics')",12
"('masters', 'computer')",12
"('software', 'engineering')",11
"('engineering', 'economics')",11
"('any', 'major')",11
"('technology', 'statistics')",10
"('computer', 'engineering')",10
"('technology', 'business')",10
"('management', 'information')",10
"('statistics', 'economics')",10
"('economics', 'engineering')",10
"('it', 'computer')",10
"('finance', 'accounting')",10
"('it', 'information')",10
"('quantitative', 'field')",9
"('system', 'information')",9
"('systems', 'computer')",9
"('information', 'management')",9
"('business', 'management')",9
"('science', 'machine')",8
"('machine', 'learning')",8
"('science', 'technology')",8
"('field', 'computer')",8
"('engineering', 'data')",8
"('science', 'math')",8
"('mathematics', 'information')",8
"('technology', 'science')",8
"('science', '')",8
"('', 'technology')",8
"('technology', 'industrial')",8
"('science', 'quantitative')",8
"('engineering', 'business')",8
"('technology', 'finance')",8
"('finance', 'accountancy')",8
"('accounting', 'finance')",8
"('statistics', 'mis')",7
"('studies', 'management')",7
"('economics', 'computer')",7
"('mechanical', 'engineering')",7
"('engineering', 'electrical')",7
"('science', 'business')",6
"('math', 'statistics')",6
"('science', 'management')",6
"('informatics', 'information')",6
"('economics', 'business')",6
"('finance', 'information')",6
"('engineering', 'science')",6
"('engineering', 'it')",6
"('technology', 'masters')",6
"('computer', 'information')",6
"('technology', 'software')",5
"('computer', 'networks')",5
"('networks', 'operating')",5
"('operating', 'systems')",5
"('engineering', 'statistics')",5
"('economics', 'information')",5
"('finance', 'business')",5
"('accounting', 'business')",5
"('business', 'economics')",5
"('management', 'marketing')",5
"('management', 'computer')",5
"('management', 'engineering')",5
"('masters', 'engineering')",5
"('learning', 'applied')",4
"('applied', 'statistics')",4
"('learning', 'computer')",4
"('science', 'data')",4
"('science', 'it')",4
"('computer', 'mathematics')",4
"('mathematics', 'mathematics')",4
"('physics', 'computer')",4
