bigrams,count
"('computer', 'science')",463
"('information', 'technology')",212
"('science', 'information')",180
"('engineering', 'computer')",111
"('science', 'computer')",95
"('technology', 'computer')",58
"('computer', 'engineering')",57
"('technology', 'engineering')",54
"('mathematics', 'statistics')",52
"('science', 'engineering')",46
"('statistics', 'mathematics')",43
"('business', 'administration')",40
"('information', 'systems')",38
"('mathematics', 'computer')",37
"('engineering', 'information')",37
"('science', 'statistics')",35
"('statistics', 'computer')",33
"('science', 'mathematics')",29
"('industrial', 'engineering')",27
"('quantitative', 'field')",26
"('engineering', 'engineering')",26
"('economics', 'computer')",25
"('it', 'computer')",25
"('mathematics', 'economics')",24
"('engineering', 'it')",24
"('business', 'management')",24
"('technology', 'mathematics')",23
"('engineering', 'statistics')",22
"('math', 'statistics')",22
"('business', 'studies')",21
"('management', 'marketing')",21
"('mathematics', 'physics')",20
"('systems', 'computer')",20
"('science', 'business')",19
"('administration', 'management')",19
"('information', 'management')",18
"('management', 'statistics')",18
"('electrical', 'engineering')",18
"('engineering', 'business')",18
"('data', 'science')",17
"('statistics', 'engineering')",17
"('marketing', 'business')",16
"('science', 'quantitative')",15
"('statistics', 'economics')",15
"('applied', 'mathematics')",15
"('studies', 'administration')",15
"('management', 'engineering')",14
"('finance', 'economics')",14
"('accounting', 'finance')",14
"('physics', 'computer')",13
"('technology', 'it')",13
"('statistics', 'business')",13
"('science', 'it')",13
"('business', 'computer')",13
"('computer', 'computer')",13
"('economics', 'mathematics')",12
"('engineering', 'electrical')",12
"('business', 'analytics')",12
"('management', 'computer')",12
"('technology', 'business')",12
"('mathematics', 'engineering')",11
"('science', 'physics')",11
"('technology', 'information')",11
"('business', 'economics')",11
"('diploma', 'masters')",11
"('finance', 'accountancy')",11
"('engineering', 'mathematics')",10
"('electronics', 'engineering')",10
"('mechanical', 'engineering')",10
"('engineering', 'mechanical')",10
"('administration', 'computer')",9
"('accountancy', 'business')",9
"('business', 'finance')",9
"('accountancy', 'computer')",9
"('engineering', 'industrial')",9
"('management', 'information')",9
"('mathematics', 'business')",9
"('statistics', 'applied')",9
"('statistics', 'math')",8
"('engineering', 'quantitative')",8
"('master', 'mathematics')",8
"('field', 'computer')",8
"('statistics', 'information')",8
"('marketing', 'computer')",8
"('it', 'engineering')",8
"('it', 'business')",8
"('economics', 'business')",8
"('masters', 'marketing')",8
"('physics', 'economics')",7
"('it', 'mathematics')",7
"('statistics', 'statistics')",7
"('finance', 'accounting')",7
"('systems', 'business')",7
"('management', 'business')",7
"('business', 'information')",7
"('software', 'engineering')",7
"('business', 'engineering')",7
"('information', 'science')",7
"('technology', 'management')",7
"('it', 'math')",6
