bigrams,count
"('computer', 'science')",695
"('science', 'computer')",198
"('engineering', 'computer')",146
"('science', 'engineering')",118
"('mathematics', 'statistics')",105
"('information', 'technology')",98
"('computer', 'engineering')",94
"('data', 'science')",93
"('mathematics', 'computer')",88
"('science', 'statistics')",87
"('science', 'information')",82
"('statistics', 'mathematics')",81
"('science', 'mathematics')",81
"('applied', 'mathematics')",63
"('statistics', 'computer')",58
"('information', 'systems')",57
"('engineering', 'mathematics')",45
"('science', 'data')",43
"('engineering', 'statistics')",42
"('engineering', 'information')",41
"('technology', 'computer')",40
"('operations', 'research')",36
"('business', 'analytics')",34
"('statistics', 'applied')",33
"('electrical', 'engineering')",32
"('economics', 'computer')",27
"('machine', 'learning')",27
"('software', 'engineering')",26
"('finance', 'computer')",25
"('science', 'business')",24
"('statistics', 'economics')",24
"('quantitative', 'field')",22
"('analytics', 'computer')",21
"('statistics', 'data')",21
"('math', 'statistics')",21
"('engineering', 'engineering')",21
"('statistics', 'engineering')",20
"('business', 'administration')",20
"('mathematics', 'engineering')",20
"('mathematics', 'physics')",19
"('engineering', 'data')",18
"('science', 'software')",18
"('it', 'computer')",18
"('science', 'economics')",17
"('statistics', 'finance')",17
"('information', 'management')",16
"('science', 'electrical')",16
"('systems', 'computer')",16
"('industrial', 'engineering')",16
"('technology', 'engineering')",15
"('research', 'computer')",15
"('artificial', 'intelligence')",15
"('statistics', 'optimization')",15
"('optimization', 'computer')",15
"('data', 'analytics')",15
"('management', 'computer')",15
"('mathematics', 'business')",14
"('science', 'applied')",14
"('physics', 'computer')",14
"('engineering', 'applied')",14
"('engineering', 'science')",14
"('economics', 'mathematics')",13
"('mathematics', 'economics')",12
"('engineering', 'physics')",12
"('information', 'system')",12
"('statistics', 'business')",12
"('science', 'operations')",11
"('engineering', 'economics')",11
"('economics', 'statistics')",11
"('operation', 'research')",11
"('science', 'it')",11
"('mechanical', 'engineering')",11
"('statistics', 'machine')",10
"('physics', 'engineering')",10
"('science', 'quantitative')",10
"('mathematics', 'information')",10
"('engineering', 'business')",10
"('research', 'statistics')",10
"('statistics', 'information')",10
"('engineering', 'math')",10
"('finance', 'statistics')",10
"('technology', 'mathematics')",10
"('engineering', 'electrical')",10
"('bioinformatics', 'statistics')",9
"('mathematics', 'operations')",9
"('analytics', 'statistics')",9
"('science', 'finance')",9
"('science', 'machine')",9
"('statistics', 'physics')",9
"('physics', 'mathematics')",9
"('science', 'artificial')",9
"('electronics', 'engineering')",9
"('management', 'statistics')",8
"('learning', 'computer')",8
"('statistics', 'analytics')",8
"('electronic', 'engineering')",8
"('science', 'math')",8
"('statistics', 'operations')",8
"('materials', 'science')",8
"('business', 'analysis')",8
