Word,Count
computer,1790
science,1745
engineering,1077
information,745
statistics,693
mathematics,650
technology,533
business,329
economics,241
management,204
finance,200
it,162
data,151
systems,125
physics,109
applied,104
analytics,101
administration,101
math,100
marketing,94
quantitative,93
electrical,83
accounting,81
system,68
industrial,65
field,61
accountancy,58
research,58
studies,52
masters,50
software,48
operations,46
learning,40
machine,38
diploma,37
mechanical,35
informatics,34
,30
psychology,28
electronics,27
sciences,23
mis,22
artificial,21
intelligence,21
computing,21
actuarial,21
master,20
econometrics,19
major,18
financial,15
bioinformatics,15
optimization,15
operation,13
analysis,12
social,11
any,11
communication,10
statistic,10
engineer,10
economy,10
bs,9
biology,9
construction,9
chemical,8
electronic,8
materials,8
biostatistics,8
background,8
stem,8
education,8
decision,8
course,7
discipline,7
logistics,7
sociology,6
biomedical,6
applications,6
computerit,5
environmental,5
geology,5
mechatronics,5
anthropology,5
fields,5
degree,5
statistical,5
networks,5
operating,5
nursing,5
advertising,5
design,5
banking,5
vision,5
graduate,5
programming,4
mathematical,4
biological,4
computational,4
linguistics,4
bioengineering,4
microelectronics,4
