Word,Count,Country,% to Total,,Word,Count,Country,% to Total,,Word,Count,Country,% to Total
computer,566,PH,15.3%,,science,856,SG,19.3%,,computer,397,IN,17.4%
science,506,PH,13.7%,,computer,827,SG,18.7%,,science,383,IN,16.8%
engineering,360,PH,9.8%,,engineering,483,SG,10.9%,,information,265,IN,11.6%
information,286,PH,7.7%,,statistics,377,SG,8.5%,,engineering,234,IN,10.2%
technology,226,PH,6.1%,,mathematics,340,SG,7.7%,,technology,199,IN,8.7%
statistics,204,PH,5.5%,,information,194,SG,4.4%,,mathematics,119,IN,5.2%
mathematics,191,PH,5.2%,,data,116,SG,2.6%,,statistics,112,IN,4.9%
business,174,PH,4.7%,,technology,108,SG,2.4%,,business,57,IN,2.5%
management,108,PH,2.9%,,economics,100,SG,2.3%,,system,54,IN,2.4%
economics,90,PH,2.4%,,business,98,SG,2.2%,,management,53,IN,2.3%
it,77,PH,,,applied,78,SG,,,economics,51,IN,
finance,75,PH,,,finance,78,SG,,,finance,47,IN,
marketing,66,PH,,,analytics,71,SG,,,it,37,IN,
administration,59,PH,,,systems,59,SG,,,accounting,34,IN,
systems,43,PH,,,physics,56,SG,,,informatics,26,IN,
physics,42,PH,,,research,48,SG,,,systems,23,IN,
accounting,40,PH,,,it,48,SG,,,masters,22,IN,
math,39,PH,,,electrical,44,SG,,,math,21,IN,
accountancy,38,PH,,,management,43,SG,,,quantitative,20,IN,
quantitative,36,PH,,,math,40,SG,,,electrical,20,IN,
industrial,29,PH,,,operations,38,SG,,,marketing,19,IN,
studies,27,PH,,,quantitative,37,SG,,,industrial,17,IN,
field,26,PH,,,learning,29,SG,,,administration,17,IN,
analytics,20,PH,,,machine,27,SG,,,data,16,IN,
applied,20,PH,,,software,27,SG,,,major,15,IN,
data,19,PH,,,administration,25,SG,,,field,13,IN,
electrical,19,PH,,,field,22,SG,,,studies,13,IN,
mechanical,15,PH,,,industrial,19,SG,,,,,,
diploma,14,PH,,,computing,17,SG,,,,2284,,
psychology,14,PH,,,diploma,17,SG,,,,,,
masters,13,PH,,,actuarial,16,SG,,,,,,
electronics,11,PH,,,electronics,16,SG,,,,,,
software,10,PH,,,bioinformatics,15,SG,,,,,,
mis,10,PH,,,artificial,15,SG,,,,,,
bs,9,PH,,,intelligence,15,SG,,,,,,
master,9,PH,,,optimization,15,SG,,,,,,
sciences,8,PH,,,masters,15,SG,,,,,,
econometrics,8,PH,,,,,,,,,,,
communication,7,PH,,,,4429,,,,,,,
course,7,PH,,,,,,,,,,,
operations,6,PH,,,,,,,,,,,
research,6,PH,,,,,,,,,,,
education,6,PH,,,,,,,,,,,
computerit,5,PH,,,,,,,,,,,
biology,5,PH,,,,,,,,,,,
geology,5,PH,,,,,,,,,,,
social,5,PH,,,,,,,,,,,
informatics,5,PH,,,,,,,,,,,
construction,5,PH,,,,,,,,,,,
nursing,5,PH,,,,,,,,,,,
environmental,4,PH,,,,,,,,,,,
,4,PH,,,,,,,,,,,
programming,4,PH,,,,,,,,,,,
mathematical,4,PH,,,,,,,,,,,
advertising,4,PH,,,,,,,,,,,
media,4,PH,,,,,,,,,,,
design,4,PH,,,,,,,,,,,
engineer,4,PH,,,,,,,,,,,
artificial,3,PH,,,,,,,,,,,
intelligence,3,PH,,,,,,,,,,,
machine,3,PH,,,,,,,,,,,
learning,3,PH,,,,,,,,,,,
geography,3,PH,,,,,,,,,,,
medical,3,PH,,,,,,,,,,,
financial,3,PH,,,,,,,,,,,
event,3,PH,,,,,,,,,,,
quality,3,PH,,,,,,,,,,,
admin,3,PH,,,,,,,,,,,
major,3,PH,,,,,,,,,,,
computing,3,PH,,,,,,,,,,,
computerdata,2,PH,,,,,,,,,,,
chemical,2,PH,,,,,,,,,,,
mechatronics,2,PH,,,,,,,,,,,
system,2,PH,,,,,,,,,,,
ba,2,PH,,,,,,,,,,,
sociology,2,PH,,,,,,,,,,,
anthropology,2,PH,,,,,,,,,,,
mba,2,PH,,,,,,,,,,,
services,2,PH,,,,,,,,,,,
communications,2,PH,,,,,,,,,,,
analysis,2,PH,,,,,,,,,,,
office,2,PH,,,,,,,,,,,
cpa,2,PH,,,,,,,,,,,
banking,2,PH,,,,,,,,,,,
food,2,PH,,,,,,,,,,,
counseling,2,PH,,,,,,,,,,,
geodetic,2,PH,,,,,,,,,,,
mca,2,PH,,,,,,,,,,,
actuarial,2,PH,,,,,,,,,,,
security,1,PH,,,,,,,,,,,
related,1,PH,,,,,,,,,,,
iv,1,PH,,,,,,,,,,,
undergraduate,1,PH,,,,,,,,,,,
or,1,PH,,,,,,,,,,,
digital,1,PH,,,,,,,,,,,
managementmarketing,1,PH,,,,,,,,,,,
statictics,1,PH,,,,,,,,,,,
ab,1,PH,,,,,,,,,,,
background,1,PH,,,,,,,,,,,
technical,1,PH,,,,,,,,,,,
,,,,,,,,,,,,,
,3691,,,,,,,,,,,,
