Word,Count
computer,397
science,383
information,265
engineering,234
technology,199
mathematics,119
statistics,112
business,57
system,54
management,53
economics,51
finance,47
it,37
accounting,34
informatics,26
systems,23
masters,22
math,21
quantitative,20
electrical,20
marketing,19
industrial,17
administration,17
data,16
major,15
field,13
studies,13
,12
physics,11
mis,11
software,11
any,11
accountancy,11
analytics,10
economy,10
machine,8
learning,8
mechanical,8
econometrics,7
applied,6
diploma,6
psychology,6
financial,5
statistic,5
networks,5
operating,5
background,4
mathematic,4
research,4
construction,4
majoring,4
artificial,3
intelligence,3
master,3
stem,3
fields,3
communication,3
actuarial,3
banking,3
technical,2
operation,2
matematics,2
decision,2
statistical,2
sciences,2
is,2
academic,2
operations,2
mining,2
social,2
logistics,2
analysis,1
informasi,1
mathematician,1
environmental,1
maintenance,1
supervisor,1
electro,1
engineer,1
administrations,1
statisctic,1
computerized,1
admininistration,1
computing,1
collection,1
scienceamp,1
computerinformation,1
strategic,1
plan,1
advertising,1
tax,1
techonlogy,1
marine,1
informatic,1
statisctics,1
related,1
telecommunication,1
all,1
telecommunicationinformatics,1
university,1
