Word,Count
computer,566
science,506
engineering,360
information,286
technology,226
statistics,204
mathematics,191
business,174
management,108
economics,90
it,77
finance,75
marketing,66
administration,59
systems,43
physics,42
accounting,40
math,39
accountancy,38
quantitative,36
industrial,29
studies,27
field,26
analytics,20
applied,20
data,19
electrical,19
mechanical,15
diploma,14
psychology,14
masters,13
electronics,11
software,10
mis,10
bs,9
master,9
sciences,8
econometrics,8
communication,7
course,7
operations,6
research,6
education,6
computerit,5
biology,5
geology,5
social,5
informatics,5
construction,5
nursing,5
environmental,4
,4
programming,4
mathematical,4
advertising,4
media,4
design,4
engineer,4
artificial,3
intelligence,3
machine,3
learning,3
geography,3
medical,3
financial,3
event,3
quality,3
admin,3
major,3
computing,3
computerdata,2
chemical,2
mechatronics,2
system,2
ba,2
sociology,2
anthropology,2
mba,2
services,2
communications,2
analysis,2
office,2
cpa,2
banking,2
food,2
counseling,2
geodetic,2
mca,2
actuarial,2
security,1
related,1
iv,1
undergraduate,1
or,1
digital,1
managementmarketing,1
statictics,1
ab,1
background,1
technical,1
