Word,Count
science,856
computer,827
engineering,483
statistics,377
mathematics,340
information,194
data,116
technology,108
economics,100
business,98
applied,78
finance,78
analytics,71
systems,59
physics,56
research,48
it,48
electrical,44
management,43
math,40
operations,38
quantitative,37
learning,29
machine,27
software,27
administration,25
field,22
industrial,19
computing,17
diploma,17
actuarial,16
electronics,16
bioinformatics,15
artificial,15
intelligence,15
optimization,15
masters,15
,14
sciences,13
system,12
studies,12
mechanical,12
operation,11
analysis,9
marketing,9
accountancy,9
electronic,8
materials,8
biostatistics,8
master,8
psychology,8
financial,7
discipline,7
accounting,7
biomedical,6
applications,6
decision,6
chemical,6
statistic,5
degree,5
engineer,5
stem,5
vision,5
graduate,5
biological,4
computational,4
linguistics,4
bioengineering,4
biology,4
microelectronics,4
building,4
automation,4
sociology,4
logistics,4
econometrics,4
social,4
immunology,3
maritime,3
political,3
mechatronics,3
statistical,3
background,3
anthropology,3
informatics,3
retrieval,2
linear,2
algebra,2
genetics,2
fields,2
support,2
bachelor,2
networking,2
ite,2
infocomm,2
or,2
education,2
bachelors,2
agriculture,2
technicalengineering,2
medial,2
