trigrams,count
"('computer', 'science', 'information')",130
"('science', 'information', 'technology')",118
"('engineering', 'computer', 'science')",49
"('technology', 'computer', 'science')",49
"('computer', 'science', 'engineering')",48
"('information', 'technology', 'computer')",48
"('computer', 'science', 'computer')",44
"('science', 'computer', 'science')",38
"('statistics', 'computer', 'science')",27
"('mathematics', 'computer', 'science')",25
"('system', 'computer', 'science')",24
"('information', 'system', 'computer')",23
"('information', 'technology', 'information')",23
"('science', 'mathematics', 'statistics')",20
"('science', 'engineering', 'computer')",19
"('information', 'technology', 'engineering')",19
"('mathematics', 'statistics', 'computer')",18
"('computer', 'science', 'mathematics')",17
"('engineering', 'computer', 'computer')",16
"('computer', 'computer', 'science')",16
"('technology', 'engineering', 'computer')",15
"('computer', 'science', 'statistics')",14
"('engineering', 'information', 'technology')",14
"('information', 'technology', 'mathematics')",13
"('computer', 'science', 'informatics')",12
"('masters', 'computer', 'science')",12
"('engineering', 'information', 'system')",11
"('information', 'technology', 'statistics')",10
"('mathematics', 'statistics', 'economics')",10
"('science', 'statistics', 'engineering')",9
"('technology', 'information', 'technology')",9
"('systems', 'computer', 'science')",9
"('computer', 'science', 'machine')",8
"('science', 'machine', 'learning')",8
"('statistics', 'mathematics', 'computer')",8
"('field', 'computer', 'science')",8
"('science', 'engineering', 'data')",8
"('engineering', 'data', 'science')",8
"('information', 'technology', 'science')",8
"('science', '', 'technology')",8
"('information', 'technology', 'industrial')",8
"('technology', 'industrial', 'engineering')",8
"('it', 'computer', 'science')",8
"('technology', 'information', 'system')",8
"('information', 'technology', 'finance')",8
"('science', 'informatics', 'engineering')",8
"('informatics', 'engineering', 'information')",8
"('quantitative', 'field', 'computer')",7
"('computer', 'science', 'math')",7
"('science', 'information', 'system')",7
"('science', 'engineering', 'economics')",7
"('technology', 'business', 'studies')",7
"('business', 'studies', 'management')",7
"('statistics', 'economics', 'engineering')",7
"('industrial', 'engineering', 'information')",7
"('economics', 'computer', 'science')",7
"('data', 'science', 'quantitative')",7
"('science', 'quantitative', 'field')",7
"('it', 'information', 'system')",7
"('computer', 'science', 'business')",6
"('science', 'technology', 'engineering')",6
"('technology', 'engineering', 'mathematics')",6
"('computer', 'science', 'management')",6
"('technology', 'science', '')",6
"('engineering', 'electrical', 'engineering')",6
"('computer', 'information', 'technology')",6
"('statistics', 'engineering', 'computer')",5
"('technology', 'statistics', 'mis')",5
"('information', 'technology', 'software')",5
"('technology', 'software', 'engineering')",5
"('science', 'computer', 'engineering')",5
"('engineering', 'computer', 'networks')",5
"('computer', 'networks', 'operating')",5
"('networks', 'operating', 'systems')",5
"('operating', 'systems', 'computer')",5
"('management', 'information', 'technology')",5
"('technology', 'information', 'systems')",5
"('management', 'computer', 'science')",5
"('electrical', 'engineering', 'computer')",5
"('masters', 'engineering', 'computer')",5
"('information', 'technology', 'masters')",5
"('engineering', 'computer', 'information')",5
"('science', 'management', 'information')",5
"('machine', 'learning', 'applied')",4
"('learning', 'applied', 'statistics')",4
"('applied', 'statistics', 'mathematics')",4
"('engineering', 'mathematics', 'computer')",4
"('machine', 'learning', 'computer')",4
"('learning', 'computer', 'science')",4
"('science', 'math', 'statistics')",4
"('math', 'statistics', 'computer')",4
"('computer', 'science', 'data')",4
"('science', 'data', 'science')",4
"('computer', 'science', 'it')",4
"('data', 'science', 'mathematics')",4
"('engineering', 'computer', 'mathematics')",4
"('computer', 'mathematics', 'computer')",4
"('physics', 'computer', 'science')",4
"('engineering', 'mathematics', 'statistics')",4
"('information', 'system', 'information')",4
