trigrams,count
"('computer', 'science', 'information')",175
"('science', 'information', 'technology')",141
"('computer', 'science', 'computer')",82
"('engineering', 'computer', 'science')",75
"('information', 'technology', 'computer')",58
"('science', 'computer', 'science')",55
"('information', 'technology', 'engineering')",51
"('technology', 'computer', 'science')",49
"('computer', 'science', 'engineering')",46
"('technology', 'engineering', 'computer')",39
"('mathematics', 'computer', 'science')",35
"('science', 'computer', 'engineering')",35
"('statistics', 'computer', 'science')",33
"('engineering', 'information', 'technology')",32
"('computer', 'science', 'statistics')",31
"('computer', 'science', 'mathematics')",28
"('economics', 'computer', 'science')",25
"('it', 'computer', 'science')",25
"('information', 'technology', 'mathematics')",23
"('computer', 'engineering', 'information')",20
"('mathematics', 'economics', 'computer')",19
"('statistics', 'mathematics', 'computer')",18
"('systems', 'computer', 'science')",18
"('science', 'information', 'management')",16
"('information', 'systems', 'computer')",16
"('computer', 'science', 'quantitative')",15
"('computer', 'science', 'business')",15
"('science', 'information', 'systems')",15
"('business', 'studies', 'administration')",15
"('information', 'management', 'statistics')",14
"('engineering', 'it', 'computer')",14
"('science', 'engineering', 'computer')",14
"('studies', 'administration', 'management')",14
"('physics', 'computer', 'science')",13
"('engineering', 'computer', 'computer')",13
"('business', 'computer', 'science')",12
"('management', 'computer', 'science')",12
"('computer', 'computer', 'science')",12
"('computer', 'science', 'physics')",11
"('science', 'quantitative', 'field')",11
"('engineering', 'electrical', 'engineering')",11
"('computer', 'science', 'it')",11
"('information', 'technology', 'information')",11
"('business', 'management', 'marketing')",11
"('information', 'technology', 'it')",10
"('mathematics', 'physics', 'computer')",9
"('science', 'statistics', 'engineering')",9
"('business', 'administration', 'computer')",9
"('accountancy', 'computer', 'science')",9
"('information', 'technology', 'business')",9
"('computer', 'engineering', 'computer')",9
"('science', 'mathematics', 'statistics')",9
"('math', 'statistics', 'computer')",8
"('master', 'mathematics', 'physics')",8
"('quantitative', 'field', 'computer')",8
"('administration', 'computer', 'science')",8
"('engineering', 'industrial', 'engineering')",8
"('administration', 'management', 'marketing')",8
"('diploma', 'masters', 'marketing')",8
"('mathematics', 'engineering', 'computer')",7
"('mathematics', 'statistics', 'economics')",7
"('engineering', 'statistics', 'mathematics')",7
"('field', 'computer', 'science')",7
"('computer', 'engineering', 'electrical')",7
"('mathematics', 'statistics', 'computer')",7
"('information', 'systems', 'business')",7
"('marketing', 'computer', 'science')",7
"('technology', 'information', 'systems')",7
"('technology', 'computer', 'engineering')",7
"('management', 'information', 'systems')",7
"('statistics', 'applied', 'mathematics')",7
"('statistics', 'mathematics', 'engineering')",6
"('statistics', 'business', 'analytics')",6
"('science', 'engineering', 'business')",6
"('mathematics', 'information', 'technology')",6
"('engineering', 'computer', 'engineering')",6
"('computer', 'engineering', 'it')",6
"('software', 'engineering', 'mis')",6
"('engineering', 'business', 'administration')",6
"('information', 'technology', 'management')",6
"('technology', 'mathematics', 'physics')",5
"('mathematics', 'physics', 'economics')",5
"('mathematics', 'statistics', 'computerit')",5
"('science', 'engineering', 'it')",5
"('engineering', 'engineering', 'it')",5
"('statistics', 'information', 'technology')",5
"('science', 'mathematics', 'economics')",5
"('mathematics', 'statistics', 'mathematics')",5
"('statistics', 'mathematics', 'statistics')",5
"('information', 'technology', 'finance')",5
"('data', 'science', 'computer')",5
"('technology', 'mathematics', 'statistics')",5
"('engineering', 'engineering', 'computer')",5
"('industrial', 'engineering', 'engineering')",5
"('mechanical', 'engineering', 'engineering')",5
"('engineering', 'mechanical', 'engineering')",5
"('engineering', 'quantitative', 'field')",5
"('engineering', 'business', 'studies')",5
"('business', 'information', 'technology')",5
"('finance', 'economics', 'business')",5
