trigrams,count
"('computer', 'science', 'computer')",145
"('science', 'computer', 'science')",130
"('engineering', 'computer', 'science')",128
"('computer', 'science', 'engineering')",105
"('mathematics', 'computer', 'science')",87
"('computer', 'science', 'information')",78
"('computer', 'science', 'statistics')",70
"('computer', 'science', 'mathematics')",61
"('science', 'computer', 'engineering')",56
"('statistics', 'computer', 'science')",53
"('science', 'information', 'technology')",51
"('statistics', 'mathematics', 'computer')",48
"('information', 'technology', 'computer')",40
"('science', 'data', 'science')",38
"('science', 'mathematics', 'statistics')",38
"('computer', 'science', 'data')",37
"('data', 'science', 'computer')",34
"('technology', 'computer', 'science')",34
"('computer', 'engineering', 'computer')",31
"('statistics', 'applied', 'mathematics')",28
"('economics', 'computer', 'science')",26
"('science', 'statistics', 'mathematics')",26
"('mathematics', 'statistics', 'computer')",24
"('engineering', 'mathematics', 'statistics')",23
"('finance', 'computer', 'science')",23
"('science', 'engineering', 'computer')",22
"('science', 'engineering', 'mathematics')",21
"('analytics', 'computer', 'science')",20
"('computer', 'science', 'business')",20
"('engineering', 'information', 'systems')",19
"('engineering', 'information', 'technology')",19
"('computer', 'science', 'software')",18
"('engineering', 'data', 'science')",17
"('science', 'software', 'engineering')",17
"('it', 'computer', 'science')",17
"('information', 'systems', 'computer')",16
"('mathematics', 'statistics', 'economics')",16
"('math', 'statistics', 'optimization')",15
"('statistics', 'optimization', 'computer')",15
"('optimization', 'computer', 'science')",15
"('mathematics', 'statistics', 'finance')",15
"('science', 'statistics', 'applied')",14
"('data', 'science', 'statistics')",14
"('computer', 'science', 'applied')",14
"('science', 'applied', 'mathematics')",14
"('computer', 'science', 'economics')",14
"('science', 'information', 'systems')",14
"('research', 'computer', 'science')",13
"('computer', 'science', 'electrical')",13
"('physics', 'computer', 'science')",13
"('statistics', 'finance', 'computer')",13
"('software', 'engineering', 'computer')",13
"('management', 'computer', 'science')",13
"('computer', 'engineering', 'information')",13
"('statistics', 'data', 'science')",12
"('science', 'business', 'analytics')",12
"('statistics', 'economics', 'computer')",12
"('science', 'mathematics', 'computer')",12
"('engineering', 'statistics', 'mathematics')",12
"('science', 'information', 'management')",11
"('applied', 'mathematics', 'computer')",11
"('science', 'electrical', 'engineering')",11
"('electrical', 'engineering', 'computer')",11
"('science', 'engineering', 'data')",11
"('computer', 'science', 'it')",11
"('science', 'operations', 'research')",10
"('applied', 'mathematics', 'statistics')",10
"('statistics', 'machine', 'learning')",10
"('science', 'mathematics', 'physics')",10
"('mathematics', 'statistics', 'data')",10
"('information', 'technology', 'engineering')",10
"('systems', 'computer', 'science')",10
"('operations', 'research', 'statistics')",10
"('information', 'technology', 'mathematics')",10
"('mathematics', 'operations', 'research')",9
"('operations', 'research', 'computer')",9
"('computer', 'science', 'finance')",9
"('data', 'science', 'mathematics')",9
"('engineering', 'business', 'analytics')",9
"('science', 'machine', 'learning')",9
"('science', 'artificial', 'intelligence')",9
"('science', 'engineering', 'information')",9
"('engineering', 'electrical', 'engineering')",9
"('mathematics', 'statistics', 'machine')",8
"('machine', 'learning', 'computer')",8
"('science', 'engineering', 'statistics')",8
"('engineering', 'statistics', 'computer')",8
"('mathematics', 'information', 'technology')",8
"('mathematics', 'engineering', 'computer')",8
"('statistics', 'operations', 'research')",8
"('computer', 'science', 'machine')",8
"('engineering', 'applied', 'mathematics')",8
"('statistics', 'business', 'analysis')",8
"('computer', 'science', 'operations')",8
"('technology', 'mathematics', 'statistics')",8
"('information', 'system', 'computer')",8
"('data', 'analytics', 'computer')",8
"('bioinformatics', 'statistics', 'engineering')",7
"('quantitative', 'field', 'statistics')",7
"('operations', 'research', 'engineering')",7
