Word,Count
degree,704
bachelors,385
bachelor,154
bachelorscollege,145
college,123
bs,114
,83
university,30
graduate,25
phd,16
masters,13
ba,10
ms,9
diploma,8
of,8
technical,5
master,5
or,5
science,4
msc,3
postgraduate,3
holder,3
business,3
undergraduate,3
graduates,3
level,2
bachelorsmasters,2
bacheloruniversity,2
php1800000,2
bachelorcollege,2
accountancy,2
nursing,2
in,2
mathematics,2
month,1
education,1
management,1
ab,1
desgree,1
bsms,1
a,1
any,1
administration,1
doctorate,1
bachelorsmaster,1
bsba,1
geology,1
technology,1
years,1
bi,1
