Word,Count
degree,1778
bachelors,862
bachelor,560
phd,265
masters,215
bs,182
bachelorscollege,145
college,125
,122
diploma,93
master,86
university,59
graduate,50
ms,36
ba,31
msc,26
or,24
undergraduate,17
of,15
holder,12
tertiary,11
education,10
minimum,9
technical,7
postgraduate,7
science,6
advanced,6
in,5
business,4
mathematics,4
level,3
d,3
bachelorsuniversity,3
graduates,3
qualifications,3
min,3
bachelorsmasters,2
bacheloruniversity,2
php1800000,2
desired,2
bsc,2
commerce,2
barat,2
accounting,2
bachelorcollege,2
accountancy,2
nursing,2
bachelordiploma,2
bachelormaster,2
with,2
majoring,2
month,1
nitec,1
bachelordegree,1
engineering,1
management,1
ab,1
desgree,1
bsms,1
a,1
any,1
administration,1
diplomas,1
phds,1
academic,1
bba,1
at,1
least,1
doctorate,1
bachelorsmaster,1
bsba,1
geology,1
bachelorgraduate,1
bachelormasters,1
technology,1
years,1
bi,1
