Word,Count
years,2120
3,463
2,409
1,368
5,364
year,334
at,250
least,250
4,147
minimum,145
experience,122
35,117
12,102
14,70
23,66
,52
6,52
3+,50
13,44
10,44
months,35
5+,32
8,31
7,29
4+,27
1+,24
one,23
2+,23
34,22
to,20
more,19
25,19
min,19
of,18
than,17
57,14
45,14
46,13
24,12
two,11
8+,11
58,11
37,8
or,7
48,7
yrs,7
fresh,5
graduates,5
02,5
05,5
510,5
6+,5
15,4
+,4
03,4
scale,4
7+,4
oneyear,3
three,3
68,3
10+,3
+4,3
15+,3
012,3
+2,3
work,2
interviews,2
01,2
bim,2
day,2
trips,2
free,2
dependent,2
710,2
minimally4,2
0,2
no,2
prior,2
610,2
experiences,2
working,2
1+1,2
five,2
yearexperience,2
fouryear,1
professional,1
49,1
1520,1
18,1
28,1
hospital,1
69,1
associate,1
degree,1
graduate,1
1015,1
end,1
minimal,1
experince,1
full,1
