Word,Count
years,858
1,220
3,214
year,202
2,191
5,137
at,100
least,100
experience,73
14,66
12,49
35,41
4,39
23,27
13,25
months,23
3+,19
one,18
,17
minimum,15
10,15
to,13
6,13
5+,11
45,10
of,9
25,9
two,8
2+,7
7,7
46,7
8,6
yrs,6
57,5
4+,5
or,4
more,4
1+,4
24,4
oneyear,3
012,3
34,3
8+,3
than,2
work,2
interviews,2
01,2
bim,2
15,2
day,2
trips,2
free,2
dependent,2
37,2
7+,2
6+,2
five,2
710,1
fouryear,1
hospital,1
69,1
03,1
02,1
associate,1
degree,1
graduate,1
1015,1
end,1
+2,1
510,1
025,1
56,1
twoyear,1
68,1
inoracle,1
database,1
26,1
course,1
58,1
revenue,1
cycle,1
reporting,1
