Word,Count
years,653
5,123
3,121
2,104
at,104
least,104
minimum,68
4,59
35,52
year,50
1,48
6,28
10,25
12,24
3+,21
,17
8,14
13,12
experience,11
23,11
5+,10
7,10
more,9
than,9
2+,8
48,7
1+,7
to,7
4+,7
37,6
min,6
8+,6
57,6
months,5
one,5
fresh,5
graduates,5
05,5
25,4
46,4
510,4
three,3
14,3
+,3
58,3
two,3
45,3
6+,3
of,3
minimally4,2
24,2
68,2
02,2
0,2
10+,2
no,2
prior,2
15,2
34,2
1+1,2
professional,1
49,1
1520,1
18,1
working,1
38,1
usd,1
15+,1
major,1
yrs,1
relevant,1
+2,1
experiences,1
7+,1
710,1
9,1
or,1
79,1
812,1
