bigrams,count
"('machine', 'learning')",1013
"('data', 'analysis')",489
"('big', 'data')",450
"('data', 'mining')",406
"('business', 'intelligence')",351
"('data', 'visualization')",345
"('data', 'analytics')",303
"('analysis', 'data')",275
"('data', 'warehouse')",222
"('statistical', 'analysis')",188
"('deep', 'learning')",184
"('artificial', 'intelligence')",157
"('data', 'management')",151
"('analytics', 'data')",150
"('data', 'collection')",146
"('learning', 'data')",146
"('data', 'science')",143
"('visualization', 'data')",143
"('learning', 'algorithms')",139
"('data', 'processing')",138
"('software', 'development')",136
"('data', 'modelling')",133
"('intelligence', 'data')",131
"('data', 'modeling')",129
"('mining', 'data')",127
"('data', 'engineering')",124
"('data', 'models')",123
"('management', 'data')",122
"('natural', 'language')",120
"('modelling', 'data')",116
"('learning', 'models')",113
"('project', 'management')",113
"('models', 'data')",109
"('data', 'warehousing')",109
"('neural', 'networks')",108
"('language', 'processing')",107
"('data', 'pipelines')",107
"('data', 'data')",107
"('relational', 'databases')",103
"('databases', 'data')",89
"('etl', 'data')",87
"('modeling', 'data')",85
"('processing', 'data')",85
"('predictive', 'modeling')",84
"('predictive', 'models')",83
"('statistical', 'modelling')",82
"('programming', 'language')",77
"('feature', 'engineering')",75
"('development', 'data')",73
"('communication', 'skills')",73
"('data', 'visualisation')",72
"('computer', 'vision')",72
"('engineering', 'data')",71
"('learning', 'machine')",70
"('programming', 'data')",68
"('warehouse', 'data')",67
"('time', 'series')",64
"('algorithms', 'data')",63
"('model', 'development')",63
"('data', 'pipeline')",61
"('analysis', 'machine')",59
"('decision', 'trees')",59
"('skills', 'data')",59
"('advanced', 'analytics')",58
"('data', 'transformation')",57
"('data', 'cleansing')",57
"('software', 'engineering')",56
"('data', 'integration')",56
"('predictive', 'analytics')",55
"('learning', 'artificial')",55
"('text', 'mining')",55
"('life', 'cycle')",55
"('dashboards', 'data')",53
"('learning', 'statistical')",52
"('statistical', 'modeling')",51
"('statistical', 'models')",50
"('root', 'cause')",50
"('predictive', 'modelling')",48
"('cleansing', 'data')",48
"('programming', 'skills')",48
"('analytics', 'machine')",47
"('data', 'manipulation')",47
"('decision', 'tree')",46
"('analysis', 'statistical')",46
"('anomaly', 'detection')",46
"('visualisation', 'data')",46
"('statistics', 'data')",45
"('bi', 'tools')",45
"('data', 'warehouses')",45
"('pipelines', 'data')",45
"('clustering', 'decision')",44
"('development', 'life')",44
"('data', 'infrastructure')",44
"('analytics', 'business')",43
"('data', 'extraction')",43
"('transformation', 'data')",42
"('ai', 'machine')",41
"('warehousing', 'data')",41
"('database', 'design')",40
"('business', 'analysis')",40
