bigrams,count
"('machine', 'learning')",133
"('data', 'mining')",60
"('big', 'data')",59
"('data', 'visualization')",52
"('data', 'analytics')",48
"('business', 'intelligence')",46
"('data', 'analysis')",37
"('analysis', 'data')",31
"('data', 'management')",31
"('data', 'warehouse')",26
"('neural', 'networks')",24
"('analytics', 'data')",23
"('feature', 'engineering')",23
"('model', 'development')",22
"('predictive', 'modeling')",21
"('visualization', 'data')",21
"('advanced', 'analytics')",21
"('learning', 'algorithms')",20
"('learning', 'data')",20
"('deep', 'learning')",20
"('data', 'engineering')",19
"('mining', 'data')",18
"('statistical', 'analysis')",18
"('data', 'collection')",17
"('artificial', 'intelligence')",16
"('project', 'management')",15
"('models', 'data')",14
"('management', 'data')",14
"('intelligence', 'data')",14
"('data', 'science')",14
"('life', 'cycle')",14
"('text', 'mining')",13
"('decision', 'trees')",13
"('analytics', 'business')",13
"('development', 'life')",13
"('software', 'development')",12
"('natural', 'language')",12
"('data', 'processing')",12
"('decision', 'tree')",11
"('analysis', 'machine')",11
"('visualization', 'machine')",11
"('language', 'processing')",11
"('data', 'data')",11
"('cycle', 'sdlc')",11
"('statistical', 'tests')",10
"('clustering', 'decision')",10
"('learning', 'artificial')",10
"('artificial', 'neural')",10
"('predictive', 'models')",10
"('modeling', 'data')",10
"('organizational', 'skills')",10
"('anomaly', 'detection')",10
"('learning', 'models')",10
"('development', 'data')",10
"('system', 'development')",10
"('programming', 'skills')",10
"('random', 'forest')",9
"('databases', 'data')",9
"('analytics', 'machine')",9
"('software', 'engineering')",9
"('data', 'visualisation')",9
"('development', 'validation')",9
"('data', 'infrastructure')",9
"('tree', 'learning')",8
"('learning', 'statistical')",8
"('change', 'management')",8
"('communication', 'skills')",8
"('warehouse', 'data')",8
"('etl', 'data')",8
"('regression', 'statistical')",8
"('business', 'process')",8
"('data', 'warehousing')",8
"('engineering', 'model')",8
"('statistical', 'modelling')",7
"('statistical', 'models')",7
"('network', 'analysis')",7
"('querying', 'databases')",7
"('databases', 'machine')",7
"('collection', 'analysis')",7
"('data', 'exploration')",7
"('relational', 'databases')",7
"('root', 'cause')",7
"('pattern', 'recognition')",7
"('dashboards', 'data')",7
"('engineering', 'data')",7
"('modelling', 'data')",7
"('ai', 'machine')",7
"('pipelines', 'machine')",7
"('modeling', 'machine')",7
"('statistical', 'modeling')",7
"('validation', 'testing')",7
"('glmregression', 'random')",6
"('forest', 'boosting')",6
"('boosting', 'trees')",6
"('trees', 'text')",6
"('mining', 'social')",6
"('social', 'network')",6
"('analysis', 'querying')",6
"('algorithms', 'statistics')",6
"('simulation', 'scenario')",6
