bigrams,count
"('business', 'intelligence')",143
"('data', 'analysis')",54
"('data', 'warehouse')",45
"('big', 'data')",40
"('project', 'management')",40
"('intelligence', 'data')",36
"('machine', 'learning')",33
"('analysis', 'data')",30
"('data', 'visualization')",30
"('artificial', 'intelligence')",29
"('data', 'mining')",28
"('data', 'analytics')",24
"('intelligence', 'business')",23
"('data', 'management')",21
"('communication', 'skills')",20
"('market', 'intelligence')",20
"('intelligence', 'bi')",19
"('analytics', 'data')",19
"('business', 'development')",18
"('management', 'business')",18
"('data', 'warehousing')",17
"('management', 'data')",16
"('data', 'models')",15
"('data', 'modeling')",14
"('reporting', 'data')",14
"('analysis', 'business')",14
"('supply', 'chain')",13
"('business', 'process')",13
"('root', 'cause')",12
"('modeling', 'data')",12
"('development', 'data')",12
"('organizational', 'skills')",12
"('statistical', 'analysis')",12
"('software', 'development')",12
"('data', 'visualisation')",11
"('data', 'collection')",11
"('cause', 'analysis')",10
"('warehouse', 'design')",10
"('etl', 'data')",10
"('relational', 'databases')",10
"('development', 'life')",10
"('life', 'cycle')",10
"('cloud', 'computing')",10
"('change', 'management')",10
"('warehousing', 'data')",9
"('analytics', 'business')",9
"('learning', 'artificial')",9
"('visualization', 'business')",9
"('mining', 'data')",9
"('data', 'modelling')",9
"('business', 'analysis')",8
"('skills', 'data')",8
"('warehouse', 'data')",8
"('bi', 'tool')",8
"('etl', 'business')",8
"('extract', 'transform')",8
"('reporting', 'tools')",8
"('data', 'business')",8
"('recommendations', 'data')",8
"('database', 'data')",8
"('liberal', 'arts')",8
"('arts', 'communication')",8
"('visualisation', 'data')",7
"('data', 'visualizations')",7
"('databases', 'data')",7
"('business', 'analytics')",7
"('advanced', 'analytics')",7
"('analytics', 'machine')",7
"('programming', 'data')",7
"('modeling', 'business')",7
"('system', 'development')",7
"('gap', 'analysis')",7
"('dashboards', 'reports')",7
"('data', 'processing')",7
"('predictive', 'analytics')",7
"('dashboards', 'data')",7
"('business', 'analyst')",7
"('data', 'science')",6
"('data', 'data')",6
"('insights', 'data')",6
"('intelligence', 'reporting')",6
"('deep', 'learning')",6
"('intelligence', 'project')",6
"('data', 'interpretation')",6
"('development', 'project')",6
"('warehouse', 'business')",6
"('digital', 'transformation')",6
"('analysis', 'reporting')",6
"('analysis', 'root')",6
"('business', 'insights')",6
"('modelling', 'data')",6
"('models', 'data')",6
"('configuration', 'management')",6
"('collection', 'data')",6
"('bi', 'tools')",6
"('visualisations', 'data')",6
"('facilitates', 'selection')",6
"('selection', 'contract')",6
"('contract', 'change')",6
"('management', 'vendorsupplier')",6
