bigrams,count
"('data', 'analysis')",109
"('analysis', 'data')",86
"('data', 'visualization')",71
"('data', 'analytics')",67
"('machine', 'learning')",51
"('data', 'mining')",49
"('business', 'intelligence')",45
"('visualization', 'data')",35
"('data', 'collection')",31
"('project', 'management')",26
"('big', 'data')",25
"('analytics', 'data')",24
"('data', 'warehouse')",24
"('data', 'management')",23
"('relational', 'databases')",22
"('databases', 'data')",22
"('statistical', 'analysis')",21
"('management', 'data')",20
"('data', 'modeling')",20
"('dashboards', 'data')",20
"('data', 'models')",19
"('business', 'analysis')",18
"('learning', 'data')",17
"('life', 'cycle')",17
"('visualisation', 'data')",17
"('data', 'visualisation')",16
"('mining', 'data')",15
"('software', 'development')",15
"('data', 'modelling')",15
"('development', 'data')",14
"('data', 'mapping')",14
"('modeling', 'data')",14
"('data', 'processing')",14
"('analytics', 'business')",14
"('analysis', 'business')",13
"('processing', 'data')",13
"('development', 'life')",12
"('statistical', 'modelling')",12
"('modelling', 'data')",12
"('data', 'cleansing')",11
"('report', 'writing')",11
"('data', 'analyst')",11
"('quantitative', 'analysis')",11
"('data', 'extraction')",11
"('data', 'warehousing')",11
"('analyst', 'data')",10
"('predictive', 'modeling')",10
"('reporting', 'data')",10
"('analysis', 'machine')",10
"('business', 'development')",10
"('data', 'engineering')",10
"('root', 'cause')",10
"('data', 'data')",10
"('market', 'research')",10
"('statistical', 'techniques')",9
"('bi', 'tools')",9
"('programming', 'language')",9
"('intelligence', 'data')",9
"('data', 'manipulation')",9
"('communication', 'skills')",9
"('data', 'integration')",9
"('cleansing', 'data')",9
"('systems', 'data')",8
"('maintain', 'databases')",8
"('writing', 'data')",8
"('data', 'validation')",8
"('models', 'algorithms')",8
"('insights', 'data')",8
"('data', 'visualizations')",8
"('analysis', 'statistical')",8
"('skills', 'data')",8
"('reports', 'data')",8
"('analysis', 'reporting')",7
"('data', 'profiling')",7
"('develop', 'custom')",7
"('business', 'analytics')",7
"('models', 'data')",7
"('data', 'transformation')",7
"('design', 'data')",7
"('visualization', 'dashboards')",7
"('automated', 'data')",7
"('data', 'insights')",7
"('risk', 'management')",7
"('tools', 'data')",7
"('cycle', 'sdlc')",7
"('bi', 'tool')",7
"('implement', 'databases')",6
"('collection', 'systems')",6
"('management', 'business')",6
"('custom', 'data')",6
"('data', 'acquisition')",6
"('analysis', 'big')",6
"('visualization', 'business')",6
"('tool', 'data')",6
"('product', 'analysis')",6
"('engineering', 'data')",6
"('modelling', 'machine')",6
"('gap', 'analysis')",6
"('data', 'exploration')",6
"('data', 'wrangling')",6
