bigrams,count
"('big', 'data')",83
"('machine', 'learning')",54
"('data', 'warehouse')",53
"('software', 'development')",34
"('data', 'processing')",34
"('data', 'analysis')",32
"('data', 'engineering')",31
"('data', 'warehousing')",27
"('data', 'mining')",27
"('data', 'data')",26
"('data', 'pipelines')",26
"('warehouse', 'data')",24
"('engineering', 'data')",23
"('programming', 'language')",21
"('processing', 'data')",19
"('project', 'management')",18
"('data', 'analytics')",18
"('analysis', 'data')",17
"('data', 'management')",17
"('artificial', 'intelligence')",17
"('etl', 'data')",17
"('management', 'data')",16
"('business', 'intelligence')",16
"('data', 'pipeline')",15
"('data', 'ingestion')",15
"('data', 'modeling')",14
"('root', 'cause')",13
"('data', 'modelling')",13
"('intelligence', 'data')",13
"('software', 'engineering')",13
"('programming', 'data')",12
"('data', 'visualization')",12
"('data', 'structures')",11
"('warehousing', 'data')",11
"('data', 'collection')",10
"('modelling', 'data')",10
"('data', 'infrastructure')",10
"('visualization', 'data')",10
"('relational', 'databases')",10
"('data', 'integration')",10
"('automated', 'testing')",9
"('analysis', 'bi')",9
"('data', 'transformation')",9
"('transformation', 'data')",9
"('deep', 'learning')",9
"('pipelines', 'data')",9
"('data', 'models')",9
"('statistical', 'analysis')",8
"('bi', 'reporting')",8
"('models', 'data')",8
"('mechanical', 'engineering')",8
"('cause', 'analysis')",8
"('data', 'visualisation')",8
"('scripting', 'data')",7
"('cleansing', 'data')",7
"('tool', 'programming')",7
"('etl', 'elt')",7
"('development', 'life')",7
"('life', 'cycle')",7
"('database', 'design')",7
"('ingestion', 'data')",7
"('data', 'cleansing')",7
"('mining', 'data')",7
"('data', 'lake')",7
"('data', 'governance')",7
"('governance', 'data')",7
"('communication', 'skills')",7
"('data', 'big')",7
"('supply', 'chain')",6
"('plc', 'programming')",6
"('programming', 'programming')",6
"('analysis', 'tool')",6
"('manual', 'testing')",6
"('design', 'data')",6
"('development', 'data')",6
"('tool', 'data')",6
"('electrical', 'engineering')",6
"('automating', 'manual')",6
"('manual', 'processes')",6
"('modeling', 'data')",6
"('algorithms', 'data')",6
"('pipelines', 'architectures')",6
"('architectures', 'data')",6
"('stream', 'processing')",6
"('programming', 'scripting')",6
"('systems', 'data')",6
"('analysis', 'software')",6
"('analytics', 'data')",6
"('model', 'data')",6
"('failure', 'analysis')",6
"('software', 'design')",6
"('change', 'management')",5
"('pipeline', 'data')",5
"('programming', 'etl')",5
"('management', 'integration')",5
"('project', 'implementation')",5
"('analysis', 'problem')",5
"('natural', 'language')",5
"('language', 'processing')",5
"('data', 'warehouses')",5
