bigrams,count
"('machine', 'learning')",875
"('data', 'mining')",302
"('big', 'data')",302
"('data', 'analysis')",294
"('data', 'visualization')",232
"('data', 'analytics')",194
"('deep', 'learning')",167
"('statistical', 'analysis')",147
"('business', 'intelligence')",147
"('analysis', 'data')",143
"('data', 'science')",132
"('learning', 'algorithms')",130
"('learning', 'data')",121
"('natural', 'language')",111
"('artificial', 'intelligence')",107
"('learning', 'models')",101
"('analytics', 'data')",101
"('language', 'processing')",100
"('data', 'warehouse')",100
"('neural', 'networks')",98
"('data', 'modelling')",96
"('mining', 'data')",96
"('data', 'collection')",94
"('visualization', 'data')",93
"('data', 'management')",90
"('models', 'data')",88
"('modelling', 'data')",88
"('data', 'processing')",83
"('data', 'modeling')",81
"('data', 'models')",80
"('data', 'engineering')",80
"('predictive', 'models')",75
"('software', 'development')",75
"('intelligence', 'data')",74
"('feature', 'engineering')",73
"('data', 'pipelines')",72
"('predictive', 'modeling')",71
"('management', 'data')",70
"('statistical', 'modelling')",68
"('learning', 'machine')",67
"('data', 'data')",65
"('computer', 'vision')",64
"('relational', 'databases')",61
"('time', 'series')",59
"('model', 'development')",57
"('etl', 'data')",55
"('databases', 'data')",55
"('decision', 'trees')",54
"('data', 'warehousing')",54
"('algorithms', 'data')",53
"('modeling', 'data')",53
"('learning', 'statistical')",52
"('processing', 'data')",52
"('text', 'mining')",51
"('analysis', 'machine')",47
"('statistical', 'models')",47
"('advanced', 'analytics')",46
"('predictive', 'analytics')",46
"('programming', 'data')",45
"('anomaly', 'detection')",45
"('programming', 'language')",44
"('learning', 'artificial')",43
"('programming', 'skills')",43
"('decision', 'tree')",42
"('clustering', 'decision')",42
"('statistical', 'modeling')",42
"('development', 'data')",42
"('engineering', 'data')",41
"('statistics', 'data')",40
"('skills', 'data')",40
"('predictive', 'modelling')",39
"('software', 'engineering')",38
"('data', 'pipeline')",38
"('data', 'transformation')",37
"('statistical', 'tests')",37
"('data', 'cleansing')",37
"('data', 'warehouses')",37
"('communication', 'skills')",37
"('data', 'visualisation')",37
"('analytics', 'machine')",36
"('random', 'forest')",35
"('learning', 'ai')",35
"('pattern', 'recognition')",33
"('analysis', 'statistical')",33
"('pipelines', 'data')",33
"('data', 'infrastructure')",33
"('data', 'integration')",33
"('regression', 'statistical')",32
"('mining', 'statistical')",32
"('mining', 'machine')",32
"('ai', 'machine')",31
"('analysis', 'predictive')",31
"('models', 'machine')",31
"('data', 'manipulation')",31
"('warehouse', 'data')",31
"('cleansing', 'data')",30
"('data', 'exploration')",30
"('statistical', 'techniques')",29
"('data', 'sets')",29
"('hypothesis', 'testing')",29
