bigrams,count
"('machine', 'learning')",153
"('business', 'intelligence')",101
"('big', 'data')",90
"('data', 'visualization')",75
"('data', 'analysis')",66
"('data', 'mining')",65
"('data', 'warehouse')",61
"('analysis', 'data')",60
"('data', 'analytics')",51
"('programming', 'language')",39
"('software', 'development')",38
"('data', 'management')",37
"('statistical', 'analysis')",33
"('data', 'warehousing')",33
"('analytics', 'data')",30
"('intelligence', 'data')",30
"('project', 'management')",29
"('mining', 'data')",28
"('etl', 'data')",27
"('data', 'science')",27
"('data', 'data')",27
"('data', 'collection')",25
"('data', 'pipelines')",24
"('data', 'engineering')",23
"('visualization', 'data')",23
"('modelling', 'data')",23
"('life', 'cycle')",23
"('management', 'data')",22
"('data', 'infrastructure')",21
"('business', 'process')",21
"('neural', 'networks')",20
"('data', 'modeling')",20
"('data', 'processing')",19
"('warehouse', 'data')",19
"('data', 'models')",19
"('development', 'life')",19
"('management', 'business')",17
"('learning', 'data')",16
"('data', 'structures')",16
"('extract', 'transform')",16
"('development', 'data')",16
"('relational', 'databases')",16
"('communication', 'skills')",16
"('modeling', 'data')",15
"('data', 'modelling')",15
"('database', 'data')",15
"('business', 'development')",15
"('warehousing', 'data')",15
"('learning', 'models')",14
"('learning', 'algorithms')",14
"('learning', 'artificial')",14
"('artificial', 'intelligence')",14
"('root', 'cause')",14
"('analysis', 'business')",14
"('deep', 'learning')",13
"('data', 'visualizations')",13
"('data', 'sets')",13
"('data', 'wrangling')",13
"('intelligence', 'bi')",13
"('automated', 'dashboards')",13
"('data', 'transformation')",13
"('etl', 'extract')",13
"('software', 'engineering')",13
"('model', 'development')",12
"('bi', 'tools')",12
"('models', 'machine')",12
"('wrangling', 'data')",12
"('dashboards', 'reports')",12
"('reports', 'alerts')",12
"('alerts', 'simulation')",12
"('simulation', 'tools')",12
"('transformation', 'data')",12
"('clustering', 'decision')",12
"('decision', 'tree')",12
"('regression', 'statistical')",12
"('market', 'research')",12
"('quantitative', 'analysis')",12
"('cause', 'analysis')",12
"('programming', 'data')",12
"('data', 'integration')",12
"('cycle', 'sdlc')",12
"('system', 'development')",12
"('data', 'manipulation')",11
"('tools', 'data')",11
"('databases', 'data')",11
"('language', 'data')",11
"('data', 'platform')",11
"('models', 'data')",11
"('software', 'design')",11
"('data', 'model')",11
"('market', 'intelligence')",11
"('ai', 'machine')",10
"('programming', 'skills')",10
"('business', 'unit')",10
"('predictive', 'modeling')",10
"('engineering', 'data')",10
"('pipelines', 'architectures')",10
"('statistical', 'modeling')",10
"('organizational', 'skills')",10
"('database', 'design')",10
