bigrams,count
"('machine', 'learning')",336
"('data', 'analysis')",152
"('big', 'data')",152
"('data', 'mining')",132
"('data', 'visualization')",111
"('business', 'intelligence')",97
"('analysis', 'data')",92
"('data', 'warehouse')",83
"('deep', 'learning')",75
"('data', 'analytics')",71
"('software', 'development')",61
"('data', 'modeling')",55
"('statistical', 'analysis')",52
"('learning', 'data')",52
"('visualization', 'data')",51
"('data', 'engineering')",48
"('data', 'warehousing')",48
"('learning', 'models')",46
"('artificial', 'intelligence')",44
"('mining', 'data')",44
"('data', 'models')",43
"('data', 'modelling')",43
"('models', 'data')",42
"('data', 'management')",42
"('data', 'science')",41
"('data', 'processing')",41
"('data', 'collection')",41
"('analytics', 'data')",39
"('management', 'data')",39
"('natural', 'language')",39
"('relational', 'databases')",38
"('learning', 'algorithms')",36
"('programming', 'language')",36
"('data', 'pipeline')",35
"('data', 'pipelines')",35
"('modelling', 'data')",33
"('programming', 'data')",33
"('data', 'data')",33
"('intelligence', 'data')",32
"('project', 'management')",32
"('etl', 'data')",30
"('computer', 'vision')",29
"('modeling', 'data')",28
"('language', 'processing')",28
"('predictive', 'models')",27
"('learning', 'machine')",27
"('statistical', 'modelling')",26
"('databases', 'data')",26
"('processing', 'data')",26
"('life', 'cycle')",24
"('warehouse', 'data')",24
"('communication', 'skills')",24
"('algorithms', 'data')",22
"('neural', 'networks')",22
"('data', 'transformation')",21
"('development', 'life')",21
"('engineering', 'data')",20
"('statistical', 'modeling')",19
"('skills', 'data')",19
"('data', 'integration')",19
"('development', 'data')",19
"('predictive', 'modeling')",18
"('data', 'visualisation')",18
"('warehousing', 'data')",18
"('statistics', 'data')",17
"('data', 'cleansing')",17
"('cleansing', 'data')",17
"('data', 'warehouses')",17
"('business', 'analysis')",17
"('models', 'machine')",17
"('pipelines', 'data')",17
"('clustering', 'decision')",16
"('learning', 'artificial')",16
"('predictive', 'modelling')",16
"('programming', 'skills')",16
"('data', 'extraction')",16
"('data', 'mapping')",16
"('software', 'engineering')",16
"('predictive', 'analytics')",15
"('analysis', 'machine')",15
"('decision', 'tree')",15
"('analytics', 'machine')",15
"('reports', 'data')",15
"('feature', 'engineering')",15
"('data', 'manipulation')",15
"('bi', 'tools')",15
"('data', 'structures')",15
"('model', 'development')",14
"('root', 'cause')",14
"('analysis', 'statistical')",14
"('time', 'series')",14
"('database', 'design')",14
"('visualisation', 'data')",14
"('extract', 'transform')",14
"('ai', 'machine')",13
"('analysis', 'predictive')",13
"('statistical', 'models')",13
"('dashboards', 'data')",13
"('analysis', 'business')",13
"('business', 'analytics')",13
