bigrams,count
"('machine', 'learning')",182
"('data', 'analysis')",151
"('business', 'intelligence')",114
"('data', 'mining')",106
"('data', 'visualization')",94
"('analysis', 'data')",78
"('data', 'analytics')",78
"('big', 'data')",76
"('data', 'warehouse')",62
"('statistical', 'analysis')",55
"('data', 'collection')",52
"('software', 'development')",51
"('predictive', 'modeling')",48
"('relational', 'databases')",47
"('data', 'management')",46
"('data', 'models')",45
"('intelligence', 'data')",43
"('learning', 'algorithms')",42
"('project', 'management')",42
"('predictive', 'models')",39
"('analytics', 'data')",39
"('databases', 'data')",38
"('neural', 'networks')",37
"('data', 'modeling')",37
"('management', 'data')",34
"('data', 'science')",33
"('mining', 'data')",33
"('modeling', 'data')",33
"('visualization', 'data')",31
"('report', 'writing')",30
"('models', 'data')",29
"('data', 'engineering')",29
"('natural', 'language')",28
"('data', 'warehousing')",27
"('modelling', 'data')",26
"('data', 'cleansing')",26
"('etl', 'data')",24
"('advanced', 'analytics')",24
"('artificial', 'intelligence')",23
"('data', 'data')",23
"('development', 'data')",23
"('data', 'modelling')",22
"('decision', 'trees')",22
"('data', 'warehouses')",22
"('decision', 'tree')",21
"('learning', 'artificial')",21
"('learning', 'statistical')",21
"('cleansing', 'data')",21
"('clustering', 'decision')",20
"('learning', 'data')",20
"('data', 'analyst')",20
"('statistical', 'tests')",19
"('bi', 'tools')",19
"('statistical', 'modeling')",19
"('language', 'processing')",19
"('data', 'validation')",19
"('business', 'analysis')",19
"('programming', 'language')",19
"('supply', 'chain')",19
"('reporting', 'data')",19
"('database', 'design')",18
"('skills', 'data')",18
"('analyst', 'data')",18
"('learning', 'models')",17
"('statistical', 'techniques')",17
"('analysis', 'machine')",17
"('analysis', 'predictive')",17
"('database', 'management')",17
"('organizational', 'skills')",17
"('communication', 'skills')",17
"('statistics', 'data')",16
"('tree', 'learning')",16
"('artificial', 'neural')",16
"('statistical', 'models')",16
"('data', 'processing')",16
"('maintain', 'databases')",16
"('warehouse', 'data')",16
"('algorithms', 'data')",15
"('data', 'transformation')",15
"('statistical', 'modelling')",15
"('predictive', 'analytics')",15
"('data', 'architectures')",15
"('analysis', 'modeling')",15
"('processing', 'data')",15
"('root', 'cause')",15
"('development', 'life')",15
"('life', 'cycle')",15
"('etl', 'elt')",15
"('relational', 'database')",14
"('random', 'forests')",14
"('risk', 'analysis')",14
"('algorithms', 'statistics')",14
"('simulation', 'scenario')",14
"('scenario', 'analysis')",14
"('data', 'sets')",14
"('business', 'development')",14
"('analytics', 'statistical')",14
"('data', 'acquisition')",14
"('business', 'analytics')",14
"('data', 'integration')",14
