bigrams,count
"('machine', 'learning')",294
"('data', 'analysis')",166
"('big', 'data')",126
"('data', 'mining')",112
"('business', 'intelligence')",97
"('data', 'analytics')",90
"('data', 'visualization')",86
"('analysis', 'data')",78
"('statistical', 'analysis')",66
"('data', 'management')",54
"('deep', 'learning')",52
"('data', 'science')",50
"('learning', 'algorithms')",49
"('natural', 'language')",49
"('learning', 'data')",49
"('data', 'modelling')",47
"('data', 'collection')",46
"('data', 'processing')",46
"('language', 'processing')",45
"('modelling', 'data')",43
"('data', 'warehouse')",42
"('data', 'models')",40
"('intelligence', 'data')",37
"('software', 'development')",37
"('analytics', 'data')",36
"('project', 'management')",36
"('neural', 'networks')",34
"('databases', 'data')",33
"('relational', 'databases')",33
"('data', 'data')",33
"('visualization', 'data')",32
"('data', 'warehousing')",32
"('data', 'pipelines')",32
"('predictive', 'modeling')",31
"('feature', 'engineering')",31
"('mining', 'data')",30
"('computer', 'vision')",30
"('models', 'data')",29
"('predictive', 'models')",28
"('statistical', 'modelling')",28
"('management', 'data')",28
"('artificial', 'intelligence')",28
"('data', 'modeling')",27
"('processing', 'data')",26
"('data', 'engineering')",26
"('modeling', 'data')",25
"('development', 'data')",25
"('algorithms', 'data')",24
"('decision', 'trees')",24
"('data', 'visualisation')",24
"('statistical', 'models')",23
"('analysis', 'machine')",22
"('learning', 'statistical')",22
"('data', 'cleansing')",22
"('skills', 'data')",22
"('learning', 'models')",21
"('anomaly', 'detection')",21
"('communication', 'skills')",21
"('etl', 'data')",21
"('bi', 'tools')",20
"('dashboards', 'data')",20
"('database', 'design')",20
"('cleansing', 'data')",20
"('data', 'integration')",20
"('model', 'development')",19
"('predictive', 'analytics')",19
"('engineering', 'data')",19
"('learning', 'machine')",18
"('analysis', 'predictive')",18
"('data', 'transformation')",18
"('statistical', 'modeling')",17
"('predictive', 'modelling')",17
"('analysis', 'statistical')",17
"('statistical', 'techniques')",17
"('transformation', 'data')",17
"('pipelines', 'data')",17
"('advanced', 'analytics')",16
"('analytics', 'machine')",16
"('statistical', 'tests')",16
"('hypothesis', 'testing')",16
"('report', 'writing')",16
"('data', 'analyst')",16
"('programming', 'language')",16
"('pattern', 'recognition')",16
"('learning', 'artificial')",15
"('mining', 'machine')",15
"('statistics', 'data')",15
"('time', 'series')",15
"('models', 'algorithms')",15
"('data', 'extraction')",15
"('data', 'exploration')",15
"('processing', 'cleansing')",14
"('statistical', 'testing')",14
"('data', 'validation')",14
"('modelling', 'machine')",13
"('regression', 'statistical')",13
"('text', 'mining')",13
"('modeling', 'machine')",13
"('data', 'statistical')",13
"('programming', 'data')",13
