bigrams,count
"('machine', 'learning')",678
"('big', 'data')",284
"('data', 'analysis')",272
"('data', 'mining')",235
"('data', 'visualization')",176
"('data', 'analytics')",174
"('deep', 'learning')",162
"('analysis', 'data')",137
"('business', 'intelligence')",136
"('artificial', 'intelligence')",120
"('learning', 'data')",110
"('data', 'processing')",103
"('statistical', 'analysis')",100
"('data', 'warehouse')",99
"('data', 'modelling')",96
"('natural', 'language')",91
"('visualization', 'data')",89
"('language', 'processing')",87
"('learning', 'algorithms')",83
"('data', 'science')",83
"('learning', 'models')",82
"('analytics', 'data')",81
"('data', 'modeling')",72
"('data', 'engineering')",72
"('feature', 'engineering')",70
"('data', 'pipelines')",70
"('models', 'data')",69
"('data', 'collection')",69
"('data', 'management')",68
"('modelling', 'data')",67
"('processing', 'data')",66
"('mining', 'data')",66
"('management', 'data')",66
"('computer', 'vision')",64
"('statistical', 'modelling')",63
"('data', 'models')",59
"('intelligence', 'data')",58
"('data', 'visualisation')",58
"('data', 'data')",57
"('learning', 'machine')",54
"('time', 'series')",53
"('neural', 'networks')",51
"('engineering', 'data')",50
"('data', 'warehousing')",49
"('software', 'development')",47
"('model', 'development')",44
"('programming', 'data')",43
"('anomaly', 'detection')",43
"('data', 'pipeline')",43
"('predictive', 'models')",42
"('dashboards', 'data')",42
"('project', 'management')",42
"('communication', 'skills')",40
"('relational', 'databases')",40
"('databases', 'data')",40
"('algorithms', 'data')",39
"('analysis', 'machine')",38
"('text', 'mining')",37
"('modeling', 'data')",37
"('predictive', 'analytics')",36
"('etl', 'data')",36
"('software', 'engineering')",35
"('visualisation', 'data')",35
"('development', 'data')",34
"('programming', 'skills')",33
"('data', 'ingestion')",33
"('learning', 'ai')",32
"('learning', 'deep')",32
"('skills', 'data')",32
"('warehouse', 'data')",32
"('pipelines', 'data')",31
"('modelling', 'machine')",30
"('predictive', 'modelling')",30
"('advanced', 'analytics')",30
"('data', 'extraction')",30
"('data', 'integration')",30
"('mining', 'statistical')",29
"('data', 'transformation')",29
"('data', 'exploration')",29
"('statistical', 'models')",28
"('data', 'profiling')",28
"('decision', 'trees')",28
"('mining', 'machine')",28
"('pattern', 'recognition')",27
"('analytics', 'machine')",27
"('predictive', 'modeling')",26
"('data', 'cleansing')",25
"('analysis', 'statistical')",25
"('ai', 'machine')",25
"('analytics', 'business')",24
"('customer', 'segmentation')",23
"('data', 'manipulation')",23
"('data', 'infrastructure')",23
"('business', 'analytics')",23
"('learning', 'statistical')",22
"('learning', 'big')",22
"('statistics', 'data')",22
"('statistical', 'modeling')",22
"('random', 'forest')",22
"('intelligence', 'ai')",22
