Word,Count
data,114
analysis,38
management,27
business,25
visualization,23
learning,22
intelligence,21
programming,19
machine,19
analytics,17
statistical,16
development,15
models,12
warehouse,11
language,10
modeling,10
database,10
engineering,9
design,9
etl,9
relational,8
collection,7
software,7
skills,7
statistics,7
supply,6
chain,6
reports,6
pipelines,6
modelling,6
market,6
report,5
techniques,5
regression,5
time,5
develop,5
analyze,5
dashboards,5
predictive,5
mining,5
bi,5
project,5
research,5
standard,5
processing,5
classification,5
elt,5
writing,4
series,4
competitive,4
reporting,4
queries,4
pipeline,4
patterns,4
marketing,4
artificial,4
big,4
visual,4
ai,4
workflow,3
scripting,3
sigma,3
insights,3
decision,3
tree,3
wrangling,3
databases,3
visualizations,3
risk,3
testing,3
automate,3
photoshop,3
word,3
tools,3
deploy,3
clustering,3
experiments,3
forecasting,3
system,3
integration,3
financial,2
six,2
provide,2
boosting,2
deep,2
automation,2
interpret,2
roles,2
tool,2
communication,2
visualisation,2
method,2
validation,2
process,2
product,2
unit,2
anova,2
cleansing,2
sdlc,2
lean,2
