Word,Count
data,745
analysis,286
business,126
management,113
visualization,101
analytics,100
programming,61
statistical,60
learning,59
development,57
mining,55
machine,52
reports,52
models,50
intelligence,50
dashboards,46
reporting,45
databases,44
modeling,43
modelling,43
project,38
etl,38
database,35
processing,34
bi,33
collection,32
predictive,32
design,31
relational,29
testing,29
skills,28
visualisation,28
statistics,26
warehouse,26
report,25
big,25
software,23
analyst,22
cleansing,21
develop,21
engineering,21
automation,21
tools,20
research,19
life,19
planning,19
language,18
validation,18
mapping,18
sdlc,18
tool,18
systems,17
cycle,17
algorithms,17
process,17
insights,17
financial,16
regression,16
visualizations,16
,16
techniques,13
quantitative,13
integration,13
automated,13
market,13
system,13
maintain,12
risk,12
ai,12
forecasting,12
extraction,12
warehousing,12
problem,12
writing,11
custom,11
transformation,11
customer,11
marketing,10
coding,10
model,10
manipulation,10
root,10
cause,10
pipelines,10
analyze,10
maintenance,9
acquisition,9
scripting,9
analytical,9
information,9
query,9
experiments,9
communication,9
wrangling,9
change,9
clustering,9
finance,8
patterns,8
queries,8
implementation,8
