Word,Count
data,1439
analysis,421
learning,398
machine,300
statistical,221
analytics,191
management,161
business,155
models,152
processing,148
intelligence,140
modelling,138
big,134
mining,131
visualization,129
programming,127
algorithms,123
modeling,118
development,115
predictive,105
database,93
skills,91
etl,84
language,84
engineering,84
regression,83
databases,74
statistics,73
bi,71
reports,70
testing,63
reporting,59
project,58
design,57
software,57
cleansing,55
deep,54
science,52
natural,51
pipelines,51
dashboards,49
collection,46
warehouse,44
decision,43
feature,42
transformation,41
model,41
tools,40
neural,40
ai,40
relational,39
networks,38
integration,38
artificial,37
detection,37
automation,36
visualisation,36
validation,35
forecasting,33
warehousing,33
systems,32
trees,31
risk,30
techniques,30
tool,30
computer,30
vision,30
advanced,29
analyst,29
clustering,28
scripting,28
ml,27
problem,26
develop,26
pipeline,26
communication,25
infrastructure,25
,25
process,25
patterns,24
report,24
optimization,24
recognition,24
text,23
extraction,23
nlp,23
querying,21
anomaly,21
insights,21
classification,21
segmentation,20
automated,19
writing,19
quantitative,19
pattern,19
datasets,18
random,18
crm,18
mapping,18
customer,17
