trigrams,count
"('machine', 'learning', 'algorithms')",122
"('machine', 'learning', 'data')",121
"('data', 'mining', 'data')",114
"('data', 'visualization', 'data')",113
"('business', 'intelligence', 'data')",104
"('machine', 'learning', 'models')",98
"('natural', 'language', 'processing')",97
"('data', 'analysis', 'data')",96
"('big', 'data', 'data')",78
"('data', 'analytics', 'data')",68
"('learning', 'machine', 'learning')",67
"('data', 'warehouse', 'data')",67
"('analysis', 'machine', 'learning')",59
"('machine', 'learning', 'machine')",47
"('analytics', 'machine', 'learning')",47
"('data', 'engineering', 'data')",46
"('data', 'modelling', 'data')",45
"('development', 'life', 'cycle')",44
"('analysis', 'data', 'mining')",43
"('data', 'processing', 'data')",43
"('analysis', 'data', 'analysis')",42
"('ai', 'machine', 'learning')",40
"('machine', 'learning', 'statistical')",40
"('data', 'warehousing', 'data')",40
"('data', 'management', 'data')",39
"('statistical', 'analysis', 'data')",39
"('learning', 'data', 'mining')",39
"('data', 'mining', 'machine')",39
"('mining', 'machine', 'learning')",39
"('machine', 'learning', 'ai')",38
"('data', 'modeling', 'data')",37
"('relational', 'databases', 'data')",37
"('data', 'mining', 'statistical')",36
"('root', 'cause', 'analysis')",35
"('big', 'data', 'analytics')",34
"('modelling', 'machine', 'learning')",33
"('business', 'intelligence', 'bi')",33
"('models', 'machine', 'learning')",33
"('artificial', 'neural', 'networks')",32
"('programming', 'machine', 'learning')",32
"('data', 'collection', 'data')",32
"('data', 'visualisation', 'data')",32
"('data', 'transformation', 'data')",32
"('learning', 'deep', 'learning')",32
"('data', 'pipelines', 'data')",32
"('data', 'analysis', 'machine')",31
"('analytics', 'business', 'intelligence')",31
"('learning', 'artificial', 'neural')",30
"('data', 'cleansing', 'data')",30
"('machine', 'learning', 'deep')",30
"('regression', 'statistical', 'tests')",29
"('data', 'machine', 'learning')",28
"('intelligence', 'machine', 'learning')",28
"('clustering', 'decision', 'tree')",28
"('decision', 'tree', 'learning')",28
"('tree', 'learning', 'artificial')",28
"('software', 'development', 'life')",28
"('visualization', 'machine', 'learning')",28
"('learning', 'models', 'data')",27
"('algorithms', 'data', 'visualization')",27
"('modeling', 'machine', 'learning')",27
"('analysis', 'data', 'visualization')",27
"('learning', 'big', 'data')",27
"('data', 'analytics', 'machine')",26
"('predictive', 'modeling', 'data')",26
"('big', 'data', 'machine')",25
"('machine', 'learning', 'clustering')",25
"('models', 'data', 'mining')",25
"('project', 'management', 'data')",25
"('data', 'visualization', 'business')",25
"('artificial', 'intelligence', 'machine')",24
"('neural', 'networks', 'regression')",24
"('networks', 'regression', 'statistical')",24
"('mining', 'statistical', 'analysis')",24
"('machine', 'learning', 'artificial')",24
"('learning', 'artificial', 'intelligence')",24
"('big', 'data', 'analysis')",24
"('learning', 'clustering', 'decision')",23
"('simulation', 'scenario', 'analysis')",23
"('algorithms', 'machine', 'learning')",23
"('databases', 'data', 'collection')",23
"('development', 'data', 'mining')",23
"('statistical', 'modelling', 'data')",22
"('exploratory', 'data', 'analysis')",22
"('artificial', 'intelligence', 'ai')",22
"('data', 'models', 'data')",22
"('data', 'science', 'machine')",21
"('science', 'machine', 'learning')",21
"('learning', 'algorithms', 'data')",21
"('data', 'science', 'algorithms')",21
"('learning', 'algorithms', 'statistics')",21
"('statistics', 'machine', 'learning')",21
"('data', 'warehouses', 'data')",21
"('interpret', 'trends', 'or')",21
"('trends', 'or', 'patterns')",21
"('data', 'models', 'algorithms')",21
"('data', 'wrangling', 'data')",21
"('machine', 'learning', 'big')",21
"('analytics', 'big', 'data')",21
"('business', 'intelligence', 'business')",21
