trigrams,count
"('business', 'intelligence', 'data')",34
"('business', 'intelligence', 'bi')",19
"('business', 'intelligence', 'business')",12
"('project', 'management', 'data')",11
"('root', 'cause', 'analysis')",10
"('data', 'warehouse', 'design')",10
"('development', 'life', 'cycle')",10
"('data', 'warehousing', 'data')",9
"('intelligence', 'business', 'intelligence')",9
"('management', 'business', 'intelligence')",9
"('analysis', 'data', 'analysis')",8
"('data', 'warehouse', 'data')",8
"('machine', 'learning', 'artificial')",8
"('learning', 'artificial', 'intelligence')",8
"('data', 'visualization', 'business')",8
"('analysis', 'business', 'intelligence')",8
"('liberal', 'arts', 'communication')",8
"('arts', 'communication', 'skills')",8
"('data', 'visualisation', 'data')",7
"('reporting', 'data', 'analysis')",7
"('analytics', 'business', 'intelligence')",7
"('analytics', 'machine', 'learning')",7
"('system', 'development', 'life')",7
"('visualization', 'business', 'intelligence')",7
"('data', 'mining', 'data')",7
"('intelligence', 'data', 'warehouse')",6
"('business', 'intelligence', 'reporting')",6
"('data', 'analytics', 'data')",6
"('etl', 'business', 'intelligence')",6
"('data', 'analysis', 'business')",6
"('data', 'warehouse', 'business')",6
"('data', 'analysis', 'data')",6
"('analysis', 'root', 'cause')",6
"('big', 'data', 'management')",6
"('data', 'collection', 'data')",6
"('artificial', 'intelligence', 'business')",6
"('facilitates', 'selection', 'contract')",6
"('selection', 'contract', 'change')",6
"('contract', 'change', 'management')",6
"('change', 'management', 'vendorsupplier')",6
"('management', 'vendorsupplier', 'budget')",6
"('vendorsupplier', 'budget', 'management')",6
"('data', 'modeling', 'data')",5
"('data', 'analytics', 'business')",5
"('reporting', 'business', 'intelligence')",5
"('development', 'project', 'management')",5
"('etl', 'extract', 'transform')",5
"('extract', 'transform', 'data')",5
"('warehouse', 'design', 'dimensional')",5
"('business', 'intelligence', 'tool')",5
"('management', 'project', 'management')",5
"('data', 'visualization', 'data')",5
"('insights', 'business', 'intelligence')",5
"('management', 'data', 'analysis')",5
"('data', 'business', 'intelligence')",5
"('intelligence', 'business', 'process')",5
"('automated', 'dashboards', 'reports')",5
"('dashboards', 'reports', 'alerts')",5
"('reports', 'alerts', 'simulation')",5
"('alerts', 'simulation', 'tools')",5
"('database', 'data', 'warehousing')",5
"('budget', 'management', 'business')",5
"('big', 'data', 'data')",4
"('data', 'warehouse', 'etl')",4
"('programming', 'data', 'visualization')",4
"('data', 'analytics', 'machine')",4
"('relational', 'databases', 'data')",4
"('modeling', 'business', 'intelligence')",4
"('intelligence', 'data', 'analytics')",4
"('big', 'data', 'artificial')",4
"('data', 'artificial', 'intelligence')",4
"('business', 'intelligence', 'project')",4
"('intelligence', 'project', 'management')",4
"('analysis', 'gap', 'analysis')",4
"('business', 'intelligence', 'development')",4
"('intelligence', 'development', 'project')",4
"('olap', 'etl', 'extract')",4
"('business', 'development', 'data')",4
"('intelligence', 'artificial', 'intelligence')",4
"('intelligence', 'business', 'analytics')",4
"('business', 'intelligence', 'analytics')",4
"('development', 'data', 'warehouse')",4
"('tool', 'etl', 'data')",4
"('data', 'models', 'data')",4
"('models', 'data', 'warehouse')",4
"('produce', 'datasets', 'system')",4
"('datasets', 'system', 'reporting')",4
"('system', 'reporting', 'tools')",4
"('reporting', 'tools', 'recommendations')",4
"('tools', 'recommendations', 'data')",4
"('recommendations', 'data', 'collection')",4
"('life', 'cycle', 'sdlc')",4
"('data', 'gathering', 'analysis')",4
"('gathering', 'analysis', 'project')",4
"('analysis', 'project', 'management')",4
"('data', 'analysis', 'strategic')",4
"('analysis', 'strategic', 'recommendations')",4
"('intelligence', 'bi', 'software')",4
"('bi', 'software', 'programming')",4
"('warehouse', 'business', 'intelligence')",4
