trigrams,count
"('data', 'visualization', 'data')",4
"('data', 'warehouse', 'data')",4
"('supply', 'chain', 'management')",4
"('data', 'warehouse', 'dashboards')",4
"('standard', 'data', 'visualization')",4
"('relational', 'database', 'management')",4
"('data', 'collection', 'data')",3
"('data', 'analytics', 'statistical')",3
"('machine', 'learning', 'data')",3
"('regression', 'decision', 'tree')",3
"('programming', 'language', 'machine')",3
"('language', 'machine', 'learning')",3
"('data', 'analysis', 'visualization')",3
"('warehouse', 'dashboards', 'deploy')",3
"('dashboards', 'deploy', 'machine')",3
"('deploy', 'machine', 'learning')",3
"('machine', 'learning', 'visual')",3
"('learning', 'visual', 'analysis')",3
"('queries', 'report', 'writing')",3
"('collection', 'data', 'analytics')",2
"('analytics', 'statistical', 'programming')",2
"('statistical', 'programming', 'machine')",2
"('programming', 'machine', 'learning')",2
"('learning', 'data', 'analytics')",2
"('data', 'analysis', 'statistics')",2
"('analysis', 'statistics', 'machine')",2
"('statistics', 'machine', 'learning')",2
"('machine', 'learning', 'regression')",2
"('learning', 'regression', 'decision')",2
"('decision', 'tree', 'time')",2
"('tree', 'time', 'series')",2
"('time', 'series', 'boosting')",2
"('series', 'boosting', 'deep')",2
"('boosting', 'deep', 'learning')",2
"('statistical', 'models', 'develop')",2
"('models', 'develop', 'pipelines')",2
"('develop', 'pipelines', 'automation')",2
"('pipelines', 'automation', 'data')",2
"('automation', 'data', 'wrangling')",2
"('data', 'wrangling', 'relational')",2
"('wrangling', 'relational', 'databases')",2
"('reporting', 'data', 'analysis')",2
"('statistical', 'modelling', 'visualisation')",2
"('analysis', 'project', 'management')",2
"('data', 'analytics', 'data')",2
"('market', 'research', 'data')",2
"('data', 'pipelines', 'etl')",2
"('pipelines', 'etl', 'data')",2
"('etl', 'data', 'streaming')",2
"('data', 'streaming', 'business')",2
"('streaming', 'business', 'intelligence')",2
"('business', 'intelligence', 'data')",2
"('intelligence', 'data', 'pipeline')",2
"('data', 'pipeline', 'data')",2
"('pipeline', 'data', 'platform')",2
"('data', 'platform', 'data')",2
"('platform', 'data', 'warehouse')",2
"('warehouse', 'data', 'engineering')",2
"('data', 'engineering', 'extract')",2
"('engineering', 'extract', 'transform')",2
"('extract', 'transform', 'business')",2
"('transform', 'business', 'intelligence')",2
"('business', 'intelligence', 'programming')",2
"('intelligence', 'programming', 'language')",2
"('bi', 'visualization', 'data')",2
"('visualization', 'data', 'analysis')",2
"('analytics', 'machine', 'learning')",2
"('chain', 'management', 'data')",2
"('models', 'market', 'research')",2
"('visual', 'analysis', 'standard')",2
"('analysis', 'standard', 'data')",2
"('data', 'visualization', 'relational')",2
"('visualization', 'relational', 'database')",2
"('experimental', 'design', 'data')",2
"('artificial', 'intelligence', 'ai')",2
"('data', 'visualization', 'statistical')",2
"('data', 'analysis', 'experiments')",2
"('data', 'collection', 'analyze')",2
"('collection', 'analyze', 'statistical')",2
"('statistical', 'skills', 'data')",2
"('skills', 'data', 'analysis')",2
"('visual', 'analysis', 'etl')",2
"('analysis', 'etl', 'elt')",2
"('etl', 'elt', 'pipelines')",2
"('elt', 'pipelines', 'relational')",2
"('pipelines', 'relational', 'database')",2
"('database', 'management', 'standard')",2
"('management', 'standard', 'data')",2
"('data', 'visualization', 'machine')",2
"('visualization', 'machine', 'learning')",2
"('machine', 'learning', 'time')",2
"('learning', 'time', 'series')",2
"('time', 'series', 'forecasting')",2
"('series', 'forecasting', 'classification')",2
"('forecasting', 'classification', 'workflow')",2
"('classification', 'workflow', 'management')",2
"('workflow', 'management', 'data')",2
"('statistical', 'analysis', 'data')",2
"('business', 'intelligence', 'database')",2
"('predictive', 'modeling', 'machinelearning')",2
