trigrams,count
"('data', 'analysis', 'data')",35
"('data', 'visualization', 'data')",30
"('machine', 'learning', 'data')",17
"('data', 'mining', 'data')",15
"('data', 'analytics', 'data')",14
"('analysis', 'data', 'analysis')",14
"('development', 'life', 'cycle')",12
"('analysis', 'data', 'mining')",11
"('data', 'modeling', 'data')",11
"('analysis', 'data', 'visualization')",10
"('data', 'visualisation', 'data')",10
"('analysis', 'machine', 'learning')",10
"('report', 'writing', 'data')",8
"('analysis', 'business', 'intelligence')",8
"('data', 'analytics', 'business')",8
"('analytics', 'business', 'intelligence')",8
"('business', 'intelligence', 'data')",8
"('data', 'modelling', 'data')",8
"('management', 'data', 'analysis')",7
"('data', 'analyst', 'data')",7
"('quantitative', 'analysis', 'data')",7
"('analysis', 'data', 'analytics')",7
"('statistical', 'analysis', 'data')",7
"('dashboards', 'data', 'analysis')",7
"('relational', 'databases', 'data')",7
"('life', 'cycle', 'sdlc')",7
"('implement', 'databases', 'data')",6
"('databases', 'data', 'collection')",6
"('data', 'collection', 'systems')",6
"('collection', 'systems', 'data')",6
"('data', 'analysis', 'reporting')",6
"('software', 'development', 'life')",6
"('develop', 'custom', 'data')",6
"('custom', 'data', 'models')",6
"('data', 'models', 'algorithms')",6
"('analysis', 'big', 'data')",6
"('data', 'engineering', 'data')",6
"('modelling', 'machine', 'learning')",6
"('data', 'analysis', 'business')",6
"('root', 'cause', 'analysis')",6
"('data', 'cleansing', 'data')",6
"('system', 'development', 'life')",6
"('systems', 'data', 'analytics')",5
"('mining', 'data', 'cleansing')",5
"('analytics', 'data', 'analysis')",5
"('data', 'validation', 'data')",5
"('project', 'management', 'data')",5
"('visualization', 'data', 'management')",5
"('data', 'visualization', 'business')",5
"('data', 'analysis', 'quantitative')",5
"('analysis', 'quantitative', 'analysis')",5
"('business', 'development', 'data')",5
"('data', 'processing', 'data')",5
"('data', 'extraction', 'data')",5
"('analysis', 'data', 'visualisation')",5
"('data', 'manipulation', 'data')",5
"('data', 'visualization', 'dashboards')",5
"('data', 'wrangling', 'data')",5
"('visualization', 'data', 'analytics')",5
"('data', 'transformation', 'data')",5
"('maintain', 'databases', 'data')",4
"('interpret', 'trends', 'or')",4
"('trends', 'or', 'patterns')",4
"('queries', 'report', 'writing')",4
"('data', 'collection', 'data')",4
"('learning', 'data', 'analytics')",4
"('data', 'analytics', 'financial')",4
"('management', 'data', 'analytics')",4
"('data', 'analysis', 'report')",4
"('ai', 'data', 'analysis')",4
"('data', 'management', 'statistics')",4
"('visualization', 'predictive', 'modeling')",4
"('reporting', 'data', 'analytics')",4
"('data', 'collection', 'cleansing')",4
"('analytics', 'data', 'visualization')",4
"('data', 'interpretation', 'data')",4
"('data', 'analysis', 'machine')",4
"('predictive', 'analysis', 'data')",4
"('statistical', 'modelling', 'machine')",4
"('analysis', 'data', 'profiling')",4
"('modeling', 'data', 'visualization')",4
"('visualization', 'dashboards', 'data')",4
"('data', 'warehouse', 'design')",4
"('machine', 'learning', 'models')",4
"('learning', 'data', 'mining')",4
"('business', 'intelligence', 'reporting')",4
"('statistical', 'principles', 'scripting')",4
"('machine', 'learning', 'algorithms')",4
"('modelling', 'data', 'warehouse')",4
"('ai', 'machine', 'learning')",4
"('development', 'data', 'mining')",4
"('data', 'mining', 'statistical')",4
"('data', 'mapping', 'data')",4
"('data', 'analysis', 'project')",4
"('analysis', 'project', 'management')",4
"('analysis', 'relational', 'databases')",4
"('data', 'warehouse', 'data')",4
"('transformation', 'data', 'structures')",4
"('market', 'research', 'data')",4
"('information', 'analysis', 'life')",4
