trigrams,count
"('data', 'warehouse', 'data')",24
"('big', 'data', 'data')",19
"('data', 'engineering', 'data')",15
"('data', 'processing', 'data')",13
"('data', 'warehousing', 'data')",11
"('business', 'intelligence', 'data')",9
"('warehouse', 'data', 'warehouse')",8
"('data', 'transformation', 'data')",8
"('root', 'cause', 'analysis')",8
"('development', 'life', 'cycle')",7
"('big', 'data', 'analytics')",7
"('data', 'pipelines', 'data')",7
"('data', 'visualization', 'data')",7
"('data', 'mining', 'data')",7
"('data', 'governance', 'data')",7
"('data', 'big', 'data')",7
"('software', 'development', 'life')",6
"('transformation', 'data', 'structures')",6
"('automating', 'manual', 'processes')",6
"('data', 'pipelines', 'architectures')",6
"('pipelines', 'architectures', 'data')",6
"('data', 'ingestion', 'data')",6
"('big', 'data', 'processing')",6
"('cause', 'analysis', 'data')",6
"('data', 'management', 'data')",6
"('data', 'analysis', 'data')",5
"('data', 'management', 'integration')",5
"('data', 'modelling', 'data')",5
"('software', 'development', 'data')",5
"('analysis', 'bi', 'reporting')",5
"('intelligence', 'data', 'warehousing')",5
"('natural', 'language', 'processing')",5
"('data', 'warehouses', 'data')",5
"('etl', 'big', 'data')",5
"('manual', 'processes', 'optimizing')",5
"('processes', 'optimizing', 'data')",5
"('data', 'modeling', 'data')",5
"('ai', 'machine', 'learning')",5
"('big', 'data', 'technology')",5
"('data', 'mining', 'machine')",5
"('mining', 'machine', 'learning')",5
"('engineering', 'data', 'models')",5
"('modeling', 'big', 'data')",5
"('warehouse', 'data', 'management')",5
"('big', 'data', 'big')",5
"('management', 'data', 'warehouse')",5
"('warehousing', 'data', 'mining')",5
"('programming', 'programming', 'language')",4
"('data', 'collection', 'statistical')",4
"('statistical', 'analysis', 'tool')",4
"('modelling', 'data', 'warehouse')",4
"('purchase', 'order', 'processing')",4
"('etl', 'elt', 'data')",4
"('optimizing', 'data', 'data')",4
"('modeling', 'data', 'warehousing')",4
"('machine', 'learning', 'algorithms')",4
"('data', 'cleansing', 'etl')",4
"('cleansing', 'etl', 'data')",4
"('etl', 'data', 'mining')",4
"('machine', 'learning', 'deep')",4
"('learning', 'deep', 'learning')",4
"('programming', 'data', 'engineering')",4
"('data', 'analysis', 'mining')",4
"('etl', 'data', 'warehouse')",4
"('machine', 'learning', 'models')",4
"('learning', 'models', 'data')",4
"('analysis', 'data', 'processing')",4
"('artificial', 'intelligence', 'machine')",4
"('intelligence', 'machine', 'learning')",4
"('machine', 'learning', 'nlp')",4
"('data', 'analysis', 'software')",4
"('statistical', 'modeling', 'big')",4
"('big', 'data', 'machine')",4
"('data', 'machine', 'learning')",4
"('ddc', 'plc', 'programming')",4
"('model', 'data', 'governance')",4
"('management', 'artificial', 'intelligence')",4
"('learning', 'big', 'data')",4
"('data', 'data', 'engineering')",4
"('software', 'development', 'lifecycle')",4
"('analysis', 'data', 'integration')",4
"('programming', 'language', 'data')",4
"('data', 'processing', 'programming')",4
"('data', 'analytics', 'ai')",4
"('data', 'engineering', 'big')",4
"('engineering', 'big', 'data')",4
"('data', 'data', 'pipelines')",4
"('manipulating', 'processing', 'extracting')",4
"('processing', 'extracting', 'value')",4
"('data', 'model', 'data')",4
"('warehouse', 'data', 'lake')",4
"('big', 'data', 'querying')",4
"('data', 'warehousing', 'etl')",4
"('data', 'analysis', 'bi')",4
"('management', 'configuration', 'management')",3
"('management', 'project', 'management')",3
"('management', 'disaster', 'recovery')",3
"('data', 'validation', 'data')",3
"('data', 'pipeline', 'data')",3
"('database', 'management', 'data')",3
