trigrams,count
"('business', 'intelligence', 'data')",29
"('data', 'mining', 'data')",25
"('data', 'visualization', 'data')",23
"('big', 'data', 'data')",22
"('data', 'warehouse', 'data')",19
"('development', 'life', 'cycle')",19
"('data', 'analysis', 'data')",18
"('data', 'warehousing', 'data')",15
"('machine', 'learning', 'data')",14
"('machine', 'learning', 'algorithms')",14
"('machine', 'learning', 'models')",13
"('business', 'intelligence', 'bi')",13
"('etl', 'extract', 'transform')",13
"('big', 'data', 'infrastructure')",13
"('models', 'machine', 'learning')",12
"('data', 'wrangling', 'data')",12
"('automated', 'dashboards', 'reports')",12
"('dashboards', 'reports', 'alerts')",12
"('reports', 'alerts', 'simulation')",12
"('alerts', 'simulation', 'tools')",12
"('analysis', 'data', 'mining')",12
"('root', 'cause', 'analysis')",12
"('warehousing', 'data', 'mining')",11
"('system', 'development', 'life')",11
"('ai', 'machine', 'learning')",10
"('data', 'analytics', 'data')",10
"('data', 'transformation', 'data')",10
"('analytics', 'data', 'visualization')",10
"('data', 'pipelines', 'architectures')",10
"('data', 'modelling', 'data')",10
"('cause', 'analysis', 'data')",10
"('management', 'data', 'warehouse')",10
"('machine', 'learning', 'statistical')",9
"('modeling', 'machine', 'learning')",9
"('business', 'intelligent', 'data')",9
"('management', 'business', 'intelligence')",9
"('programming', 'language', 'data')",9
"('clustering', 'decision', 'tree')",9
"('decision', 'tree', 'learning')",9
"('tree', 'learning', 'artificial')",9
"('learning', 'artificial', 'neural')",9
"('artificial', 'neural', 'networks')",9
"('neural', 'networks', 'regression')",9
"('networks', 'regression', 'statistical')",9
"('regression', 'statistical', 'tests')",9
"('message', 'queuing', 'stream')",9
"('queuing', 'stream', 'processing')",9
"('pipelines', 'architectures', 'data')",9
"('architectures', 'data', 'sets')",9
"('data', 'model', 'data')",9
"('life', 'cycle', 'sdlc')",9
"('business', 'unit', 'data')",8
"('unit', 'data', 'engineering')",8
"('data', 'engineering', 'business')",8
"('engineering', 'business', 'intelligent')",8
"('intelligent', 'data', 'visualization')",8
"('visualization', 'data', 'wrangling')",8
"('wrangling', 'data', 'manipulation')",8
"('design', 'simple', 'experiments')",8
"('databases', 'data', 'collection')",8
"('data', 'collection', 'data')",8
"('data', 'sets', 'root')",8
"('sets', 'root', 'cause')",8
"('analysis', 'data', 'transformation')",8
"('transformation', 'data', 'structures')",8
"('data', 'structures', 'manipulating')",8
"('structures', 'manipulating', 'processing')",8
"('manipulating', 'processing', 'extracting')",8
"('processing', 'extracting', 'value')",8
"('extracting', 'value', 'message')",8
"('value', 'message', 'queuing')",8
"('data', 'big', 'data')",8
"('data', 'warehouse', 'business')",8
"('analysis', 'business', 'intelligence')",8
"('software', 'development', 'life')",8
"('data', 'management', 'data')",7
"('tools', 'data', 'visualization')",7
"('dashboarding', 'tool', 'etl')",7
"('data', 'collection', 'systems')",7
"('collection', 'systems', 'data')",7
"('algorithms', 'data', 'visualization')",7
"('data', 'visualization', 'machine')",7
"('visualization', 'machine', 'learning')",7
"('machine', 'learning', 'clustering')",7
"('learning', 'clustering', 'decision')",7
"('statistical', 'testing', 'regression')",7
"('data', 'analytics', 'machine')",7
"('analytics', 'machine', 'learning')",7
"('data', 'data', 'warehouse')",7
"('quantitative', 'analysis', 'data')",7
"('analysis', 'data', 'analysis')",7
"('data', 'governance', 'data')",7
"('machine', 'learning', 'algorithm')",7
"('machine', 'learning', 'visual')",6
"('visualization', 'business', 'intelligence')",6
"('etl', 'data', 'analysis')",6
"('implement', 'databases', 'data')",6
"('systems', 'data', 'analytics')",6
"('identify', 'patterns', 'data')",6
"('patterns', 'data', 'collection')",6
