trigrams,count
"('machine', 'learning', 'data')",44
"('data', 'visualization', 'data')",42
"('machine', 'learning', 'models')",38
"('data', 'mining', 'data')",38
"('data', 'analysis', 'data')",33
"('machine', 'learning', 'algorithms')",32
"('business', 'intelligence', 'data')",28
"('big', 'data', 'data')",26
"('learning', 'machine', 'learning')",25
"('data', 'warehouse', 'data')",24
"('natural', 'language', 'processing')",23
"('development', 'life', 'cycle')",21
"('machine', 'learning', 'machine')",19
"('data', 'warehousing', 'data')",18
"('software', 'development', 'life')",17
"('data', 'analytics', 'data')",17
"('analysis', 'data', 'analysis')",17
"('models', 'machine', 'learning')",17
"('analysis', 'data', 'mining')",16
"('data', 'modeling', 'data')",16
"('analysis', 'machine', 'learning')",15
"('analytics', 'machine', 'learning')",15
"('data', 'pipelines', 'data')",14
"('ai', 'machine', 'learning')",13
"('learning', 'data', 'mining')",13
"('data', 'engineering', 'data')",13
"('analysis', 'data', 'visualization')",13
"('learning', 'big', 'data')",13
"('learning', 'models', 'data')",12
"('algorithms', 'data', 'visualization')",12
"('clustering', 'decision', 'tree')",12
"('data', 'cleansing', 'data')",12
"('data', 'management', 'data')",12
"('machine', 'learning', 'big')",12
"('data', 'models', 'data')",12
"('big', 'data', 'machine')",11
"('data', 'machine', 'learning')",11
"('artificial', 'intelligence', 'machine')",11
"('intelligence', 'machine', 'learning')",11
"('data', 'analysis', 'machine')",11
"('relational', 'databases', 'data')",11
"('data', 'visualisation', 'data')",11
"('machine', 'learning', 'ai')",11
"('machine', 'learning', 'statistical')",11
"('data', 'processing', 'data')",11
"('business', 'intelligence', 'bi')",10
"('learning', 'deep', 'learning')",10
"('data', 'science', 'algorithms')",9
"('machine', 'learning', 'clustering')",9
"('learning', 'clustering', 'decision')",9
"('learning', 'artificial', 'neural')",9
"('artificial', 'neural', 'networks')",9
"('programming', 'machine', 'learning')",9
"('models', 'data', 'mining')",9
"('data', 'collection', 'data')",9
"('data', 'modelling', 'data')",9
"('programming', 'language', 'big')",9
"('language', 'big', 'data')",9
"('root', 'cause', 'analysis')",9
"('applied', 'machine', 'learning')",9
"('visualization', 'data', 'mining')",9
"('management', 'data', 'analysis')",9
"('data', 'mining', 'machine')",9
"('mining', 'machine', 'learning')",9
"('statistical', 'analysis', 'data')",8
"('statistical', 'modelling', 'data')",8
"('decision', 'tree', 'learning')",8
"('tree', 'learning', 'artificial')",8
"('neural', 'networks', 'regression')",8
"('networks', 'regression', 'statistical')",8
"('regression', 'statistical', 'tests')",8
"('statistics', 'machine', 'learning')",8
"('predictive', 'modeling', 'data')",8
"('modeling', 'data', 'visualization')",8
"('data', 'warehouses', 'data')",8
"('data', 'analytics', 'machine')",8
"('data', 'mining', 'statistical')",8
"('programming', 'data', 'visualization')",8
"('data', 'warehouse', 'design')",8
"('exploratory', 'data', 'analysis')",8
"('modelling', 'machine', 'learning')",8
"('machine', 'learning', 'deep')",8
"('data', 'mining', 'machinelearning')",8
"('data', 'pipelines', 'architectures')",8
"('pipelines', 'architectures', 'data')",8
"('project', 'management', 'data')",8
"('data', 'engineering', 'business')",8
"('databases', 'data', 'collection')",8
"('data', 'models', 'database')",8
"('models', 'database', 'design')",8
"('intelligence', 'big', 'data')",7
"('machine', 'learning', 'programming')",7
"('graph', 'analysis', 'data')",7
"('mining', 'data', 'science')",7
"('data', 'science', 'probability')",7
"('science', 'probability', 'theory')",7
"('probability', 'theory', 'statistics')",7
"('theory', 'statistics', 'data')",7
"('statistics', 'data', 'science')",7
"('science', 'algorithms', 'data')",7
