trigrams,count
"('machine', 'learning', 'algorithms')",40
"('business', 'intelligence', 'data')",36
"('data', 'mining', 'data')",29
"('data', 'analysis', 'data')",28
"('data', 'visualization', 'data')",23
"('natural', 'language', 'processing')",19
"('big', 'data', 'data')",19
"('data', 'analytics', 'data')",18
"('analysis', 'machine', 'learning')",17
"('machine', 'learning', 'data')",17
"('machine', 'learning', 'models')",16
"('decision', 'tree', 'learning')",16
"('tree', 'learning', 'artificial')",16
"('learning', 'artificial', 'neural')",16
"('artificial', 'neural', 'networks')",16
"('data', 'warehouse', 'data')",16
"('predictive', 'modeling', 'data')",15
"('development', 'life', 'cycle')",15
"('analysis', 'data', 'analysis')",15
"('relational', 'databases', 'data')",15
"('learning', 'algorithms', 'statistics')",14
"('simulation', 'scenario', 'analysis')",14
"('scenario', 'analysis', 'modeling')",14
"('data', 'cleansing', 'data')",14
"('data', 'analyst', 'data')",14
"('analytics', 'machine', 'learning')",13
"('machine', 'learning', 'statistical')",13
"('data', 'warehouses', 'data')",13
"('interpret', 'trends', 'or')",13
"('trends', 'or', 'patterns')",13
"('software', 'development', 'life')",13
"('analysis', 'data', 'mining')",12
"('clustering', 'decision', 'tree')",12
"('neural', 'networks', 'regression')",12
"('networks', 'regression', 'statistical')",12
"('regression', 'statistical', 'tests')",12
"('data', 'collection', 'data')",12
"('data', 'visualization', 'business')",12
"('machine', 'learning', 'advanced')",11
"('learning', 'advanced', 'analytics')",11
"('data', 'analysis', 'machine')",11
"('queries', 'report', 'writing')",11
"('report', 'writing', 'data')",11
"('data', 'architectures', 'machine')",11
"('architectures', 'machine', 'learning')",11
"('predictive', 'models', 'machinelearning')",11
"('models', 'machinelearning', 'algorithms')",11
"('data', 'mining', 'machine')",11
"('mining', 'machine', 'learning')",11
"('databases', 'data', 'collection')",11
"('data', 'models', 'algorithms')",11
"('machine', 'learning', 'clustering')",10
"('learning', 'clustering', 'decision')",10
"('regression', 'modeling', 'forecasting')",10
"('trend', 'reports', 'bi')",10
"('reports', 'bi', 'tools')",10
"('deploying', 'machine', 'learning')",10
"('learning', 'machine', 'learning')",10
"('statistical', 'analysis', 'data')",10
"('manipulating', 'data', 'sets')",10
"('decision', 'trees', 'neural')",10
"('trees', 'neural', 'networks')",10
"('models', 'data', 'mining')",10
"('programming', 'machine', 'learning')",10
"('data', 'collection', 'systems')",10
"('collection', 'systems', 'data')",10
"('systems', 'data', 'analytics')",10
"('maintain', 'databases', 'data')",10
"('develop', 'custom', 'data')",10
"('custom', 'data', 'models')",10
"('intelligence', 'data', 'warehouse')",10
"('data', 'warehouse', 'etl')",10
"('visualization', 'business', 'intelligence')",10
"('learning', 'algorithms', 'data')",9
"('machine', 'learning', 'predictive')",9
"('statistical', 'modelling', 'data')",9
"('problem', 'solving', 'skills')",9
"('processing', 'cleansing', 'svm')",9
"('cleansing', 'svm', 'knn')",9
"('svm', 'knn', 'naive')",9
"('knn', 'naive', 'bayes')",9
"('naive', 'bayes', 'random')",9
"('bayes', 'random', 'forests')",9
"('random', 'forests', 'natural')",9
"('forests', 'natural', 'language')",9
"('distributions', 'statistical', 'testing')",9
"('machine', 'learning', 'machine')",9
"('mining', 'social', 'network')",9
"('social', 'network', 'analysis')",9
"('predictive', 'models', 'data')",9
"('analytics', 'business', 'intelligence')",9
"('learning', 'statistical', 'analysis')",9
"('data', 'models', 'database')",9
"('models', 'database', 'design')",9
"('database', 'design', 'development')",9
"('data', 'analysis', 'visualization')",9
"('data', 'warehouse', 'design')",9
"('business', 'intelligence', 'bi')",9
"('engineering', 'business', 'intelligence')",9
"('data', 'science', 'machine')",8
