trigrams,count
"('machine', 'learning', 'data')",90
"('natural', 'language', 'processing')",77
"('machine', 'learning', 'models')",69
"('machine', 'learning', 'algorithms')",68
"('data', 'visualization', 'data')",67
"('data', 'mining', 'data')",60
"('learning', 'machine', 'learning')",51
"('data', 'analysis', 'data')",50
"('data', 'analytics', 'data')",40
"('data', 'processing', 'data')",40
"('business', 'intelligence', 'data')",39
"('analysis', 'machine', 'learning')",38
"('big', 'data', 'data')",37
"('data', 'engineering', 'data')",34
"('machine', 'learning', 'machine')",33
"('data', 'warehouse', 'data')",32
"('machine', 'learning', 'ai')",31
"('big', 'data', 'analytics')",31
"('modelling', 'machine', 'learning')",30
"('learning', 'deep', 'learning')",30
"('learning', 'data', 'mining')",30
"('machine', 'learning', 'deep')",28
"('data', 'mining', 'machine')",28
"('mining', 'machine', 'learning')",28
"('data', 'mining', 'statistical')",27
"('analytics', 'machine', 'learning')",27
"('data', 'modelling', 'data')",27
"('statistical', 'analysis', 'data')",26
"('data', 'modeling', 'data')",26
"('ai', 'machine', 'learning')",24
"('data', 'management', 'data')",24
"('data', 'pipelines', 'data')",23
"('learning', 'big', 'data')",22
"('artificial', 'intelligence', 'ai')",22
"('data', 'visualisation', 'data')",22
"('exploratory', 'data', 'analysis')",20
"('statistical', 'modelling', 'machine')",20
"('analysis', 'data', 'visualization')",20
"('intelligence', 'machine', 'learning')",20
"('analysis', 'data', 'analysis')",20
"('relational', 'databases', 'data')",20
"('applied', 'machine', 'learning')",19
"('learning', 'models', 'data')",19
"('analysis', 'data', 'mining')",19
"('data', 'analysis', 'machine')",19
"('machine', 'learning', 'statistical')",18
"('models', 'machine', 'learning')",18
"('analytics', 'big', 'data')",18
"('programming', 'machine', 'learning')",18
"('artificial', 'intelligence', 'machine')",18
"('visualization', 'machine', 'learning')",17
"('algorithms', 'machine', 'learning')",17
"('data', 'machine', 'learning')",17
"('project', 'management', 'data')",17
"('learning', 'computer', 'vision')",17
"('analytics', 'business', 'intelligence')",17
"('root', 'cause', 'analysis')",17
"('data', 'warehousing', 'data')",17
"('mining', 'statistical', 'analysis')",16
"('pipelines', 'machine', 'learning')",16
"('big', 'data', 'analysis')",16
"('deep', 'learning', 'data')",16
"('data', 'models', 'data')",16
"('machine', 'learning', 'ml')",15
"('dashboards', 'data', 'analysis')",15
"('models', 'data', 'mining')",15
"('big', 'data', 'machine')",15
"('learning', 'artificial', 'intelligence')",15
"('big', 'data', 'processing')",15
"('learning', 'data', 'analysis')",14
"('machine', 'learning', 'regression')",14
"('deep', 'learning', 'machine')",14
"('forecasting', 'anomaly', 'detection')",14
"('anomaly', 'detection', 'data')",14
"('visualization', 'data', 'mining')",14
"('machine', 'learning', 'big')",14
"('deep', 'learning', 'computer')",14
"('artificial', 'intelligence', 'data')",14
"('machine', 'learning', 'artificial')",14
"('data', 'profiling', 'data')",14
"('data', 'transformation', 'data')",14
"('data', 'ingestion', 'data')",14
"('learning', 'models', 'applied')",13
"('models', 'applied', 'machine')",13
"('statistics', 'machine', 'learning')",13
"('analytics', 'data', 'mining')",13
"('processing', 'feature', 'engineering')",13
"('design', 'of', 'experiments')",13
"('data', 'science', 'machine')",13
"('science', 'machine', 'learning')",13
"('data', 'analytics', 'machine')",13
"('statistical', 'testing', 'regression')",13
"('statistical', 'modelling', 'data')",13
"('data', 'science', 'algorithms')",13
"('intelligence', 'data', 'analytics')",13
"('management', 'data', 'analysis')",13
"('automating', 'manual', 'processes')",13
"('learning', 'hypothesis', 'testing')",12
"('deep', 'learning', 'models')",12
"('time', 'series', 'analysis')",12
