bigrams,count
"('power', 'bi')",308
"('python', 'r')",273
"('r', 'python')",263
"('sql', 'python')",189
"('sql', 'server')",180
"('python', 'sql')",172
"('ms', 'excel')",169
"('microsoft', 'office')",163
"('ms', 'office')",152
"('microsoft', 'excel')",124
"('hadoop', 'spark')",119
"('excel', 'powerpoint')",107
"('hadoop', 'hive')",104
"('python', 'java')",93
"('r', 'sql')",89
"('java', 'python')",85
"('word', 'excel')",85
"('google', 'analytics')",84
"('excel', 'sql')",81
"('c', 'c++')",81
"('', '')",81
"('sql', 'sql')",78
"('sql', 'r')",76
"('google', 'cloud')",75
"('sql', 'tableau')",73
"('tableau', 'sql')",68
"('sql', 'nosql')",68
"('excel', 'ms')",64
"('hive', 'spark')",63
"('office', 'excel')",63
"('ms', 'sql')",60
"('bi', 'tableau')",59
"('python', 'tableau')",57
"('business', 'objects')",57
"('sql', 'excel')",57
"('amazon', 'web')",56
"('web', 'services')",56
"('ms', 'word')",56
"('tableau', 'power')",53
"('r', 'sas')",52
"('spark', 'sql')",52
"('sql', 'hadoop')",49
"('microsoft', 'sql')",46
"('python', 'scala')",45
"('office', 'word')",45
"('bi', 'sql')",44
"('c++', 'java')",44
"('python', 'spark')",44
"('aws', 'azure')",44
"('java', 'scala')",43
"('spark', 'hadoop')",43
"('microsoft', 'power')",42
"('java', 'javascript')",41
"('spark', 'python')",40
"('spark', 'kafka')",40
"('sql', 'ms')",39
"('python', 'pandas')",38
"('unix', 'linux')",38
"('hive', 'hbase')",37
"('java', 'c++')",37
"('agile', 'scrum')",37
"('cloud', 'platform')",36
"('apache', 'spark')",36
"('python', 'hadoop')",36
"('office', 'suite')",36
"('python', 'python')",35
"('sql', 'oracle')",35
"('tableau', 'r')",34
"('excel', 'tableau')",34
"('tableau', 'python')",34
"('sql', 'java')",34
"('r', 'java')",34
"('excel', 'microsoft')",33
"('python', 'pyspark')",33
"('tensorflow', 'keras')",32
"('excel', 'python')",32
"('html', 'css')",32
"('azure', 'aws')",31
"('microsoft', 'azure')",31
"('sql', 'microsoft')",31
"('excel', 'google')",30
"('python', 'linux')",30
"('ms', 'access')",30
"('excel', 'power')",30
"('pandas', 'numpy')",29
"('sql', 'mysql')",29
"('python', 'c++')",29
"('scala', 'python')",29
"('r', 'hadoop')",28
"('shell', 'scripting')",28
"('gcp', 'azure')",28
"('azure', 'sql')",27
"('sql', 'google')",27
"('sql', 'aws')",27
"('aws', 'cloud')",27
"('aws', 'gcp')",27
"('c++', 'python')",27
"('azure', 'data')",27
"('tableau', 'qlikview')",26
"('java', 'sql')",26
