bigrams,count
"('r', 'python')",37
"('python', 'r')",37
"('sql', 'python')",30
"('ms', 'office')",28
"('hadoop', 'hive')",24
"('python', 'sql')",24
"('power', 'bi')",23
"('sql', 'server')",21
"('ms', 'excel')",17
"('excel', 'powerpoint')",17
"('microsoft', 'office')",16
"('google', 'analytics')",15
"('microsoft', 'excel')",12
"('excel', 'sql')",11
"('word', 'excel')",11
"('apache', 'spark')",11
"('sas', 'python')",10
"('hadoop', 'spark')",10
"('java', 'script')",10
"('hive', 'spark')",9
"('sql', 'tableau')",9
"('python', 'pandas')",9
"('office', 'excel')",9
"('excel', 'python')",9
"('unix', 'linux')",9
"('python', 'tableau')",8
"('business', 'objects')",8
"('r', 'sql')",8
"('sql', 'excel')",8
"('', '')",8
"('office', 'word')",8
"('python', 'slq')",7
"('r', 'sas')",7
"('python', 'spark')",7
"('spark', 'python')",7
"('sql', 'r')",7
"('spark', 'hadoop')",7
"('tableau', 'sql')",7
"('bi', 'sql')",7
"('sql', 'hadoop')",7
"('r', 'java')",7
"('script', 'sql')",7
"('linux', 'solaris')",7
"('shell', 'script')",7
"('analytics', 'site')",6
"('site', 'catalyst')",6
"('catalyst', 'coremetrics')",6
"('coremetrics', 'adwords')",6
"('adwords', 'crimson')",6
"('crimson', 'hexagon')",6
"('hexagon', 'facebook')",6
"('facebook', 'insights')",6
"('insights', 'mapreduce')",6
"('mapreduce', 'hadoop')",6
"('spark', 'gurobi')",6
"('gurobi', 'mysql')",6
"('mysql', 'periscope')",6
"('periscope', 'business')",6
"('objects', 'd3')",6
"('d3', 'ggplot')",6
"('hadoop', 'python')",6
"('r', 'spark')",6
"('sql', 'sql')",6
"('qlikview', 'tableau')",6
"('excel', 'ms')",6
"('python', 'sas')",6
"('script', 'hadoop')",6
"('git', 'svn')",6
"('jira', 'git')",6
"('jenkins', 'python')",6
"('pandas', 'scipy')",6
"('scipy', 'numpy')",6
"('numpy', 'pyspark')",6
"('hive', 'hbase')",6
"('hbase', 'spark')",6
"('spark', 'flink')",6
"('flink', 'presto')",6
"('presto', 'superset')",6
"('superset', 'alluxio')",6
"('alluxio', 'airflow')",6
"('airflow', 'workbench')",6
"('workbench', 'aws')",6
"('aws', 'job')",6
"('job', 'server')",6
"('server', 'graph')",6
"('graph', 'database')",6
"('database', 'nosql')",6
"('python', 'c++java')",5
"('c++java', 'r')",5
"('sql', 'elasticsearch')",5
"('elasticsearch', 'aws')",5
"('aws', 'linux')",5
"('sql', 'oracle')",5
"('tableau', 'power')",5
"('python', 'apache')",5
"('spark', 'tableau')",5
"('mysql', 'postgresql')",5
"('sql', 'aws')",5
"('agile', 'scrum')",5
"('sql', 'linux')",5
