bigrams,count
"('power', 'bi')",53
"('microsoft', 'office')",38
"('sql', 'server')",33
"('ms', 'office')",30
"('microsoft', 'excel')",28
"('excel', 'powerpoint')",24
"('sql', 'python')",21
"('ms', 'excel')",20
"('r', 'python')",17
"('word', 'excel')",15
"('excel', 'ms')",14
"('tableau', 'sql')",14
"('bi', 'sql')",13
"('sql', 'sql')",13
"('bi', 'tableau')",13
"('sql', 'tableau')",12
"('sql', 'oracle')",12
"('python', 'r')",12
"('excel', 'sql')",11
"('sql', 'excel')",11
"('microsoft', 'power')",11
"('ms', 'sql')",11
"('office', 'suite')",11
"('web', 'services')",11
"('google', 'analytics')",11
"('business', 'objects')",10
"('office', 'word')",10
"('ms', 'powerpoint')",10
"('office', 'excel')",10
"('amazon', 'web')",10
"('r', 'sql')",10
"('bi', 'microsoft')",9
"('', '')",9
"('pivot', 'tables')",8
"('word', 'powerpoint')",8
"('powerpoint', 'excel')",8
"('reporting', 'services')",7
"('sql', 'r')",7
"('sql', 'mysql')",7
"('powerbi', 'tableau')",7
"('tableau', 'power')",7
"('data', 'management')",7
"('sap', 'business')",7
"('microsoft', 'sql')",7
"('tableau', 'qlikview')",7
"('informatica', 'powercenter')",7
"('office', 'ms')",7
"('excel', 'microsoft')",6
"('server', 'reporting')",6
"('python', 'tableau')",6
"('powerpoint', 'google')",6
"('excel', 'word')",6
"('powerpoint', 'sql')",6
"('crystal', 'reports')",6
"('excel', 'google')",6
"('tableau', 'r')",6
"('sas', 'enterprise')",6
"('html', 'css')",6
"('agile', 'scrum')",6
"('sql', 'microsoft')",5
"('sql', 'ssis')",5
"('ssrs', 'ssis')",5
"('data', 'studio')",5
"('tsql', 'sql')",5
"('bi', 'ms')",5
"('sql', 'sap')",5
"('services', 'aws')",5
"('aws', 'aws')",5
"('sql', 'ms')",5
"('tableau', 'ms')",5
"('sas', 'tableau')",5
"('python', 'hadoop')",5
"('hadoop', 'hive')",5
"('hive', 'spark')",5
"('suite', 'excel')",5
"('sas', 'eg')",5
"('java', 'programming')",5
"('powerpoint', 'word')",5
"('tableau', 'metabase')",5
"('tableau', 'qlik')",5
"('sql', 'azure')",4
"('oracle', 'bi')",4
"('services', 'ssrs')",4
"('ssis', 'microsoft')",4
"('sql', 'query')",4
"('ssrs', 'power')",4
"('google', 'slides')",4
"('power', 'point')",4
"('ms', 'access')",4
"('oracle', 'analytics')",4
"('analytics', 'cloud')",4
"('bi', 'oracle')",4
"('sql', 'vba')",4
"('aws', 'glue')",4
"('oracle', 'sql')",4
"('ruby', 'java')",4
"('spark', 'nosql')",4
"('nosql', 'linux')",4
"('linux', 'sql')",4
"('excel', 'power')",4
