bigrams,count
"('ms', 'excel')",12
"('power', 'bi')",12
"('microsoft', 'office')",12
"('ms', 'office')",10
"('microsoft', 'excel')",9
"('python', 'r')",9
"('excel', 'ms')",8
"('office', 'excel')",7
"('sql', 'server')",7
"('excel', 'powerpoint')",6
"('r', 'sql')",6
"('excel', 'sql')",5
"('word', 'excel')",5
"('r', 'python')",5
"('postgresql', 'mysql')",5
"('aws', 'gcp')",5
"('gcp', 'azure')",5
"('sql', 'microsoft')",4
"('sql', 'python')",4
"('ms', 'word')",4
"('excel', 'microsoft')",4
"('google', 'analytics')",4
"('bi', 'tableau')",4
"('python', 'sql')",4
"('python', 'tableau')",4
"('tableau', 'agile')",4
"('agile', '')",4
"('', 'scrum')",4
"('rdbms', 'postgresql')",4
"('mysql', 'nosql')",4
"('nosql', 'mongodb')",4
"('mongodb', 'elasticsearch')",4
"('elasticsearch', 'redshift')",4
"('redshift', 'bigquery')",4
"('sql', 'nosql')",3
"('sql', 'google')",3
"('bi', 'python')",3
"('powerpoint', 'word')",3
"('excel', 'python')",3
"('vmware', 'sccm')",3
"('sccm', 'ivanti')",3
"('ivanti', 'kace')",3
"('microsoft', 'sql')",3
"('office', 'word')",3
"('git', 'jira')",3
"('excel', 'sap')",2
"('sap', 'sap')",2
"('office', 'suite')",2
"('sql', 'tableau')",2
"('excel', 'google')",2
"('nosql', 'git')",2
"('git', 'linux')",2
"('linux', 'cloud')",2
"('cloud', 'service')",2
"('service', 'aws')",2
"('python', 'pandas')",2
"('pandas', 'spark')",2
"('spark', 'sql')",2
"('sql', 'aws')",2
"('aws', 'azure')",2
"('azure', 'gcp')",2
"('r', 'matlab')",2
"('matlab', 'python')",2
"('python', 'vba')",2
"('vba', 'sql')",2
"('sql', 'excel')",2
"('tableau', 'power')",2
"('tableau', 'metabase')",2
"('tableau', 'microsoft')",2
"('tableau', 'holistics')",2
"('holistics', 'java')",2
"('java', 'python')",2
"('r', 'git')",2
"('git', 'github')",2
"('github', 'aws')",2
"('python', 'google')",2
"('excel', 'word')",2
"('word', 'powerpoint')",2
"('powerpoint', 'excel')",2
"('microsoft', 'active')",2
"('active', 'directory')",2
"('directory', 'unix')",2
"('unix', 'linux')",2
"('linux', 'vmware')",2
"('kace', 'microsoft')",2
"('microsoft', 'powershell')",2
"('ms', 'powerpoint')",2
"('seo', 'sem')",2
"('office', 'microsoft')",2
"('google', 'optimize')",2
"('google', 'cloud')",2
"('', '')",2
"('scrum', 'power')",2
"('bi', 'rdbms')",2
"('bigquery', 'aws')",2
"('sql', 'sql')",2
"('sql', 'ms')",2
"('tensorflow', 'keras')",2
"('scrum', 'rdbms')",2
"('bigquery', 'power')",2
