bigrams,count
"('power', 'bi')",77
"('ms', 'excel')",56
"('ms', 'office')",46
"('microsoft', 'office')",42
"('sql', 'server')",38
"('excel', 'powerpoint')",37
"('r', 'python')",37
"('sql', 'python')",34
"('excel', 'sql')",33
"('microsoft', 'excel')",31
"('ms', 'word')",29
"('excel', 'ms')",28
"('office', 'excel')",27
"('word', 'excel')",26
"('python', 'sql')",26
"('sql', 'excel')",22
"('sql', 'tableau')",20
"('sql', 'sql')",20
"('python', 'r')",18
"('', '')",18
"('excel', 'microsoft')",17
"('tableau', 'sql')",17
"('hadoop', 'hive')",17
"('bi', 'tableau')",16
"('sql', 'ms')",15
"('google', 'analytics')",15
"('tableau', 'power')",14
"('microsoft', 'power')",14
"('bi', 'sql')",13
"('sql', 'microsoft')",12
"('excel', 'tableau')",12
"('r', 'sql')",12
"('sql', 'r')",12
"('ms', 'sql')",12
"('google', 'suite')",11
"('microsoft', 'sql')",11
"('ms', 'access')",10
"('bi', 'ms')",10
"('excel', 'excel')",10
"('python', 'tableau')",10
"('office', 'ms')",9
"('excel', 'sap')",9
"('excel', 'power')",9
"('sql', 'hadoop')",9
"('office', 'word')",9
"('python', 'excel')",9
"('tableau', 'qlikview')",9
"('sql', 'oracle')",9
"('excel', 'access')",8
"('excel', 'word')",8
"('tableau', 'ms')",8
"('powerpoint', 'word')",8
"('office', 'microsoft')",8
"('tableau', 'microsoft')",8
"('', 'microsoft')",8
"('powerpoint', 'sql')",8
"('excel', 'pivot')",8
"('tableau', 'excel')",7
"('business', 'objects')",7
"('python', 'ms')",7
"('word', 'sql')",7
"('ms', 'power')",7
"('sql', 'power')",7
"('power', 'point')",7
"('python', 'spark')",7
"('python', 'java')",7
"('tableau', '')",7
"('visual', 'studio')",6
"('bi', 'r')",6
"('tableau', 'r')",6
"('pivot', 'power')",6
"('excel', 'python')",6
"('spss', 'stata')",6
"('sas', 'r')",6
"('r', 'r')",6
"('tableau', 'server')",6
"('bigquery', 'google')",6
"('server', 'sql')",6
"('oracle', 'cloud')",6
"('oracle', 'database')",6
"('powerpoint', 'ms')",6
"('unix', 'linux')",6
"('bi', 'microsoft')",6
"('', 'sql')",6
"('sql', '')",6
"('azure', 'data')",6
"('excel', 'google')",5
"('google', 'sheets')",5
"('power', 'pivot')",5
"('hive', 'spark')",5
"('sql', 'sap')",5
"('sap', 'ms')",5
"('', 'python')",5
"('tableau', 'python')",5
"('matlab', 'spss')",5
"('oracle', 'microsoft')",5
"('sql', 'mysql')",5
"('r', 'tableau')",5
"('sql', 'google')",5
"('ms', 'powerpoint')",5
