bigrams,count
"('sql', 'server')",30
"('microsoft', 'office')",28
"('google', 'cloud')",25
"('python', 'sql')",24
"('hadoop', 'spark')",23
"('java', 'python')",21
"('sql', 'python')",19
"('python', 'java')",18
"('ms', 'office')",17
"('office', '365')",16
"('c', 'c++')",16
"('power', 'bi')",15
"('web', 'services')",14
"('sql', 'nosql')",14
"('', '')",13
"('java', 'scala')",13
"('python', 'r')",13
"('aws', 'azure')",13
"('amazon', 'web')",12
"('microsoft', 'sql')",12
"('windows', 'server')",12
"('word', 'excel')",11
"('spark', 'kafka')",11
"('linux', 'unix')",10
"('postgresql', 'mysql')",10
"('excel', 'powerpoint')",9
"('sql', 'linux')",9
"('c++', 'java')",9
"('sql', 'hadoop')",9
"('data', 'quality')",9
"('unix', 'linux')",9
"('html', 'css')",9
"('active', 'directory')",8
"('office', 'word')",8
"('shell', 'scripting')",8
"('ms', 'word')",8
"('python', 'scala')",8
"('scala', 'python')",8
"('hadoop', 'hive')",8
"('kubernetes', 'docker')",8
"('aws', 'google')",8
"('ms', 'excel')",8
"('sql', 'java')",8
"('gcp', 'aws')",8
"('agile', 'scrum')",8
"('microsoft', 'excel')",7
"('java', 'javascript')",7
"('hdfs', 'hive')",7
"('hive', 'hbase')",7
"('spark', 'python')",7
"('hive', 'spark')",7
"('spark', 'linux')",7
"('cloud', 'platform')",7
"('linux', 'operating')",7
"('scala', 'java')",7
"('python', 'pandas')",7
"('spark', 'flink')",7
"('apache', 'kafka')",7
"('office', 'excel')",6
"('java', 'c++')",6
"('windows', 'linux')",6
"('hbase', 'hive')",6
"('microsoft', 'azure')",6
"('linux', 'python')",6
"('tableau', 'python')",6
"('kafka', 'hadoop')",6
"('python', 'hadoop')",6
"('services', 'aws')",6
"('spark', 'hadoop')",6
"('java', 'java')",6
"('sap', 'data')",6
"('azure', 'google')",6
"('presto', 'hive')",6
"('python', 'perl')",6
"('aws', 'gcp')",6
"('azure', 'aws')",6
"('docker', 'kubernetes')",6
"('microsoft', 'windows')",6
"('sql', 'aws')",5
"('php', 'python')",5
"('selenium', 'appium')",5
"('linux', 'java')",5
"('cloudera', 'hadoop')",5
"('server', 'linux')",5
"('kafka', 'nifi')",5
"('hadoop', 'java')",5
"('linux', 'vmware')",5
"('azure', 'data')",5
"('data', 'lake')",5
"('python', 'scripting')",5
"('mongodb', 'hadoop')",5
"('nosql', 'python')",5
"('r', 'java')",5
"('oracle', 'data')",5
"('informatica', 'data')",5
"('java', 'sql')",5
"('gcp', 'azure')",5
"('alibaba', 'cloud')",5
"('apache', 'cassandra')",5
"('google', 'analytics')",5
