bigrams,count
"('python', 'r')",231
"('r', 'python')",207
"('power', 'bi')",163
"('python', 'sql')",120
"('sql', 'python')",115
"('hadoop', 'spark')",92
"('ms', 'excel')",85
"('sql', 'server')",79
"('hadoop', 'hive')",74
"('python', 'java')",66
"('r', 'sql')",65
"('c', 'c++')",65
"('java', 'python')",62
"('ms', 'office')",59
"('microsoft', 'excel')",58
"('microsoft', 'office')",55
"('sql', 'r')",54
"('google', 'analytics')",53
"('sql', 'nosql')",52
"('google', 'cloud')",49
"('r', 'sas')",48
"('hive', 'spark')",46
"('python', 'tableau')",41
"('sql', 'tableau')",41
"('sql', 'sql')",41
"('spark', 'sql')",41
"('', '')",41
"('business', 'objects')",39
"('excel', 'sql')",37
"('excel', 'powerpoint')",37
"('python', 'scala')",36
"('tableau', 'sql')",36
"('ms', 'sql')",34
"('python', 'spark')",34
"('spark', 'hadoop')",34
"('c++', 'java')",33
"('word', 'excel')",33
"('amazon', 'web')",32
"('spark', 'python')",32
"('tensorflow', 'keras')",31
"('sql', 'hadoop')",31
"('java', 'c++')",31
"('java', 'javascript')",30
"('apache', 'spark')",30
"('hive', 'hbase')",30
"('web', 'services')",29
"('python', 'python')",29
"('tableau', 'power')",29
"('python', 'c++')",29
"('python', 'pyspark')",28
"('java', 'scala')",28
"('aws', 'azure')",28
"('r', 'java')",28
"('cloud', 'platform')",27
"('spark', 'kafka')",27
"('c++', 'python')",27
"('bi', 'tableau')",27
"('python', 'pandas')",25
"('python', 'slq')",24
"('pandas', 'numpy')",23
"('mapreduce', 'hadoop')",23
"('microsoft', 'azure')",23
"('keras', 'tensorflow')",23
"('sql', 'java')",23
"('tableau', 'r')",22
"('crimson', 'hexagon')",22
"('facebook', 'insights')",22
"('unix', 'linux')",22
"('python', 'linux')",22
"('sql', 'excel')",22
"('excel', 'python')",22
"('azure', 'aws')",21
"('jupyter', 'notebook')",21
"('sas', 'python')",21
"('analytics', 'site')",21
"('site', 'catalyst')",21
"('catalyst', 'coremetrics')",21
"('coremetrics', 'adwords')",21
"('adwords', 'crimson')",21
"('hexagon', 'facebook')",21
"('insights', 'mapreduce')",21
"('gurobi', 'mysql')",21
"('azure', 'sql')",21
"('python', 'hadoop')",21
"('r', 'c')",21
"('tensorflow', 'pytorch')",21
"('gcp', 'azure')",21
"('tableau', 'python')",21
"('sql', 'hive')",21
"('r', 'hadoop')",20
"('spark', 'gurobi')",20
"('python', 'c')",20
"('scala', 'python')",20
"('office', 'excel')",20
"('', 'python')",19
"('aws', 'gcp')",19
"('agile', 'scrum')",19
"('excel', 'tableau')",19
"('python', 'sas')",18
"('spark', 'hive')",18
