bigrams,count
"('python', 'r')",56
"('sql', 'server')",56
"('sql', 'python')",45
"('power', 'bi')",38
"('r', 'python')",37
"('ms', 'excel')",36
"('microsoft', 'office')",36
"('python', 'sql')",33
"('google', 'analytics')",33
"('excel', 'sql')",30
"('ms', 'office')",28
"('python', 'java')",26
"('google', 'cloud')",25
"('excel', 'powerpoint')",24
"('sql', 'tableau')",21
"('r', 'sql')",21
"('', '')",21
"('hadoop', 'spark')",19
"('sql', 'excel')",19
"('html', 'css')",17
"('microsoft', 'excel')",17
"('amazon', 'web')",16
"('java', 'python')",16
"('mysql', 'postgresql')",16
"('ms', 'word')",16
"('postgresql', 'mysql')",16
"('sql', 'java')",16
"('office', 'excel')",16
"('web', 'services')",15
"('bi', 'tableau')",15
"('scikitlearn', 'pandas')",15
"('aws', 'gcp')",15
"('excel', 'ms')",15
"('word', 'excel')",15
"('sql', 'nosql')",14
"('tableau', 'power')",14
"('gcp', 'aws')",14
"('tableau', 'sql')",14
"('jupyter', 'notebook')",13
"('tableau', 'metabase')",13
"('hadoop', 'hive')",13
"('windows', 'server')",13
"('sql', 'google')",12
"('bi', 'python')",12
"('gcp', 'azure')",12
"('data', 'studio')",12
"('pandas', 'numpy')",12
"('sql', 'sql')",12
"('java', 'sql')",11
"('unix', 'linux')",11
"('agile', 'scrum')",11
"('cloud', 'services')",10
"('nosql', 'mongodb')",10
"('sql', 'hive')",10
"('cloud', 'platform')",10
"('java', 'javascript')",10
"('sql', 'linux')",10
"('aws', 'azure')",10
"('excel', 'microsoft')",10
"('notebook', 'scikitlearn')",10
"('java', 'golang')",10
"('bi', 'microsoft')",10
"('office', 'word')",10
"('server', 'oracle')",10
"('services', 'aws')",9
"('aws', 'cloud')",9
"('hive', 'spark')",9
"('python', 'tableau')",9
"('microsoft', 'sql')",9
"('spark', 'hadoop')",9
"('linux', 'windows')",9
"('postgresql', 'nosql')",8
"('meaningful', 'beautiful')",8
"('beautiful', 'dashboards')",8
"('business', 'objects')",8
"('excel', 'python')",8
"('crimson', 'hexagon')",8
"('facebook', 'insights')",8
"('sql', 'hadoop')",8
"('python', 'google')",8
"('1982', 'africa')",8
"('africa', 'brazil')",8
"('brazil', 'china')",8
"('powerpoint', 'word')",8
"('sql', 'query')",8
"('apache', 'kafka')",8
"('spark', 'kafka')",8
"('r', 'phyton')",8
"('sql', 'oracle')",8
"('linux', 'sql')",8
"('linux', 'solaris')",8
"('oracle', 'db')",8
"('spark', 'python')",7
"('sql', 'r')",7
"('sql', 'rpython')",7
"('mysql', 'sql')",7
"('metabase', 'r')",7
"('analytics', 'site')",7
"('site', 'catalyst')",7
"('catalyst', 'coremetrics')",7
