bigrams,count
"('power', 'bi')",88
"('python', 'r')",79
"('sql', 'python')",65
"('r', 'python')",61
"('sql', 'server')",54
"('microsoft', 'office')",52
"('hadoop', 'spark')",51
"('python', 'sql')",49
"('python', 'java')",40
"('web', 'services')",38
"('java', 'python')",36
"('amazon', 'web')",36
"('r', 'sql')",31
"('ms', 'office')",30
"('google', 'cloud')",29
"('excel', 'powerpoint')",29
"('', '')",28
"('sql', 'tableau')",27
"('hadoop', 'hive')",26
"('microsoft', 'excel')",26
"('ms', 'excel')",26
"('java', 'c++')",26
"('spark', 'sql')",26
"('c', 'c++')",25
"('sql', 'sql')",24
"('hive', 'spark')",24
"('python', 'scala')",23
"('google', 'analytics')",23
"('ms', 'sql')",23
"('word', 'excel')",23
"('sql', 'r')",22
"('python', 'spark')",21
"('sql', 'nosql')",21
"('excel', 'sql')",20
"('spark', 'kafka')",20
"('sql', 'hadoop')",19
"('spark', 'hadoop')",19
"('bi', 'tableau')",18
"('sql', 'java')",18
"('python', 'python')",17
"('linux', 'unix')",17
"('unix', 'linux')",17
"('java', 'scala')",17
"('aws', 'azure')",17
"('r', 'java')",17
"('java', 'sql')",16
"('sql', 'linux')",16
"('sql', 'oracle')",16
"('cloud', 'platform')",15
"('office', 'word')",15
"('keras', 'tensorflow')",15
"('oracle', 'mysql')",15
"('microsoft', 'sql')",15
"('html', 'css')",15
"('r', 'sas')",14
"('microsoft', 'azure')",14
"('tableau', 'sql')",14
"('python', 'tableau')",14
"('python', 'pyspark')",14
"('scala', 'python')",14
"('tableau', 'power')",14
"('c++', 'java')",13
"('java', 'javascript')",13
"('business', 'objects')",13
"('sql', 'mysql')",13
"('shell', 'scripting')",13
"('office', 'excel')",13
"('bi', 'sql')",13
"('hive', 'hadoop')",13
"('python', 'c++')",13
"('linux', 'sql')",13
"('hdfs', 'hive')",13
"('agile', 'scrum')",13
"('jupyter', 'notebook')",12
"('spark', 'python')",12
"('oracle', 'db')",12
"('python', 'linux')",12
"('sql', 'excel')",12
"('tableau', 'python')",12
"('apache', 'spark')",12
"('r', 'hadoop')",11
"('pandas', 'numpy')",11
"('hadoop', 'mapreduce')",11
"('python', 'hadoop')",11
"('hbase', 'hive')",11
"('scala', 'java')",11
"('tableau', 'r')",10
"('azure', 'sql')",10
"('css', 'javascript')",10
"('mysql', 'postgresql')",10
"('postgresql', 'mysql')",10
"('c++', 'sql')",10
"('ms', 'word')",10
"('microsoft', 'power')",10
"('spark', 'java')",10
"('sas', 'r')",10
"('python', 'c')",10
"('hive', 'hbase')",10
"('java', 'golang')",10
"('python', 'excel')",10
