bigrams,count
"('power', 'bi')",150
"('microsoft', 'office')",96
"('ms', 'office')",94
"('ms', 'excel')",89
"('microsoft', 'excel')",80
"('r', 'python')",72
"('excel', 'powerpoint')",58
"('sql', 'server')",55
"('python', 'r')",52
"('sql', 'python')",49
"('word', 'excel')",49
"('sql', 'sql')",40
"('google', 'analytics')",36
"('business', 'objects')",35
"('excel', 'ms')",34
"('excel', 'sql')",33
"('office', 'excel')",33
"('web', 'services')",32
"('hadoop', 'hive')",32
"('amazon', 'web')",31
"('ms', 'sql')",31
"('python', 'sql')",29
"('office', 'word')",29
"('java', 'javascript')",27
"('hive', 'spark')",27
"('office', 'suite')",25
"('sql', 'r')",24
"('bi', 'sql')",23
"('excel', 'google')",23
"('ms', 'access')",23
"('sql', 'ms')",23
"('', '')",22
"('tableau', 'sql')",21
"('r', 'sql')",21
"('c', 'c++')",21
"('java', 'python')",20
"('microsoft', 'power')",20
"('office', '365')",20
"('python', 'tableau')",19
"('hadoop', 'spark')",19
"('sql', 'microsoft')",19
"('tableau', 'power')",19
"('r', 'sas')",18
"('python', 'java')",18
"('c++', 'java')",18
"('microsoft', 'azure')",18
"('azure', 'sql')",18
"('excel', 'microsoft')",18
"('word', 'powerpoint')",18
"('excel', 'tableau')",17
"('bi', 'ms')",17
"('ms', 'word')",17
"('google', 'cloud')",16
"('python', 'slq')",16
"('microsoft', 'sql')",16
"('sql', 'oracle')",16
"('bi', 'tableau')",16
"('python', 'microsoft')",15
"('sql', 'excel')",15
"('office', 'ms')",15
"('google', 'sheets')",15
"('excel', 'word')",15
"('excel', 'power')",15
"('office', 'microsoft')",15
"('java', 'c++')",15
"('unix', 'linux')",15
"('analytics', 'site')",14
"('site', 'catalyst')",14
"('catalyst', 'coremetrics')",14
"('coremetrics', 'adwords')",14
"('adwords', 'crimson')",14
"('crimson', 'hexagon')",14
"('hexagon', 'facebook')",14
"('facebook', 'insights')",14
"('insights', 'mapreduce')",14
"('mapreduce', 'hadoop')",14
"('spark', 'gurobi')",14
"('gurobi', 'mysql')",14
"('css', 'javascript')",14
"('ms', 'powerpoint')",14
"('agile', 'scrum')",14
"('aws', 'azure')",14
"('cloud', 'platform')",13
"('sas', 'sql')",13
"('sql', 'tableau')",13
"('server', 'mysql')",13
"('ms', 'power')",13
"('pandas', 'numpy')",12
"('tableau', 'r')",12
"('mysql', 'python')",12
"('periscope', 'business')",12
"('objects', 'd3')",12
"('d3', 'ggplot')",12
"('hive', 'hbase')",12
"('visual', 'studio')",12
"('tableau', 'excel')",12
"('powerpoint', 'word')",12
"('sql', 'sap')",12
"('linux', 'unix')",12
"('jira', 'confluence')",12
