bigrams,count
"('power', 'bi')",121
"('python', 'r')",90
"('r', 'python')",82
"('ms', 'excel')",72
"('sql', 'server')",69
"('microsoft', 'excel')",49
"('ms', 'office')",48
"('sql', 'python')",47
"('microsoft', 'office')",42
"('python', 'sql')",41
"('c', 'c++')",33
"('sql', 'sql')",31
"('excel', 'ms')",31
"('excel', 'sql')",30
"('hadoop', 'hive')",29
"('word', 'excel')",28
"('hadoop', 'spark')",28
"('google', 'analytics')",27
"('excel', 'powerpoint')",27
"('r', 'sql')",26
"('', '')",24
"('google', 'cloud')",23
"('ms', 'word')",23
"('sql', 'nosql')",23
"('tableau', 'sql')",22
"('business', 'objects')",21
"('java', 'python')",21
"('microsoft', 'power')",21
"('microsoft', 'sql')",21
"('bi', 'tableau')",21
"('ms', 'sql')",20
"('hive', 'spark')",19
"('office', 'excel')",19
"('tableau', 'power')",19
"('python', 'tableau')",18
"('excel', 'google')",18
"('office', 'suite')",18
"('r', 'sas')",17
"('aws', 'azure')",17
"('azure', 'data')",17
"('python', 'java')",16
"('excel', 'tableau')",16
"('google', 'sheets')",16
"('ms', 'power')",15
"('java', 'scala')",15
"('c++', 'java')",14
"('sql', 'r')",14
"('sql', 'tableau')",14
"('python', 'linux')",14
"('ms', 'access')",14
"('sql', 'ms')",14
"('python', 'c')",14
"('agile', 'scrum')",14
"('python', 'scala')",13
"('java', 'javascript')",13
"('spark', 'python')",13
"('sql', 'microsoft')",13
"('excel', 'word')",13
"('bi', 'ms')",13
"('office', '365')",13
"('python', 'c++')",13
"('spark', 'sql')",13
"('cloud', 'platform')",12
"('mysql', 'python')",12
"('python', 'python')",12
"('hive', 'hbase')",12
"('bi', 'sql')",12
"('sql', 'excel')",12
"('sql', 'hadoop')",12
"('r', 'c')",11
"('tableau', 'r')",11
"('excel', 'excel')",11
"('tableau', 'excel')",11
"('bi', 'microsoft')",11
"('tensorflow', 'pytorch')",11
"('c++', 'sql')",11
"('tableau', 'python')",11
"('bi', 'python')",11
"('html', 'css')",11
"('server', 'mysql')",10
"('tensorflow', 'keras')",10
"('python', 'pyspark')",10
"('python', 'spark')",10
"('c++', 'python')",10
"('data', 'factory')",10
"('sql', 'java')",10
"('excel', 'vba')",10
"('python', 'slq')",9
"('alteryx', 'tableau')",9
"('c', 'java')",9
"('python', 'microsoft')",9
"('azure', 'aws')",9
"('sql', 'oracle')",9
"('ms', 'powerpoint')",9
"('hadoop', 'python')",9
"('scala', 'python')",9
"('sql', 'hive')",9
"('spark', 'kafka')",9
"('sql', 'elasticsearch')",9
"('sql', 'statistics')",8
