bigrams,count
"('python', 'r')",165
"('r', 'python')",154
"('power', 'bi')",120
"('python', 'sql')",110
"('sql', 'python')",95
"('hadoop', 'spark')",81
"('sql', 'server')",69
"('hadoop', 'hive')",59
"('c', 'c++')",55
"('java', 'python')",49
"('python', 'java')",49
"('r', 'sql')",47
"('sql', 'nosql')",47
"('sql', 'r')",45
"('ms', 'excel')",44
"('spark', 'sql')",43
"('java', 'scala')",41
"('sql', 'tableau')",39
"('', '')",38
"('google', 'cloud')",34
"('tableau', 'sql')",33
"('sql', 'hadoop')",33
"('python', 'pyspark')",31
"('python', 'spark')",31
"('r', 'sas')",31
"('python', 'scala')",31
"('microsoft', 'office')",31
"('spark', 'hadoop')",30
"('python', 'hadoop')",30
"('ms', 'office')",30
"('spark', 'python')",29
"('python', 'tableau')",29
"('r', 'java')",28
"('bi', 'tableau')",28
"('python', 'c++')",27
"('hive', 'spark')",27
"('tableau', 'python')",27
"('spark', 'kafka')",27
"('c++', 'python')",27
"('microsoft', 'excel')",27
"('apache', 'spark')",26
"('sql', 'sql')",26
"('c++', 'java')",25
"('excel', 'powerpoint')",25
"('python', 'python')",24
"('hive', 'hbase')",24
"('keras', 'tensorflow')",23
"('python', 'pandas')",23
"('ms', 'word')",23
"('sql', 'excel')",23
"('python', 'c')",22
"('scala', 'python')",22
"('ms', 'sql')",22
"('microsoft', 'sql')",21
"('word', 'excel')",21
"('tableau', 'power')",20
"('tensorflow', 'keras')",20
"('hadoop', 'sql')",20
"('aws', 'azure')",20
"('tensorflow', 'pytorch')",19
"('tableau', 'r')",19
"('c#', 'c++')",19
"('alteryx', 'presto')",18
"('', 'python')",18
"('nosql', 'python')",18
"('scala', 'java')",18
"('bi', 'sql')",18
"('excel', 'sql')",18
"('spark', 'flink')",18
"('sql', 'elasticsearch')",17
"('c++', 'sql')",17
"('python', 'linux')",17
"('tableau', 'qlikview')",17
"('python', 'excel')",17
"('sql', 'alteryx')",16
"('hive', 'hadoop')",16
"('tableau', 'cognos')",16
"('qlikview', 'tableau')",16
"('scala', 'r')",16
"('r', 'tableau')",16
"('hdfs', 'hive')",16
"('java', 'c++')",16
"('sas', 'r')",15
"('python', 'javascript')",15
"('google', 'analytics')",15
"('azure', 'aws')",15
"('linux', 'python')",15
"('r', 'hadoop')",15
"('linux', 'sql')",15
"('aws', 'google')",15
"('excel', 'tableau')",15
"('excel', 'ms')",15
"('microsoft', 'power')",15
"('r', 'c')",14
"('hive', 'impala')",14
"('sas', 'python')",14
"('sql', 'aws')",14
"('tableau', 'qlik')",14
"('docker', 'kubernetes')",14
"('azure', 'data')",14
