Word,Count
sql,1697
python,1459
r,784
excel,762
tableau,624
ms,577
java,565
microsoft,543
spark,530
hadoop,523
power,376
bi,376
aws,374
office,359
linux,332
,331
google,318
hive,303
azure,271
oracle,253
sas,244
mysql,243
server,234
c++,222
nosql,216
scala,202
powerpoint,196
javascript,191
word,191
data,181
c,162
kafka,156
sap,155
cloud,154
apache,137
agile,135
git,134
analytics,133
tensorflow,131
services,130
pandas,107
c#,105
unix,100
postgresql,99
pyspark,99
hbase,98
amazon,96
mongodb,88
spss,87
php,85
etl,85
powerbi,84
windows,84
scrum,82
informatica,80
gcp,80
ssis,79
cloudera,79
scikitlearn,78
web,76
studio,76
talend,75
html,74
kubernetes,74
redshift,74
suite,73
matlab,71
jira,70
scripting,67
airflow,67
qlikview,66
mapreduce,66
numpy,65
keras,65
hdfs,65
shell,63
elasticsearch,63
business,61
salesforce,60
access,60
vba,59
rdbms,59
cassandra,58
objects,57
bigquery,55
impala,53
css,53
jenkins,53
pig,52
alteryx,52
visual,52
pivot,52
s3,49
ibm,49
presto,49
docker,49
cognos,48
cicd,46
golang,44
android,43
