Word,Count
sql,194
python,175
r,107
hadoop,78
excel,73
tableau,72
spark,71
ms,62
java,60
office,48
sas,47
microsoft,45
,42
linux,40
hive,38
server,31
bi,30
aws,30
powerpoint,29
oracle,29
power,27
git,27
mysql,26
nosql,25
google,24
apache,23
agile,21
word,21
analytics,19
jira,19
script,18
scrum,18
scala,17
postgresql,17
c#,16
javascript,15
pandas,15
c++,14
sap,14
pyspark,14
azure,13
kafka,13
qlikview,12
numpy,12
matlab,12
scikitlearn,11
cloud,11
ssis,11
studio,11
android,11
windows,11
spss,10
ggplot,10
jenkins,10
salesforce,10
services,10
unix,10
data,9
impala,9
php,9
hbase,9
shell,9
flink,9
airflow,9
c,8
business,8
objects,8
powerbi,8
ml,8
elasticsearch,8
etl,8
graph,8
rdbms,8
solaris,8
presto,8
kubernetes,8
database,8
slq,7
site,7
adwords,7
d3,7
eclipse,7
workbench,7
qlik,7
informatica,7
db,7
css,7
svn,7
d3js,6
catalyst,6
coremetrics,6
crimson,6
hexagon,6
facebook,6
insights,6
mapreduce,6
gurobi,6
periscope,6
jupyter,6
cloudera,6
